study_id,experiment,year,participant,sex,species,pellet_and_banana_vs_pellet,pellet_and_grape_vs_pellet,banana_and_pellet_vs_banana,banana_and_grape_vs_banana,grape_and_pellet_vs_grape,grape_and_banana_vs_grape,pellet_vs_banana,pellet_vs_grape,banana_vs_grape
sanchez2016differences,2,2013,bimbo,m,orangutan,0.75,0.666,0.916,0.666,1.0,1.0,1.0,1.0,0.625
sanchez2016differences,2,2013,raja,f,orangutan,0.416,0.666,1.0,0.833,1.0,0.833,1.0,1.0,0.5
sanchez2016differences,2,2013,padana,f,orangutan,0.916,0.916,1.0,0.833,1.0,1.0,1.0,1.0,1.0
sanchez2016differences,2,2013,suaq,m,orangutan,0.75,0.75,0.583,0.5,0.833,0.75,0.5,0.5,0.375
sanchez2016differences,2,2013,pini,f,orangutan,0.5,0.5,0.916,0.583,1.0,1.0,1.0,1.0,1.0
sanchez2016differences,2,2013,dokana,f,orangutan,0.666,0.75,1.0,0.666,1.0,0.833,0.875,1.0,0.375
sanchez2016differences,2,2013,yasa,f,bonobo,0.5,0.583,1.0,0.917,1.0,0.75,1.0,1.0,0.375
sanchez2016differences,2,2013,fimi,f,bonobo,0.583,0.583,1.0,0.75,1.0,0.75,0.5,0.5,0.125
sanchez2016differences,2,2013,lexi,f,bonobo,0.667,0.583,0.417,0.417,0.667,1.0,0.125,0.125,0.375
sanchez2016differences,2,2013,ulindi,f,bonobo,0.667,0.75,1.0,0.917,1.0,0.833,1.0,1.0,0.0
sanchez2016differences,2,2013,luiza,f,bonobo,0.333,0.667,1.0,0.75,1.0,0.75,1.0,0.25,0.25
sanchez2016differences,2,2013,joey,m,bonobo,0.583,0.75,0.917,0.917,0.917,0.75,1.0,0.875,0.0
sanchez2016differences,2,2013,kuno,m,bonobo,0.75,0.75,1.0,0.833,1.0,0.833,1.0,1.0,0.125
sanchez2016differences,2,2013,jasongo,m,bonobo,0.333,0.667,0.667,0.75,0.75,0.5,0.875,0.375,0.25
sanchez2016differences,2,2013,robert,m,chimpanzee,0.917,0.417,1.0,0.833,1.0,1.0,1.0,0.875,0.5
sanchez2016differences,2,2013,frodo,m,chimpanzee,1.0,0.75,1.0,0.917,1.0,1.0,0.875,0.875,0.375
sanchez2016differences,2,2013,lome,m,chimpanzee,0.667,0.5,1.0,0.583,1.0,1.0,1.0,0.875,0.75
sanchez2016differences,2,2013,lobo,m,chimpanzee,0.75,0.417,1.0,0.333,1.0,1.0,0.875,1.0,1.0
sanchez2016differences,2,2013,riet,f,chimpanzee,0.5,0.417,0.917,0.417,1.0,0.917,1.0,1.0,1.0
sanchez2016differences,2,2013,sandra,f,chimpanzee,0.75,0.583,0.833,0.833,1.0,1.0,0.75,1.0,1.0
sanchez2016differences,2,2013,natascha,f,chimpanzee,0.833,0.5,0.667,0.583,1.0,1.0,0.25,1.0,1.0
sanchez2016differences,2,2013,fraukje,f,chimpanzee,0.833,0.583,1.0,0.75,1.0,0.833,1.0,1.0,0.25
sanchez2016differences,2,2013,corry,f,chimpanzee,0.5,0.417,0.75,0.75,0.917,1.0,1.0,0.875,0.875
sanchez2016differences,2,2013,dorien,f,chimpanzee,0.833,0.5,0.833,0.833,0.917,0.833,1.0,1.0,0.375
sanchez2016differences,2,2013,swela,f,chimpanzee,0.917,0.583,1.0,0.667,0.917,0.917,0.875,1.0,0.625
sanchez2016differences,2,2013,kara,f,chimpanzee,0.75,0.667,0.75,0.75,0.917,0.917,1.0,1.0,0.375
sanchez2016differences,2,2013,kofi,m,chimpanzee,0.667,0.667,0.833,0.583,1.0,0.833,0.875,1.0,1.0
sanchez2016differences,2,2013,tai,f,chimpanzee,0.417,0.833,0.667,0.5,1.0,0.917,0.125,0.5,0.875
sanchez2016differences,2,2013,alex,m,chimpanzee,0.75,0.667,1.0,0.917,0.917,0.917,0.75,0.75,0.5
sanchez2016differences,2,2013,jahaga,f,chimpanzee,1.0,0.833,1.0,0.583,1.0,1.0,1.0,1.0,0.5
sanchez2016differences,2,2013,gertrudia,f,chimpanzee,0.917,0.583,1.0,0.667,1.0,0.917,1.0,1.0,0.875
sanchez2016differences,2,2013,fifi,f,chimpanzee,1.0,0.917,1.0,0.583,1.0,1.0,0.875,1.0,1.0
sanchez2016differences,2,2013,abeeku,m,gorilla,0.333,0.417,0.417,0.583,0.417,0.583,0.375,0.5,0.375
sanchez2016differences,2,2013,viringika,f,gorilla,0.333,0.583,1.0,0.667,1.0,1.0,0.5,1.0,1.0
sanchez2016differences,2,2013,kibara,f,gorilla,1.0,0.583,0.5,0.5,0.75,1.0,0.25,0.625,0.875
sanchez2016differences,2,2013,kumili,f,gorilla,0.583,0.583,0.417,0.417,0.833,0.75,0.375,0.5,0.5
sanchez2016differences,2,2013,loto,m,bonobo,,,,,,,0.25,0.5,0.375
sanchez2016differences,2,2013,ulla,f,chimpanzee,,,,,,,1.0,1.0,0.375
sanchez2016differences,2,2013,bangolo,m,chimpanzee,,,,,,,0.5,0.5,0.5
sanchez2016differences,2,2013,tanah,f,orangutan,,,,,,,0.5,0.875,0.625
