"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"year","year the data point was obtained "
"participant","name of the participant"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan"
"pellet_and_banana_vs_pellet","percentage of times where the participant chose one pellet and one banana slice over one pellet after the simultaneous presentation of both"
"pellet_and_grape_vs_pellet","percentage of times where the participant chose one pellet and one grape over one pellet after the simultaneous presentation of both"
"banana_and_pellet_vs_banana","percentage of times where the participant chose one banana slice and one pellet overone banana slice after the simultaneous presentation of both"
"banana_and_grape_vs_banana","percentage of times where the participant chose one banana slice and one grape over one banana slice after the simultaneous presentation of both"
"grape_and_pellet_vs_grape","percentage of times where the participant chose one grape and one pellet over one grape after the simultaneous presentation of both"
"grape_and_banana_vs_grape","percentage of times where the participant chose one one grape and one banana slice over one grape after the simultaneous presentation of both"
"pellet_vs_banana","percentage of times where the participant chose one pellet over one banana slice after the simultaneous presentation of both"
"pellet_vs_grape","percentage of times where the participant chose one one pellet over one grape after the simultaneous presentation of both"
"banana_vs_grape","percentage of times where the participant chose one banana slice over one grape after the simultaneous presentation of both"
