study_id,experiment_name,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_sex,phase,session,trial,condition,pull,focal_participant_left_pull_latency,focal_participant_right_pull_latency,get_4,get_1,minimum_latency_to_pull,pull_binomial
sanchez2017chimpanzees,1a,2015,11,22,kuno,19,m,focal_participant_left,fimi,7,f,focal_participant_right,bonobo,kuno_fimi,mix,2,1,1,competition,fimi,no_pull,1.48,fimi,kuno,1.48,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,22,kuno,19,m,focal_participant_left,fimi,7,f,focal_participant_right,bonobo,kuno_fimi,mix,2,1,2,social_dilemma,fimi,no_pull,18.4,kuno,fimi,18.4,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,22,kuno,19,m,focal_participant_left,fimi,7,f,focal_participant_right,bonobo,kuno_fimi,mix,2,1,3,competition,fimi,no_pull,12.36,fimi,kuno,12.36,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,22,kuno,19,m,focal_participant_left,fimi,7,f,focal_participant_right,bonobo,kuno_fimi,mix,2,1,4,social_dilemma,kuno,10.12,no_pull,fimi,kuno,10.12,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,22,kuno,19,m,focal_participant_left,fimi,7,f,focal_participant_right,bonobo,kuno_fimi,mix,2,1,5,competition,kuno,1.6,no_pull,kuno,fimi,1.6,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,22,kuno,19,m,focal_participant_left,fimi,7,f,focal_participant_right,bonobo,kuno_fimi,mix,2,1,6,competition,fimi,no_pull,2.24,fimi,kuno,2.24,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,22,kuno,19,m,focal_participant_left,fimi,7,f,focal_participant_right,bonobo,kuno_fimi,mix,2,1,7,social_dilemma,kuno,3.56,no_pull,fimi,kuno,3.56,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,22,kuno,19,m,focal_participant_left,fimi,7,f,focal_participant_right,bonobo,kuno_fimi,mix,2,1,8,social_dilemma,kuno,3.2,no_pull,fimi,kuno,3.2,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,28,fimi,7,f,focal_participant_left,kuno,19,m,focal_participant_right,bonobo,fimi_kuno,mix,2,2,1,competition,fimi,2.44,no_pull,fimi,nobody,2.44,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,28,fimi,7,f,focal_participant_left,kuno,19,m,focal_participant_right,bonobo,fimi_kuno,mix,2,2,2,social_dilemma,kuno,no_pull,5.04,fimi,kuno,5.04,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,28,fimi,7,f,focal_participant_left,kuno,19,m,focal_participant_right,bonobo,fimi_kuno,mix,2,2,3,competition,kuno,no_pull,3.48,kuno,fimi,3.48,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,28,fimi,7,f,focal_participant_left,kuno,19,m,focal_participant_right,bonobo,fimi_kuno,mix,2,2,4,social_dilemma,kuno,no_pull,9.36,fimi,kuno,9.36,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,28,fimi,7,f,focal_participant_left,kuno,19,m,focal_participant_right,bonobo,fimi_kuno,mix,2,2,5,competition,fimi,1.52,no_pull,fimi,kuno,1.52,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,28,fimi,7,f,focal_participant_left,kuno,19,m,focal_participant_right,bonobo,fimi_kuno,mix,2,2,6,competition,fimi,1.88,no_pull,fimi,nobody,1.88,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,28,fimi,7,f,focal_participant_left,kuno,19,m,focal_participant_right,bonobo,fimi_kuno,mix,2,2,7,social_dilemma,fimi,1.64,no_pull,kuno,fimi,1.64,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,28,fimi,7,f,focal_participant_left,kuno,19,m,focal_participant_right,bonobo,fimi_kuno,mix,2,2,8,social_dilemma,fimi,1.2,no_pull,kuno,fimi,1.2,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,29,kuno,19,m,focal_participant_left,fimi,7,f,focal_participant_right,bonobo,kuno_fimi,mix,2,3,1,social_dilemma,fimi,no_pull,1.76,kuno,fimi,1.76,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,29,kuno,19,m,focal_participant_left,fimi,7,f,focal_participant_right,bonobo,kuno_fimi,mix,2,3,2,social_dilemma,fimi,no_pull,1.48,kuno,fimi,1.48,both_did_not_pull
sanchez2017chimpanzees,1a,2015,11,29,kuno,19,m,focal_participant_left,fimi,7,f,focal_participant_right,bonobo,kuno_fimi,mix,2,3,3,social_dilemma,fimi,no_pull,1.44,kuno,fimi,1.44,both_did_not_pull
