"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal participant_left "
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – focal participant_right"
"species","species of individuals participating in the study -bonobo/chimpanzee"
"dyad","name of the two participants that compose the dyad "
"dyad_sex","sex  of the participants"
"phase","training phase participants received prior to the test – 1 (individual) / 2 (dyadic)"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","condition participants received – competition(four pieces of foods) / social_dilemma(one piece of food)"
"pull","name of the participant that pulled in a given trial "
"focal_participant_left_pull_latency","elapsed time in seconds between the opening of the doors and the first pull of participant_left"
"focal_participant_right_pull_latency","elapsed time in seconds between the opening of the doors and the first pull of participant_right"
"get_4","reward quantity each participant received in a given trial – name of the participant"
"get_1","reward quantity each participant received in a given trial – name of the participant"
"minimum_latency_to_pull","minimum latency in seconds "
"pull_binomial","whether only one participant of the dyad pulled or both"
