study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_sex,phase,session,trial,condition,leverage,side_focal_participant,side_partner,individual_left,individual_right,1st_access,focal_participant_decision,partner_decision,focal_participant_lat_opendoor,partner_lat_opendoor,focal_participant_lat_doortopull,partner_lat_doortopull,focal_participant_success,partner_success,lev_underst_full,lev_underst_gen,focal_participant_lat_doorandpull,parter_lat_doorandpull,focal_participant_latency_total,partner_latency_total,soc_choice,cox1_freechoice_focal,cox2_freechoicepull,cox3_freechoice
sanchez2018chimpanzees,2017,5,29,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,1,1,test,0,l,r,tai,lobo,subject,soc,get_soc,0.72,0.48,1.92,,yes,yes,no,no,2.64,,2.64,0.48,0.0,yes,yes,
sanchez2018chimpanzees,2017,5,29,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,1,2,test,4,l,r,tai,lobo,subject,nonsoc,no,0.8,,,,yes,no,,,,,0.8,,1.0,yes,,
sanchez2018chimpanzees,2017,5,29,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,1,3,test,2,l,r,tai,lobo,subject,nonsoc,soc,0.88,2.4,,0.92,yes,yes,no,no,,3.32,0.88,3.32,1.0,yes,,
sanchez2018chimpanzees,2017,5,29,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,1,4,control,0,l,,tai,,subject,soc,,0.92,,2,,yes,,,,2.92,,2.92,,0.0,yes,yes,
sanchez2018chimpanzees,2017,5,29,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,1,5,control,2,l,,tai,,subject,soc,,7.52,,1.08,,yes,,,,8.6,,8.6,,0.0,yes,yes,
sanchez2018chimpanzees,2017,5,29,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,1,6,control,4,l,,tai,,subject,nonsoc,,9.64,,,,yes,,,,,,9.64,,1.0,yes,,
sanchez2018chimpanzees,2017,5,30,,,,,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,2,1,control,0,,l,lobo,,partner,,soc,,2.04,,2.16,,yes,,,,4.2,,4.2,,,,yes
sanchez2018chimpanzees,2017,5,30,,,,,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,2,2,control,4,,l,lobo,,partner,,soc,,0.4,,3.8,,yes,,,,4.2,,4.2,,,,yes
sanchez2018chimpanzees,2017,5,30,,,,,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,2,3,control,2,,l,lobo,,partner,,soc,,4.44,,6.64,,yes,,,,11.08,,11.08,,,,yes
sanchez2018chimpanzees,2017,5,30,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,2,4,test,2,r,l,lobo,tai,partner,nonsoc,no,3.08,20,,,yes,no,,,,,3.08,20,,,,no
sanchez2018chimpanzees,2017,5,30,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,2,5,test,4,r,l,lobo,tai,partner,nonsoc,nonsoc,1.72,7.88,,,yes,no,,,,,1.72,7.88,,,,
sanchez2018chimpanzees,2017,5,30,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,2,6,test,0,r,l,lobo,tai,partner,soc,get_soc,1.68,1.56,1.92,,yes,yes,,,3.6,,3.6,1.56,,,,no
sanchez2018chimpanzees,2017,6,1,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,3,1,control,4,l,,tai,,subject,nonsoc,,0.8,,,,yes,,,,,,0.8,,1.0,yes,,
sanchez2018chimpanzees,2017,6,1,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,3,2,control,2,l,,tai,,subject,nonsoc,,3.96,,,,yes,,,,,,3.96,,1.0,yes,,
sanchez2018chimpanzees,2017,6,1,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,3,3,control,0,l,,tai,,subject,soc,,0.96,,0.96,,yes,,,,1.92,,1.92,,0.0,yes,yes,
sanchez2018chimpanzees,2017,6,1,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,3,4,test,2,l,r,tai,lobo,subject,nonsoc,soc,2.8,0.64,,1.24,yes,yes,no,no,,1.88,2.8,1.88,1.0,yes,,
sanchez2018chimpanzees,2017,6,1,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,3,5,test,4,l,r,tai,lobo,subject,nonsoc,soc,1.04,2.72,,1.2,yes,yes,,,,3.92,1.04,3.92,1.0,yes,,
sanchez2018chimpanzees,2017,6,1,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,3,6,test,0,l,r,tai,lobo,subject,soc,get_soc,1.24,0.92,1.4,,yes,yes,no,no,2.64,,2.64,0.92,0.0,yes,yes,
sanchez2018chimpanzees,2017,6,2,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,4,1,test,2,r,l,lobo,tai,partner,nonsoc,soc,2.28,17.68,,,yes,no,,,,,2.28,17.68,,,,no
sanchez2018chimpanzees,2017,6,2,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,4,2,test,4,r,l,lobo,tai,partner,nonsoc,soc,1.76,7.08,,,yes,no,,,,,1.76,7.08,,,,no
sanchez2018chimpanzees,2017,6,2,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,4,3,test,0,r,l,lobo,tai,partner,soc,get_soc,1.28,20.64,6.12,,yes,yes,,,7.4,,7.4,20.64,,,,no
sanchez2018chimpanzees,2017,6,2,,,,,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,4,4,control,0,,l,lobo,,partner,,soc,,2.8,,3.12,,yes,,,,5.92,,5.92,,,,yes
sanchez2018chimpanzees,2017,6,2,,,,,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,4,5,control,4,,l,lobo,,partner,,soc,,0.48,,1,,yes,,,,1.48,,1.48,,,,yes
sanchez2018chimpanzees,2017,6,2,,,,,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,4,6,control,2,,l,lobo,,partner,,soc,,1.4,,2.72,,yes,,,,4.12,,4.12,,,,yes
sanchez2018chimpanzees,2017,6,4,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,5,1,test,2,r,l,lobo,tai,subject,nonsoc,soc,0.56,0.64,,1.76,yes,yes,no,no,,2.4,0.56,2.4,1.0,yes,,
sanchez2018chimpanzees,2017,6,4,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,5,2,test,4,r,l,lobo,tai,subject,nonsoc,soc,0.88,0.6,,6.48,yes,yes,,,,7.08,0.88,7.08,1.0,yes,,
sanchez2018chimpanzees,2017,6,4,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,5,3,test,0,r,l,lobo,tai,subject,soc,get_soc,0.68,0.44,1.6,,yes,yes,no,no,2.28,,2.28,0.44,0.0,yes,yes,
sanchez2018chimpanzees,2017,6,4,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,5,4,control,0,r,,,tai,subject,soc,,0.84,,3.32,,yes,,,,4.16,,4.16,,0.0,yes,yes,
sanchez2018chimpanzees,2017,6,4,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,5,5,control,4,r,,,tai,subject,nonsoc,,2.36,,,,yes,,,,,,2.36,,1.0,yes,,
sanchez2018chimpanzees,2017,6,4,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,5,6,control,2,r,,,tai,subject,nonsoc,,1.92,,,,yes,,,,,,1.92,,1.0,yes,,
sanchez2018chimpanzees,2017,6,6,,,,,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,6,1,control,2,,r,,lobo,partner,,soc,,1.44,,6.32,,yes,,,,7.76,,7.76,,,,yes
sanchez2018chimpanzees,2017,6,6,,,,,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,6,2,control,4,,r,,lobo,partner,,soc,,3.16,,3.44,,yes,,,,6.6,,6.6,,,,yes
sanchez2018chimpanzees,2017,6,6,,,,,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,6,3,control,0,,r,,lobo,partner,,soc,,1.76,,1.96,,yes,,,,3.72,,3.72,,,,yes
sanchez2018chimpanzees,2017,6,6,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,6,4,test,2,l,r,tai,lobo,partner,nonsoc,soc,1.6,3.76,,11.16,yes,yes,,,,14.92,1.6,14.92,,,,no
sanchez2018chimpanzees,2017,6,6,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,6,5,test,0,l,r,tai,lobo,partner,get_soc,soc,10.84,2.04,,4.04,yes,yes,,,,6.08,10.84,6.08,,,,yes
sanchez2018chimpanzees,2017,6,6,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,6,6,test,4,l,r,tai,lobo,partner,nonsoc,soc,1.36,1.16,,2.28,yes,yes,,,,3.44,1.36,3.44,,,,yes
sanchez2018chimpanzees,2017,6,7,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,7,1,control,0,r,,,tai,subject,soc,,2.28,,1.36,,yes,,,,3.64,,3.64,,0.0,yes,yes,
sanchez2018chimpanzees,2017,6,7,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,7,2,control,4,r,,,tai,subject,nonsoc,,1.2,,,,yes,,,,,,1.2,,1.0,yes,,
sanchez2018chimpanzees,2017,6,7,tai,14.0,f,focal_participant,,,,,chimpanzee,tai_lobo,mix,1,7,3,control,2,r,,,tai,subject,nonsoc,,1.56,,,,yes,,,,,,1.56,,1.0,yes,,
sanchez2018chimpanzees,2017,6,7,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,7,4,test,2,r,l,lobo,tai,subject,nonsoc,soc,0.8,2.48,,1.68,yes,yes,no,no,,4.16,0.8,4.16,1.0,yes,,
sanchez2018chimpanzees,2017,6,7,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,7,5,test,0,r,l,lobo,tai,subject,soc,get_soc,1.08,0.52,3.24,,yes,yes,no,no,4.32,,4.32,0.52,0.0,yes,yes,
sanchez2018chimpanzees,2017,6,7,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,7,6,test,4,r,l,lobo,tai,subject,nonsoc,soc,0.8,1,,2,yes,yes,,,,3,0.8,3,1.0,yes,,
sanchez2018chimpanzees,2017,6,8,tai,14.0,f,focal_participant,lobo,13.0,m,partner,chimpanzee,tai_lobo,mix,1,8,1,test,2,l,r,tai,lobo,partner,nonsoc,soc,1.84,6.12,,7.76,yes,yes,,,,13.88,1.84,13.88,,,,no
