"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant 1 – focal_participant_right"
"participant_2","name of the participant_2"
"age_in_years_2","age presented in years of the participant_2  – see metadata for source of age"
"sex_2","sex of the participant_2"
"role_2","role of the participant_2 – focal_participant_left"
"species","species of individuals participating in the study -chimpanzee"
"dyad","name of the two participants that compose the dyad "
"dyad_sex","sex of the participants (male (both males)/ female (both females)/ mix (female and male))"
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"phase","phases in which participants were paired:  Phase 1 = initial phase. Phase 2 = final phase. After indviduals completed four cooperative training sessions with a human partner between phases"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","condition bot (bottom / social dilemma) or top (competition)"
"pull_left","whether the participant on the left pulled"
"pull_right","whether the participant on the right pulled"
"success_left","whether the participant on the left succeeded to obtain any reward"
"success_right","whether the participant on the left succeeded to obtain any reward"
"efficiency_score","efficiency score based on the the number of individuals that obtained at least a reward on a given trial: 0 = no pair member obtained a reward/ 1 = one pair member obtained at least a reward/ 2 = both pair members obtained rewards"
"number_grapes_left","number of grapes obtained by the participant on the left side"
"number_grapes_right","number of grapes obtained by the participant on the right side"
"latency_pull_left","latency to start pulling from the left side"
"latency_pull_right","latency to start pulling from the right side"
"min_latency","minimum latency between both sides"
"coordination","whether they coordinated (pull together all the way up or down and share rewards)"
