study_id,year,month,day,participant,age_in_years,sex,species,session,trial,condition,left,center,right,choice,position_strictly_dominated_baseline
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,1,training_control_for_decoy_banana,empty,small_banana,banana,banana,end
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,2,training_baseline,banana,grape,empty,banana,end
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,3,training_control_for_decoy_grape,small_grape,empty,grape,grape,end
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,4,training_baseline,banana,empty,grape,banana,end
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,5,training_baseline,grape,banana,empty,banana,end
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,6,training_baseline,grape,empty,banana,banana,end
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,7,training_control_for_decoy_grape,small_grape,grape,empty,grape,end
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,8,training_control_for_decoy_grape,grape,empty,small_grape,grape,end
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,9,training_control_for_decoy_banana,banana,empty,small_banana,banana,end
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,10,training_control_for_decoy_grape,grape,small_grape,empty,grape,end
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,11,training_baseline,empty,grape,banana,banana,end
sanchez2019disentangling,2016,7,5,abeeku,17.0,m,gorilla,1,12,training_control_for_decoy_banana,small_banana,empty,banana,banana,end
sanchez2019disentangling,2016,7,6,abeeku,17.0,m,gorilla,2,1,training_control_for_decoy_grape,empty,grape,small_grape,grape,end
sanchez2019disentangling,2016,7,6,abeeku,17.0,m,gorilla,2,2,training_control_for_decoy_banana,small_banana,banana,empty,banana,end
sanchez2019disentangling,2016,7,6,abeeku,17.0,m,gorilla,2,3,training_baseline,empty,banana,grape,banana,end
sanchez2019disentangling,2016,7,6,abeeku,17.0,m,gorilla,2,4,training_control_for_decoy_grape,empty,small_grape,grape,grape,end
sanchez2019disentangling,2016,7,6,abeeku,17.0,m,gorilla,2,5,training_control_for_decoy_banana,banana,small_banana,empty,banana,end
sanchez2019disentangling,2016,7,6,abeeku,17.0,m,gorilla,2,6,training_control_for_decoy_banana,empty,banana,small_banana,banana,end
