"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"year","year the data point was obtained"
"month","month the data point was obtained"
"day","day of the month the data point was obtained "
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan"
"session","set of trials - mostly occurring on the same day - usually numerical"
"trial","presentation of the experiment to the participants - usually numerical"
"condition","Condition entries specified in table 2 of publication"
"left","food baited on the left side of the tray"
"center","food baited on the center of the tray"
"right","food baited on the right side of the tray"
"choice", choice of the participant - banana/grape
"position_strictly_dominated_baseline","end or first refers to the position of this baseline - either located after after the two sets of sessions (session 7) or between the two sets of sessions (session 4)"
