study_id,experiment,experiment_name,participant,age_in_years,sex,species,condition,location_id,number_food_pieces,distance_meters,number_days_approached_and_depleted,number_days_approached,relative_percentage_successfully_approached,relative_percentage_approached,number_baited
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,banana,1.0,10.0,24.42,8.0,11.0,0.73,1.0,
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,banana,2.0,7.0,34.53,4.0,7.0,0.36,0.64,
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,banana,3.0,6.0,35.41,4.0,7.0,0.36,0.64,
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,banana,4.0,5.0,29.01,4.0,6.0,0.36,0.55,
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,banana,5.0,10.0,30.22,7.0,10.0,0.64,0.91,
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,banana,6.0,5.0,34.78,4.0,6.0,0.36,0.55,
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,banana,7.0,8.0,45.3,2.0,3.0,0.18,0.27,
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,banana,8.0,5.0,49.08,0.0,1.0,0.0,0.09,
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,banana,9.0,5.0,48.14,0.0,0.0,0.0,0.0,
scheumann2006sumatran,2,factors,toba,8.0,f,orangutan,banana,10.0,4.0,25.76,0.0,1.0,0.0,0.09,
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,banana,1.0,10.0,24.42,4.0,8.0,0.33,0.67,
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,banana,2.0,7.0,34.53,7.0,9.0,0.58,0.75,
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,banana,3.0,6.0,35.41,7.0,9.0,0.58,0.75,
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,banana,4.0,5.0,29.01,0.0,2.0,0.0,0.17,
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,banana,5.0,10.0,30.22,8.0,9.0,0.67,0.75,
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,banana,6.0,5.0,34.78,2.0,7.0,0.17,0.58,
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,banana,7.0,8.0,45.3,0.0,3.0,0.0,0.25,
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,banana,8.0,5.0,49.08,1.0,1.0,0.08,0.08,
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,banana,9.0,5.0,48.14,1.0,1.0,0.08,0.08,
scheumann2006sumatran,2,factors,bimbo,22.0,m,orangutan,banana,10.0,4.0,25.76,1.0,1.0,0.08,0.08,
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,banana,1.0,10.0,24.42,5.0,8.0,0.42,0.67,
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,banana,2.0,7.0,34.53,2.0,7.0,0.17,0.58,
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,banana,3.0,6.0,35.41,3.0,8.0,0.25,0.67,
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,banana,4.0,5.0,29.01,3.0,7.0,0.25,0.58,
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,banana,5.0,10.0,30.22,5.0,9.0,0.42,0.75,
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,banana,6.0,5.0,34.78,3.0,2.0,0.25,0.17,
scheumann2006sumatran,2,factors,walter,13.0,m,orangutan,banana,7.0,8.0,45.3,5.0,10.0,0.42,0.83,
