study_id,participant,sex,role,participant_2,sex_2,role_2,species,dyad,session,trial,condition,social,choice
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,1.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,2.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,3.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,4.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,5.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,6.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,7.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,8.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,9.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,10.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,11.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,1.0,12.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,13.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,14.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,15.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,16.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,17.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,18.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,19.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,20.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,21.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,22.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,23.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,2.0,24.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,25.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,26.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,27.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,28.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,29.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,30.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,31.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,32.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,33.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,34.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,35.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,3.0,36.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,37.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,38.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,39.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,40.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,41.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,42.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,43.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,44.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,45.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,46.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,47.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,4.0,48.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,49.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,50.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,51.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,52.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,53.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,54.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,55.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,56.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,57.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,58.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,59.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,5.0,60.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,61.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,62.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,63.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,64.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,65.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,66.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,67.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,68.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,69.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,70.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,71.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,6.0,72.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,73.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,74.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,75.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,76.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,77.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,78.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,79.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,80.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,81.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,82.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,83.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,7.0,84.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,85.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,86.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,87.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,88.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,89.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,90.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,91.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,92.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,93.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,94.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,95.0,focal_first,social,empty_picture
schmelz2013chimpanzees,robert,m,focal_participant,pia,f,competitor,chimpanzee,robert_pia,8.0,96.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,1.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,2.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,3.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,4.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,5.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,6.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,7.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,8.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,9.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,10.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,11.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,1.0,12.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,13.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,14.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,15.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,16.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,17.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,18.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,19.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,20.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,21.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,22.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,23.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,2.0,24.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,25.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,26.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,27.0,focal_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,28.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,29.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,30.0,focal_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,31.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,32.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,33.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,34.0,focal_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,35.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,3.0,36.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,37.0,focal_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,38.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,39.0,focal_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,40.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,41.0,competitor_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,42.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,43.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,44.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,45.0,focal_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,46.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,47.0,competitor_first,social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,4.0,48.0,focal_first,social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,49.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,50.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,51.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,52.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,53.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,54.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,55.0,competitor_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,56.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,57.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,58.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,59.0,competitor_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,5.0,60.0,focal_first,non-social,pellet_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,6.0,61.0,focal_first,non-social,empty_picture
schmelz2013chimpanzees,natascha,f,focal_participant,lome,m,competitor,chimpanzee,natascha_lome,6.0,62.0,competitor_first,non-social,pellet_picture
