"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"sex","sex of the participant "
"role","role of the participant – focal_participant  "
"participant_2","name of the participant_2 "
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – competitor  "
"species","species of individuals participating in the study - chimpanzee"
"dyad","name of the two participants that compose the dyad "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","focal first = the focal participant chooses one side before the platform goes to the other cage. Competitor first = the focal chooses one side after the platform has been on the other side (whether or not a competitor is present (social) or not (nonsocial) -  see below)"
"social","social = the competitor is present on the other side- non-social = there is no competitor present- that cage is empty. Half of the focal participants started in the social group- the other half in the non-social group."
"choice","pellet picture = focal participant chose the container with the picture of pellets- empty picture = focal participant chose the container with the picture of nothing (focal did not see pictures when choosing but had to remember the locations from the baiting)"
