"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant - "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant  "
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – partner  "
"participant_3","name of the participant_3 "
"age_in_years_3","age presented in years of participant_3 – see metadata for source of age"
"sex_3","sex of the participant_3 "
"role_3","role of the participant_3 – third_party  "
"triad","name of the three ape participants that compose the triad"
"species","species of individuals participating in the study - chimpanzee"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","dr = direct reciprocity condition. The partner released food that was directly going to the focal_participant. The third party chimp did not do anything. ir = indirect reciprocity condition. The partner released food that was going to the third party chimp. The focal_participant received an unrelated piece of food."
"prosocial_option","location of the prosocial (1/1) option for the focal_participant. This could either have been location 1 = the two cups to the left from focal_participant POV or 2 = the two cups to the right from focal_participant POV."
"focal_participant_choice","option the focal_participant chose"
"prosocial_choice","0 = focal_participant did not choose prosocially (prosocial_option and focal_participant_choice are not the same)- 1 = focal_participant chose prosocially (prosocial_option and focal_participant_choice are identical)."
