study_id,participant,sex,species,session,trial,order,automatic_gaze_value,gaze_behind_barriers_value
schmid2017great,abeeku,m,gorilla,1,1,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,1,2,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,1,3,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,1,4,unreliablefirst,1.0,1.0
schmid2017great,abeeku,m,gorilla,1,5,unreliablefirst,1.0,0.0
schmid2017great,abeeku,m,gorilla,1,6,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,1,7,unreliablefirst,1.0,0.0
schmid2017great,abeeku,m,gorilla,1,8,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,2,1,unreliablefirst,1.0,0.0
schmid2017great,abeeku,m,gorilla,2,2,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,2,3,unreliablefirst,1.0,0.0
schmid2017great,abeeku,m,gorilla,2,4,unreliablefirst,1.0,0.0
schmid2017great,abeeku,m,gorilla,2,5,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,2,6,unreliablefirst,1.0,1.0
schmid2017great,abeeku,m,gorilla,2,7,unreliablefirst,,0.0
schmid2017great,abeeku,m,gorilla,2,8,unreliablefirst,1.0,2.0
schmid2017great,abeeku,m,gorilla,3,1,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,3,2,unreliablefirst,1.0,1.0
schmid2017great,abeeku,m,gorilla,3,3,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,3,4,unreliablefirst,1.0,1.0
schmid2017great,abeeku,m,gorilla,3,5,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,3,6,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,3,7,unreliablefirst,1.0,1.0
schmid2017great,abeeku,m,gorilla,3,8,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,4,1,unreliablefirst,1.0,2.0
schmid2017great,abeeku,m,gorilla,4,2,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,4,3,unreliablefirst,1.0,1.0
schmid2017great,abeeku,m,gorilla,4,4,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,4,5,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,4,6,unreliablefirst,1.0,4.0
schmid2017great,abeeku,m,gorilla,4,7,unreliablefirst,0.0,0.0
schmid2017great,abeeku,m,gorilla,4,8,unreliablefirst,1.0,3.0
schmid2017great,alex,m,chimpanzee,1,1,reliablefirst,1.0,0.0
schmid2017great,alex,m,chimpanzee,1,2,reliablefirst,1.0,0.0
schmid2017great,alex,m,chimpanzee,1,3,reliablefirst,1.0,0.0
schmid2017great,alex,m,chimpanzee,1,4,reliablefirst,1.0,2.0
schmid2017great,alex,m,chimpanzee,1,5,reliablefirst,1.0,1.0
schmid2017great,alex,m,chimpanzee,1,6,reliablefirst,1.0,0.0
schmid2017great,alex,m,chimpanzee,1,7,reliablefirst,1.0,0.0
schmid2017great,alex,m,chimpanzee,1,8,reliablefirst,1.0,2.0
schmid2017great,alex,m,chimpanzee,2,1,reliablefirst,1.0,0.0
schmid2017great,alex,m,chimpanzee,2,2,reliablefirst,1.0,0.0
