study_id,experiment,participant,age_in_years,sex,species,condition,simul_pass,sim_final_percent_volume,sim_100,sim_80,sim_60,sim_40,sim_30,sim_20,sim_10,sim_5,sequence_pass,sequence_final_percent_volume,seq_05,seq_20,seq_60,final_percent_volume_at_5_sequence,final_percent_volume_at_20_sequence,final_percent_volume_at_60_sequence
schmitt2013monkeys,1,beinhaar,3,f,baboon,suc,1.0,20,12.0,3.0,3.0,3.0,6.0,11.0,,,1.0,20.0,5.0,5.0,4.0,20.0,20.0,20
schmitt2013monkeys,1,dorien,25,f,chimpanzee,sim,1.0,20,,,,,12.0,2.0,,,1.0,30.0,2.0,2.0,2.0,30.0,30.0,30
schmitt2013monkeys,1,fraukje,unknown,f,chimpanzee,sim,1.0,10,,,,,10.0,4.0,4.0,,1.0,20.0,3.0,3.0,2.0,20.0,20.0,20
schmitt2013monkeys,1,frodo,12,m,chimpanzee,sim,1.0,20,,,,,12.0,7.0,,,1.0,20.0,2.0,4.0,9.0,20.0,20.0,20
schmitt2013monkeys,1,jago,2,m,baboon,sim,1.0,40,11.0,4.0,2.0,7.0,,,,,1.0,10.0,6.0,11.0,3.0,10.0,10.0,10
schmitt2013monkeys,1,joey,23,m,bonobo,sim,1.0,30,,,,,12.0,,,,0.0,,,,,,,
schmitt2013monkeys,1,kuno,8,m,bonobo,sim,1.0,5,,,,,7.0,3.0,2.0,4.0,1.0,10.0,4.0,2.0,2.0,10.0,10.0,10
schmitt2013monkeys,1,limbuko,10,m,bonobo,sim,1.0,10,,,,,11.0,7.0,3.0,,1.0,20.0,3.0,1.0,2.0,10.0,10.0,20
schmitt2013monkeys,1,linda,2,f,macaque,suc,1.0,5,,,,,10.0,4.0,2.0,12.0,1.0,30.0,3.0,,,30.0,,
schmitt2013monkeys,1,maja,4,f,chimpanzee,suc,1.0,10,,,,,12.0,12.0,8.0,,1.0,10.0,4.0,5.0,3.0,10.0,10.0,10
schmitt2013monkeys,1,meister,7,m,baboon,sim,1.0,40,3.0,6.0,2.0,3.0,,,,,1.0,20.0,5.0,3.0,2.0,10.0,20.0,20
schmitt2013monkeys,1,nase,7,f,baboon,sim,1.0,30,12.0,2.0,2.0,4.0,3.0,,,,,,,,,,,
schmitt2013monkeys,1,patrick,9,m,chimpanzee,sim,1.0,20,,,,,5.0,7.0,,,1.0,20.0,8.0,6.0,2.0,20.0,20.0,20
schmitt2013monkeys,1,pit,3,m,macaque,suc,1.0,30,,,,,4.0,,,,1.0,30.0,10.0,2.0,5.0,30.0,30.0,30
schmitt2013monkeys,1,pünktchen,2,m,baboon,sim,1.0,20,12.0,4.0,3.0,3.0,6.0,8.0,,,1.0,10.0,5.0,3.0,2.0,10.0,10.0,10
schmitt2013monkeys,1,sophie,2,f,macaque,suc,1.0,10,,,,,13.0,2.0,5.0,,1.0,10.0,5.0,2.0,3.0,10.0,10.0,10
schmitt2013monkeys,1,ulindi,12,f,bonobo,sim,1.0,30,,,,,12.0,,,,1.0,30.0,4.0,4.0,3.0,30.0,30.0,30
schmitt2013monkeys,1,yasa,9,f,bonobo,sim,1.0,20,,,,,12.0,6.0,,,1.0,20.0,7.0,7.0,3.0,20.0,20.0,20
schmitt2013monkeys,1,natascha,unknown,f,chimpanzee,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,gorgo,25,m,gorilla,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,bebe,25,f,gorilla,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,ruby_b'windi,unknown,f,gorilla,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,n’diki,28,f,gorilla,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,viringika,11,f,gorilla,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,bianka,unknown,f,gorilla,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,hakuna,unknown,f,gorilla,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,lena,unknown,f,gorilla,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,tröpfchen,11,f,baboon,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,brille,5,f,baboon,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,schecki,6,f,baboon,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,tiger,3,f,baboon,sim,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,sally,4,f,macaque,suc,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,lenny,2,m,macaque,suc,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,samson,3,m,macaque,suc,0.0,failed,,,,,,,,,,,,,,,,
schmitt2013monkeys,1,sunny,9,f,macaque,suc,0.0,failed,,,,,,,,,,,,,,,,
