"study_id","experiment","participant","age_in_years","sex","species","correct_2a","correct_2b","set_combined","control","chance"
"schmitt2013monkeys",2,"joey",23,"m","bonobo",93.75,32.81,63.28,50.005,50
"schmitt2013monkeys",2,"kuno",8,"m","bonobo",100,93.75,96.875,48.44,50
"schmitt2013monkeys",2,"limbuko",10,"m","bonobo",95.31,93.75,94.53,48.44,50
"schmitt2013monkeys",2,"ulindi",12,"f","bonobo",81.25,57.81,69.53,40.625,50
"schmitt2013monkeys",2,"yasa",9,"f","bonobo",,95.31,95.31,43.75,50
"schmitt2013monkeys",2,"dorien",25,"f","chimpanzee",67.19,71.88,69.535,50,50
"schmitt2013monkeys",2,"fifi",13,"f","chimpanzee",82.81,95.31,89.06,50.005,50
"schmitt2013monkeys",2,"frodo",12,"m","chimpanzee",95.16,72.31,83.735,49.245,50
"schmitt2013monkeys",2,"jahaga",13,"f","chimpanzee",87.5,98.44,92.97,46.875,50
"schmitt2013monkeys",2,"patrick",9,"m","chimpanzee",76.56,82.81,79.685,51.565,50
"schmitt2013monkeys",2,"riet",28,"f","chimpanzee",89.06,51.52,70.29,61.355,50
"schmitt2013monkeys",2,"robert",30,"m","chimpanzee",67.19,56.25,61.72,42.19,50
"schmitt2013monkeys",2,"sandra",13,"f","chimpanzee",76.56,90.63,83.595,54.69,50
"schmitt2013monkeys",2,"bebe",25,"f","gorilla",46.03,50,48.015,43.75,50
"schmitt2013monkeys",2,"gorgo",25,"m","gorilla",64.06,57.81,60.935,39.065,50
"schmitt2013monkeys",2,"n’diki",28,"f","gorilla",73.44,53.13,63.285,51.565,50
"schmitt2013monkeys",2,"n’kwango",9,"m","gorilla",78.13,26.56,52.345,45.315,50
"schmitt2013monkeys",2,"ruby_b'windi","unknown","f","gorilla",84.38,95.24,89.81,40.055,50
"schmitt2013monkeys",2,"viringika",11,"f","gorilla",,81.25,81.25,59.38,50
"schmitt2013monkeys",2,"sally",4,,"macaque",89.58,64.58,77.08,46.88,50
"schmitt2013monkeys",2,"lenny",2,,"macaque",75,68.75,71.875,46.88,50
"schmitt2013monkeys",2,"samson",3,,"macaque",79.17,87.5,83.335,40.63,50
"schmitt2013monkeys",2,"selina",3,,"macaque",91.67,62.5,77.085,34.38,50
"schmitt2013monkeys",2,"popey",4,,"macaque",75,68.75,71.875,43.75,50
"schmitt2013monkeys",2,"pit",3,,"macaque",97.92,100,98.96,53.13,50
"schmitt2013monkeys",2,"sophie",2,,"macaque",100,79.17,89.585,43.75,50
