study_id,experiment,participant,age_in_years,sex,species,group_original,visible,aligned,covered
seed2012chimpanzee,1,swela,15.0,f,chimpanzee,1.0,5.0,6.0,6.0
seed2012chimpanzee,1,lobo,6.0,m,chimpanzee,2.0,6.0,6.0,7.0
seed2012chimpanzee,1,dorien,30.0,f,chimpanzee,2.0,9.0,6.0,8.0
seed2012chimpanzee,1,natascha,30.0,f,chimpanzee,2.0,8.0,6.0,8.0
seed2012chimpanzee,1,riet,33.0,f,chimpanzee,2.0,9.0,8.0,5.0
seed2012chimpanzee,1,corry,34.0,f,chimpanzee,2.0,8.0,7.0,6.0
seed2012chimpanzee,1,fraukje,34.0,f,chimpanzee,2.0,9.0,6.0,6.0
seed2012chimpanzee,1,robert,35.0,m,chimpanzee,2.0,9.0,6.0,5.0
seed2012chimpanzee,1,kara,5.0,f,chimpanzee,3.0,6.0,6.0,6.0
seed2012chimpanzee,1,kofi,5.0,m,chimpanzee,3.0,8.0,4.0,5.0
seed2012chimpanzee,1,tai,8.0,f,chimpanzee,3.0,11.0,5.0,6.0
seed2012chimpanzee,1,lome,9.0,m,chimpanzee,3.0,10.0,7.0,6.0
seed2012chimpanzee,1,pia,11.0,f,chimpanzee,4.0,10.0,10.0,10.0
seed2012chimpanzee,1,patrick,13.0,m,chimpanzee,4.0,11.0,10.0,8.0
seed2012chimpanzee,1,frodo,17.0,m,chimpanzee,4.0,12.0,11.0,9.0
seed2012chimpanzee,1,sandra,17.0,f,chimpanzee,4.0,10.0,10.0,11.0
