study_id,publication_year,experiment,participant,age_original,sex,species,trial,reward,overall_success,cs_condition_success,lc_of_cd_condition_success,lt_of_cd_condition_success,cd_condition_success,os_condition_success,lc_of_od_condition_success,lt_of_od_condition_success,od_condition_success,drop_out
suda2005piagetian,2004,1,joey,adult,m,bonobo,1.0,juice,100.0,100.0,100.0,8.3,54.2,70.8,100.0,0.0,50.0,
suda2005piagetian,2004,1,kuno,non-adult,m,bonobo,2.0,juice,96.7,100.0,100.0,100.0,100.0,75.0,100.0,16.7,58.3,
suda2005piagetian,2004,1,limbuko,non-adult,m,bonobo,3.0,juice,99.2,100.0,91.7,91.7,91.7,54.2,83.3,33.3,58.3,
suda2005piagetian,2004,1,ulindi,non-adult,f,bonobo,4.0,juice,97.5,100.0,91.7,83.3,87.5,83.3,91.7,33.3,62.5,
suda2005piagetian,2004,1,fifi,non-adult,f,chimpanzee,5.0,juice,98.3,91.7,75.0,75.0,75.0,70.8,100.0,16.7,58.3,
suda2005piagetian,2004,1,fraukje,adult,f,chimpanzee,6.0,juice,97.5,95.8,100.0,33.3,66.7,79.2,100.0,0.0,50.0,
suda2005piagetian,2004,1,jahaga,non-adult,f,chimpanzee,7.0,juice,95.8,87.5,91.7,25.0,58.3,62.5,100.0,0.0,50.0,
suda2005piagetian,2004,1,sandra,non-adult,f,chimpanzee,8.0,juice,90.8,83.3,100.0,66.7,83.3,58.3,91.7,16.7,54.2,true
suda2005piagetian,2004,1,ulla,adult,f,chimpanzee,9.0,juice,85.0,100.0,100.0,0.0,50.0,58.3,100.0,0.0,50.0,true
suda2005piagetian,2004,1,bimbo,adult,m,orangutan,10.0,juice,96.7,100.0,91.7,91.7,91.7,79.2,50.0,91.7,70.8,
suda2005piagetian,2004,1,dunja,adult,f,orangutan,11.0,juice,96.7,95.8,91.7,100.0,95.8,62.5,66.7,83.3,75.0,
suda2005piagetian,2004,1,pini,adult,f,orangutan,12.0,juice,98.3,100.0,100.0,91.7,95.8,91.7,100.0,66.7,83.3,
suda2005piagetian,2004,1,toba,non-adult,f,orangutan,13.0,juice,99.2,100.0,100.0,100.0,100.0,100.0,91.7,41.7,66.7,
suda2005piagetian,2004,1,walter,adult,m,orangutan,14.0,juice,99.2,95.8,50.0,100.0,75.0,70.8,33.3,100.0,66.7,
suda2005piagetian,2005,1,joey,adult,m,bonobo,1.0,cereal_or_raisins,91.7,87.5,100.0,66.7,83.3,50.0,100.0,0.0,50.0,
suda2005piagetian,2005,1,kuno,non-adult,m,bonobo,2.0,cereal_or_raisins,98.3,100.0,100.0,100.0,100.0,70.8,83.3,66.7,75.0,
suda2005piagetian,2005,1,limbuko,non-adult,m,bonobo,3.0,cereal_or_raisins,100.0,95.8,100.0,100.0,100.0,70.8,83.3,83.3,83.3,
suda2005piagetian,2005,1,ulindi,non-adult,f,bonobo,4.0,cereal_or_raisins,99.2,100.0,91.7,100.0,95.8,95.8,75.0,91.7,83.3,
suda2005piagetian,2005,1,fifi,non-adult,f,chimpanzee,5.0,cereal_or_raisins,95.8,100.0,91.7,91.7,91.7,100.0,100.0,100.0,100.0,
suda2005piagetian,2005,1,fraukje,adult,f,chimpanzee,6.0,cereal_or_raisins,88.3,91.7,100.0,83.3,91.7,79.2,91.7,66.7,79.2,
suda2005piagetian,2005,1,jahaga,non-adult,f,chimpanzee,7.0,cereal_or_raisins,97.5,100.0,100.0,91.7,95.8,83.3,100.0,75.0,87.5,
suda2005piagetian,2005,1,sandra,non-adult,f,chimpanzee,8.0,cereal_or_raisins,,,,,,,,,,true
suda2005piagetian,2005,1,ulla,adult,f,chimpanzee,9.0,cereal_or_raisins,,,,,,,,,,true
suda2005piagetian,2005,1,bimbo,adult,m,orangutan,10.0,cereal_or_raisins,99.2,100.0,83.3,100.0,91.7,95.8,83.3,83.3,83.3,
suda2005piagetian,2005,1,dunja,adult,f,orangutan,11.0,cereal_or_raisins,95.8,100.0,91.7,100.0,95.8,91.7,100.0,100.0,100.0,
suda2005piagetian,2005,1,pini,adult,f,orangutan,12.0,cereal_or_raisins,99.2,100.0,100.0,100.0,100.0,100.0,66.7,83.3,75.0,
suda2005piagetian,2005,1,toba,non-adult,f,orangutan,13.0,cereal_or_raisins,100.0,100.0,100.0,100.0,100.0,95.8,100.0,100.0,100.0,
suda2005piagetian,2005,1,walter,adult,m,orangutan,14.0,cereal_or_raisins,95.8,100.0,50.0,100.0,75.0,83.3,66.7,100.0,83.3,
