study_id,year,month,day,experiment,participant,age_in_years,sex,species,trial,trial_type,lc_or_lt_trial,1st_amount_chosen,2nd_amount_chosen,2nd_choice_container
suda2005piagetian,2003,06,05,2,joey,20.0,m,bonobo,1,liquid_no testing trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial
suda2005piagetian,2003,06,05,2,joey,20.0,m,bonobo,2,discrete_opaque-different,lc_trial,larger_quantity,larger_quantity,cup
suda2005piagetian,2003,06,05,2,joey,20.0,m,bonobo,3,liquid_opaque-same,no_trial_type,larger_quantity,smaller_quantity,cup
suda2005piagetian,2003,06,05,2,joey,20.0,m,bonobo,4,liquid_opaque-same,no_trial_type,larger_quantity,smaller_quantity,cup
suda2005piagetian,2003,06,05,2,joey,20.0,m,bonobo,5,discrete_no testing trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial
suda2005piagetian,2003,06,05,2,joey,20.0,m,bonobo,6,discrete_opaque-different,lt_trial,larger_quantity,smaller_quantity,cup
suda2005piagetian,2003,06,05,2,joey,20.0,m,bonobo,7,liquid_opaque-different,lt_trial,larger_quantity,smaller_quantity,cup
suda2005piagetian,2003,06,05,2,joey,20.0,m,bonobo,8,discrete_opqaue-same,no_trial_type,larger_quantity,smaller_quantity,cup
suda2005piagetian,2003,06,05,2,joey,20.0,m,bonobo,9,discrete_opqaue-same,no_trial_type,larger_quantity,larger_quantity,cup
suda2005piagetian,2003,06,05,2,joey,20.0,m,bonobo,10,liquid_opaque-different,lc_trial,larger_quantity,larger_quantity,cup
suda2005piagetian,2003,06,06,2,joey,20.0,m,bonobo,1,liquid_opaque-different,lc_trial,larger_quantity,larger_quantity,cup
suda2005piagetian,2003,06,06,2,joey,20.0,m,bonobo,2,discrete_opaque-different,lt_trial,larger_quantity,smaller_quantity,cup
suda2005piagetian,2003,06,06,2,joey,20.0,m,bonobo,3,liquid_opaque-same,no_trial_type,larger_quantity,larger_quantity,cup
suda2005piagetian,2003,06,06,2,joey,20.0,m,bonobo,4,discrete_no testing trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial
suda2005piagetian,2003,06,06,2,joey,20.0,m,bonobo,5,discrete_opqaue-same,no_trial_type,larger_quantity,smaller_quantity,cup
suda2005piagetian,2003,06,06,2,joey,20.0,m,bonobo,6,liquid_no testing trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial
