"column_name","description",
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word ",
"experiment","number of experiment from publication ",
"year","year the data point was obtained ",
"month","month the data point was obtained",
"day","day of the month the data point was obtained",
"participant","name of the participant ",
"age_in_years","age presented in years – see metadata for source of age",
"sex","sex of the participant ",
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan ",
"session","set of trials - mostly occurring on the same day - usually numerical ",
"trial","presentation of the experiment to the participants - usually numerical ",
"trial_type","trial type= Clear same (CS): The experimenter presented a pair of identical clear cups filled with different amounts of grape juice (20 ml and 50 ml) and let the participants select one of the containers./ Clear different (CD): Two different quantities of juice were transferred from a pair of identical clear cups into a clear cup and a clear tube./ Opaque same (OS): Two different quantities of juice were transferred from a pair of identical clear cups  into a pair of opaque cups./ Opaque different (OD): Two different quantities of juice were transferred from a pair of identical clear cups into an opaque cup and an opaque tube./ No testing trial (NO)",
"lc_or_lt_trial","LC trial: In half of the trials the larger quantity was transferred into the cup while the smaller was poured into the tube/ LT trial: In the other half of the trials the combination of the quantities and the shapes of the containers was reversed. ",
"pointed_at_both_1st_choice","whether the participant pointed at both alternatives= The participant simultaneously sticks its fingers through both the right and left holes in the Plexiglas in the 1st choice. ",
"changed_in_1st_choice","whether the participant changed a choice= The participants sticks its finger(s) through one of the holes in the Plexiglas and changes to the other hole in the 1st choice. ",
"pointed_at_both_2nd_choice","whether the participant pointed at both alternatives= The participant simultaneously sticks its fingers through both the right and left holes in the Plexiglas in the 2nd choice. ",
"changed_in_2nd_choice","whether the participant changed a choice= The participant  sticks its finger(s) through one of the holes in the Plexiglas"," and changes to the other hole in the 2nd choice. "
"hesitated_in_1st_choice","whether the participant demonstrated Hesitation in the 1st choice= The participant demonstrated hesitant behavior by PB (pointing at both alternatives) or CC (changing a choice) in the 1st choice. ",
"hesitated_in_2nd_choice","whether the participant demonstrated Hesitation in the 2nd choice. The participant demonstrated hesitant behavior by PB (pointing at both alternatives) or CC (changing a choice) in the 2nd choice. ",
"amount_of_chosen_liquid_2nd_choice ","amount of juice chosen in the 2nd choice after the transfer",
