study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,ls_or_lm_trial,pointed_at_both_1st_choice,changed_in_1st_choice,pointed_at_both_2nd_choice,changed_in_2nd_choice,hesitated_in_1st_choice,hesitated_in_2nd_choice
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,1.0,1.0,8-cup,ls_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,1.0,2.0,4-cup,lm_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,1.0,3.0,4-cup,ls_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,1.0,4.0,no_testing_trial,0.0,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,1.0,5.0,8-cup,lm_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,1.0,6.0,no_testing_trial,0.0,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,1.0,7.0,8-cup,lm_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,1.0,8.0,4-cup,ls_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,1.0,9.0,4-cup,lm_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,1.0,10.0,8-cup,ls_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,2.0,11.0,4-cup,ls_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,2.0,12.0,no_testing_trial,0.0,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,2.0,13.0,8-cup,lm_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,2.0,14.0,4-cup,lm_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,11.0,25.0,bimbo,22.0,m,orangutan,2.0,15.0,8-cup,lm_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,12.0,9.0,bimbo,22.0,m,orangutan,2.0,16.0,4-cup,lm_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,12.0,9.0,bimbo,22.0,m,orangutan,2.0,17.0,no_testing_trial,0.0,false,false,false,false,false,false
suda2006what,3.0,2002.0,12.0,9.0,bimbo,22.0,m,orangutan,2.0,18.0,8-cup,ls_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,12.0,9.0,bimbo,22.0,m,orangutan,2.0,19.0,8-cup,ls_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,12.0,9.0,bimbo,22.0,m,orangutan,2.0,20.0,4-cup,ls_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,12.0,9.0,bimbo,22.0,m,orangutan,3.0,21.0,8-cup,ls_trial,false,false,false,false,false,false
suda2006what,3.0,2002.0,12.0,9.0,bimbo,22.0,m,orangutan,3.0,22.0,8-cup,lm_trial,false,false,false,false,false,false
