"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained "
"month","month the data point was obtained"
"day","day of the month the data point was obtained"
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"trial_type","trial type= 4-cup: Two different quantities of juice (14 ml and 28 ml) were transferred from a pair of identical clear cups to a single cup and a set of 4 cups./ 8-cup: Two different quantities of juice (14 ml and 28 ml) were transferred from a pair of identical clear cups to a single cup and a set of 8 cups. / "
"ls_or_lm_trial","LS = 1 = In half of the trials the larger quantity was poured into the single cup and the smaller quantity into the set of multiple cups. LM = 2 =  In the other half of the trials the larger quantity was poured into the set of multiple cups and the smaller quantity into the single cup.  "
"pointed_at_both_1st_choice","whether the participant pointed at both alternatives (PB): The participant simultaneously sticks its fingers through both the right and left holes in the Plexiglas in the 1st choice. "
"changed_in_1st_choice","whether the participant changed a choice (CC): The participant sticks its finger(s) through one of the holes in the Plexiglas and changes to the other hole in the 1st choice. "
"pointed_at_both_2nd_choice","whether the participant pointed at both alternatives (PB): The participant simultaneously sticks its fingers through both the right and left holes in the plexiglas in the 2nd choice. "
"changed_in_2nd_choice","whether the participant changed a choice (CC): The participant sticks its finger(s) through one of the holes in the Plexiglas  and changes to the other hole in the 2nd choice. "
"hesitated_in_1st_choice","whether the participant hesitated in the 1st choice. The participant demonstrated hesitant behavior by PB (pointing at both alternatives) or CC (changing a choice) in the 1st choice. "
"hesitated_in_2nd_choice","whether the participant hesitated in the 2nd choice. The participant demonstrated hesitant behavior by PB (pointing at both alternatives) or CC (changing a choice) in the 2nd choice. "
