study_id,experiment,participant,sex,species,session,trial,condition,food_position_center,lateral_point
tauzin2020context,2,abeeku,m,gorilla,1,1,mesh,hq_front,1.0
tauzin2020context,2,abeeku,m,gorilla,1,2,mesh,lq_front,1.0
tauzin2020context,2,abeeku,m,gorilla,1,3,mesh,lq_front,1.0
tauzin2020context,2,abeeku,m,gorilla,1,4,mesh,nothing_front,0.0
tauzin2020context,2,abeeku,m,gorilla,1,5,mesh,nothing_front,1.0
tauzin2020context,2,abeeku,m,gorilla,1,6,mesh,hq_front,1.0
tauzin2020context,2,abeeku,m,gorilla,1,7,mesh,lq_front,1.0
tauzin2020context,2,abeeku,m,gorilla,1,8,mesh,nothing_front,1.0
tauzin2020context,2,abeeku,m,gorilla,1,9,mesh,hq_front,1.0
tauzin2020context,2,abeeku,m,gorilla,1,10,mesh,lq_front,1.0
tauzin2020context,2,abeeku,m,gorilla,1,11,mesh,nothing_front,1.0
tauzin2020context,2,abeeku,m,gorilla,1,12,mesh,hq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,1,intact,nothing_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,2,intact,lq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,3,intact,lq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,4,intact,hq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,5,intact,nothing_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,6,intact,hq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,7,intact,hq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,8,intact,nothing_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,9,intact,lq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,10,intact,lq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,11,intact,nothing_front,0.0
tauzin2020context,2,abeeku,m,gorilla,2,12,intact,hq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,3,1,3 hole,lq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,3,2,3 hole,hq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,3,3,3 hole,nothing_front,0.0
tauzin2020context,2,abeeku,m,gorilla,3,4,3 hole,hq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,3,5,3 hole,nothing_front,0.0
tauzin2020context,2,abeeku,m,gorilla,3,6,3 hole,lq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,3,7,3 hole,hq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,3,8,3 hole,nothing_front,1.0
tauzin2020context,2,abeeku,m,gorilla,3,9,3 hole,nothing_front,0.0
tauzin2020context,2,abeeku,m,gorilla,3,10,3 hole,lq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,3,11,3 hole,hq_front,0.0
tauzin2020context,2,abeeku,m,gorilla,3,12,3 hole,lq_front,0.0
tauzin2020context,2,alex,m,chimpanzee,1,1,mesh,hq_front,0.0
tauzin2020context,2,alex,m,chimpanzee,1,2,mesh,lq_front,1.0
tauzin2020context,2,alex,m,chimpanzee,1,3,mesh,nothing_front,1.0
tauzin2020context,2,alex,m,chimpanzee,1,4,mesh,nothing_front,1.0
tauzin2020context,2,alex,m,chimpanzee,1,5,mesh,hq_front,0.0
tauzin2020context,2,alex,m,chimpanzee,1,6,mesh,lq_front,0.0
tauzin2020context,2,alex,m,chimpanzee,1,7,mesh,lq_front,1.0
tauzin2020context,2,alex,m,chimpanzee,1,8,mesh,hq_front,1.0
tauzin2020context,2,alex,m,chimpanzee,1,9,mesh,hq_front,0.0
tauzin2020context,2,alex,m,chimpanzee,1,10,mesh,lq_front,1.0
tauzin2020context,2,alex,m,chimpanzee,1,11,mesh,nothing_front,1.0
