study_id,participant,age_in_years,sex,species,species_subgroup,condition,first_condition,location_signaled_by_participant,food_location,correct_trial_1,average_overall_correct,average_correct_1-6,average_correct_13-18,average_correct_1-9,average_correct_10-18,point_to_location_1,point_to_location_2,point_to_location_3
tempelmann2013apes,alex,7.0,m,chimpanzee,b,intentional_communication,non_communicative,far_cup,middle_cup,incorrect,44.44,16.67,50.0,33.33,55.56,22.2,22.2,55.6
tempelmann2013apes,alexandra,9.0,f,chimpanzee,b,intentional_communication,non_communicative,near_cup,far_cup,incorrect,27.78,16.67,16.67,33.33,22.22,38.9,5.6,55.6
tempelmann2013apes,gertrudia,15.0,f,chimpanzee,b,intentional_communication,intentional_communication,middle_cup,near_cup,incorrect,50.0,50.0,50.0,44.44,55.56,66.7,22.2,11.1
tempelmann2013apes,annett,9.0,f,chimpanzee,b,intentional_communication,intentional_communication,far_cup,middle_cup,incorrect,44.44,50.0,50.0,33.33,55.56,55.6,27.8,16.7
tempelmann2013apes,ulindi,15.0,f,bonobo,,intentional_communication,intentional_communication,far_cup,far_cup,correct,27.78,33.33,33.33,22.22,33.33,38.9,38.9,28.6
tempelmann2013apes,limbuko,13.0,m,bonobo,,intentional_communication,intentional_communication,near_cup,near_cup,correct,44.44,50.0,50.0,55.56,33.33,55.6,5.6,38.9
tempelmann2013apes,joey,26.0,m,bonobo,,intentional_communication,non_communicative,near_cup,near_cup,correct,44.44,66.67,33.33,55.56,33.33,0.0,44.4,55.6
tempelmann2013apes,kuno,12.0,m,bonobo,,intentional_communication,non_communicative,near_cup,middle_cup,incorrect,33.33,50.0,16.67,44.44,22.22,11.1,33.3,66.7
tempelmann2013apes,pini,20.0,f,orangutan,,intentional_communication,non_communicative,near_cup,near_cup,correct,38.89,50.0,33.33,55.56,22.22,11.1,77.8,11.1
tempelmann2013apes,padana,11.0,f,orangutan,,intentional_communication,intentional_communication,middle_cup,far_cup,incorrect,11.11,16.67,16.67,11.11,11.11,27.8,50.0,22.2
tempelmann2013apes,bimbo,28.0,m,orangutan,,intentional_communication,non_communicative,near_cup,near_cup,correct,33.33,50.0,33.33,33.33,33.33,44.4,0.0,55.6
tempelmann2013apes,dunja,35.0,f,orangutan,,intentional_communication,intentional_communication,middle_cup,middle_cup,correct,55.56,83.33,66.67,66.67,44.44,16.7,72.2,11.1
tempelmann2013apes,alex,7.0,m,chimpanzee,b,non_communicative,non_communicative,near_cup,far_cup,incorrect,11.11,0.0,0.0,11.11,11.11,11.1,22.2,66.7
tempelmann2013apes,alexandra,9.0,f,chimpanzee,b,non_communicative,non_communicative,near_cup,far_cup,incorrect,38.89,33.33,66.67,33.33,44.44,44.4,22.2,33.3
tempelmann2013apes,gertrudia,15.0,f,chimpanzee,b,non_communicative,intentional_communication,far_cup,middle_cup,incorrect,27.78,33.33,33.33,33.33,22.22,38.9,33.3,27.8
tempelmann2013apes,annett,9.0,f,chimpanzee,b,non_communicative,intentional_communication,far_cup,far_cup,correct,27.78,33.33,16.67,44.44,11.11,27.8,38.9,33.3
tempelmann2013apes,ulindi,15.0,f,bonobo,,non_communicative,intentional_communication,near_cup,far_cup,incorrect,44.44,50.0,33.33,55.56,33.33,38.9,5.6,55.6
tempelmann2013apes,limbuko,13.0,m,bonobo,,non_communicative,intentional_communication,far_cup,middle_cup,incorrect,33.33,0.0,16.67,33.33,33.33,50.0,11.1,38.9
tempelmann2013apes,joey,26.0,m,bonobo,,non_communicative,non_communicative,far_cup,middle_cup,incorrect,55.56,16.67,66.67,44.44,66.66,16.7,38.9,44.4
tempelmann2013apes,kuno,12.0,m,bonobo,,non_communicative,non_communicative,middle_cup,middle_cup,correct,44.44,66.67,50.0,55.56,33.33,27.8,44.4,27.8
tempelmann2013apes,pini,20.0,f,orangutan,,non_communicative,non_communicative,middle_cup,middle_cup,correct,55.56,66.67,50.0,66.67,44.44,16.7,55.6,27.8
tempelmann2013apes,padana,11.0,f,orangutan,,non_communicative,intentional_communication,far_cup,near_cup,incorrect,27.78,16.67,33.33,22.22,33.33,22.2,55.6,22.2
tempelmann2013apes,bimbo,28.0,m,orangutan,,non_communicative,non_communicative,near_cup,far_cup,incorrect,44.44,33.33,50.0,44.44,44.44,50.0,5.6,44.4
tempelmann2013apes,dunja,35.0,f,orangutan,,non_communicative,intentional_communication,far_cup,near_cup,incorrect,33.33,50.0,33.33,44.44,22.22,44.4,50.0,5.6
