"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"condition","pointing behavior of the demonstrator to which the participant was exposed -  intentional_communication / non_communicative "
"first_condition","condition the participant started first - intentional_communication / non_communicative"
"location_signaled_by_participant","location of the cup containing food signaled by participant - far_cup / near_cup / middle_cup "
"food_location","location of the cup containing food – far_cup / near_cup / middle_cup "
"correct_trial_1","choice of the participant in the first trial - correct/ incorrect"
"average_overall_correct","proportion of overall average correct choices "
"average_correct_1-6","proportion of average correct choices in the trials 1-6 "
"average_correct_13-18","proportion of average correct choices in the trials 13-28"
"average_correct_1-9","proportion of average correct choices in the trials 1-9"
"average_correct_10-18","proportion of average correct choices in the trials 10-18"
"point_to_location_1","the percentage of trials in which the participant  pointed to location 1"
"point_to_location_2","the percentage of trials in which the participant  pointed to location 2"
"point_to_location_3","the percentage of trials in which the participant  pointed to location 3"
