study_id,year,month,day,participant,age_in_years,sex,present,species,session,trial,condition,formed_loop_y_n,success_w_loop_y_n,comments
tennie2009ratcheting,2005,10,20,alex,4,m,,chimpanzee,1,1,social,n,n,
tennie2009ratcheting,2005,10,20,alex,4,m,,chimpanzee,1,2,social,n,n,
tennie2009ratcheting,2005,10,24,alex,4,m,,chimpanzee,2,3,social,n,n,
tennie2009ratcheting,2005,10,28,alex,4,m,,chimpanzee,3,4,social,n,n,
tennie2009ratcheting,2005,10,20,alexandra,6,f,,chimpanzee,1,1,social,n,n,
tennie2009ratcheting,2005,10,20,alexandra,6,f,,chimpanzee,1,2,social,n,n,
tennie2009ratcheting,2005,10,24,alexandra,6,f,,chimpanzee,2,3,social,n,n,
tennie2009ratcheting,2005,10,28,alexandra,6,f,,chimpanzee,3,4,social,n,n,
tennie2009ratcheting,2005,10,20,annett,6,f,,chimpanzee,1,1,object_movement,n,n,
tennie2009ratcheting,2005,10,20,annett,6,f,,chimpanzee,1,2,object_movement,n,n,
tennie2009ratcheting,2005,10,24,annett,6,f,,chimpanzee,2,3,object_movement,n,n,
tennie2009ratcheting,2005,10,28,annett,6,f,,chimpanzee,3,4,object_movement,n,n,
tennie2009ratcheting,2005,10,10,bebe,26,f,,gorilla,1,1,social,n,n,
tennie2009ratcheting,2005,10,10,bebe,26,f,,gorilla,1,2,social,n,n,
tennie2009ratcheting,2005,10,10,bebe,26,f,,gorilla,2,3,social,n,n,
tennie2009ratcheting,2005,10,18,bebe,26,f,,gorilla,3,4,social,n,n,
tennie2009ratcheting,2007,07,12,bimbo,26,m,,orangutan,1,1,object_movement,n,n,
tennie2009ratcheting,2007,07,12,bimbo,26,m,,orangutan,1,2,object_movement,n,n,
tennie2009ratcheting,2007,07,13,bimbo,26,m,,orangutan,2,3,object_movement,n,n,
tennie2009ratcheting,2007,07,18,bimbo,26,m,,orangutan,3,4,object_movement,n,n,
tennie2009ratcheting,2007,07,12,dokana,18,f,pagai,orangutan,1,1,object_movement,n,n,
tennie2009ratcheting,2007,07,12,dokana,18,f,pagai,orangutan,1,2,object_movement,n,n,
tennie2009ratcheting,2007,07,13,dokana,18,f,pagai,orangutan,2,3,object_movement,n,n,
tennie2009ratcheting,2007,07,18,dokana,18,f,pagai,orangutan,3,4,object_movement,n,n,
tennie2009ratcheting,2007,07,12,dunja,34,f,kila,orangutan,1,1,social,n,n,
tennie2009ratcheting,2007,07,12,dunja,34,f,kila,orangutan,1,2,social,n,n,
tennie2009ratcheting,2007,07,13,dunja,34,f,kila,orangutan,2,3,social,n,n,
tennie2009ratcheting,2007,07,18,dunja,34,f,kila,orangutan,3,4,social,n,n,
tennie2009ratcheting,2005,10,20,fifi,12,f,,chimpanzee,1,1,object_movement,n,n,
tennie2009ratcheting,2005,10,20,fifi,12,f,,chimpanzee,1,2,object_movement,n,n,
tennie2009ratcheting,2005,10,24,fifi,12,f,,chimpanzee,2,3,object_movement,n,n,
tennie2009ratcheting,2005,10,28,fifi,12,f,,chimpanzee,3,4,object_movement,n,n,
tennie2009ratcheting,2005,10,20,gertrudia,12,f,,chimpanzee,1,1,social,n,n,
tennie2009ratcheting,2005,10,20,gertrudia,12,f,,chimpanzee,1,2,social,n,n,
tennie2009ratcheting,2005,10,24,gertrudia,12,f,,chimpanzee,2,3,social,n,n,
tennie2009ratcheting,2005,10,28,gertrudia,12,f,,chimpanzee,3,4,social,n,n,
tennie2009ratcheting,2005,10,10,gorgo,24,m,,gorilla,1,1,object_movement,n,n,
tennie2009ratcheting,2005,10,10,gorgo,24,m,,gorilla,1,2,object_movement,n,n,
tennie2009ratcheting,2005,10,13,gorgo,24,m,,gorilla,2,3,object_movement,n,n,
tennie2009ratcheting,2005,10,18,gorgo,24,m,,gorilla,3,4,object_movement,n,n,
tennie2009ratcheting,2005,10,20,jahaga,12,f,,chimpanzee,1,1,social,n,n,
tennie2009ratcheting,2005,10,20,jahaga,12,f,,chimpanzee,1,2,social,n,n,
tennie2009ratcheting,2005,10,24,jahaga,12,f,,chimpanzee,2,3,social,n,n,
tennie2009ratcheting,2005,10,28,jahaga,12,f,,chimpanzee,3,4,social,n,n,
tennie2009ratcheting,2005,11,22,joey,22,m,,bonobo,1,1,object_movement,n,n,
tennie2009ratcheting,2005,11,22,joey,22,m,,bonobo,1,2,object_movement,n,n,
tennie2009ratcheting,2005,11,23,joey,22,m,,bonobo,2,3,object_movement,n,n,
tennie2009ratcheting,2005,12,08,joey,23,m,,bonobo,3,4,object_movement,n,n,
tennie2009ratcheting,2005,11,22,kuno,8,m,,bonobo,1,1,object_movement,n,n,
tennie2009ratcheting,2005,11,22,kuno,8,m,,bonobo,1,2,object_movement,n,n,
tennie2009ratcheting,2005,11,23,kuno,8,m,,bonobo,2,3,object_movement,n,n,
tennie2009ratcheting,2005,12,08,kuno,9,m,,bonobo,3,4,object_movement,n,n,
tennie2009ratcheting,2005,11,22,limbuko,10,m,,bonobo,1,1,social,n,n,
