study_id,participant,age_in_years,sex,species,set,condition,first_success,matching_scores
tennie2010two,alex,3,m,chimpanzee,1,full_model,1,0.43
tennie2010two,alex,3,m,chimpanzee,1,intention,1,0.2
tennie2010two,alex,3,m,chimpanzee,1,end_state,1,-0.25
tennie2010two,alex,3,m,chimpanzee,1,baseline,1,
tennie2010two,alex,3,m,chimpanzee,2,full_model,1,0.58
tennie2010two,alex,3,m,chimpanzee,2,intention,1,0.11
tennie2010two,alex,3,m,chimpanzee,2,end_state,1,0.58
tennie2010two,alex,3,m,chimpanzee,2,baseline,1,
tennie2010two,alexandra,5,f,chimpanzee,1,full_model,,
tennie2010two,alexandra,5,f,chimpanzee,1,intention,1,0.43
tennie2010two,alexandra,5,f,chimpanzee,1,end_state,0,0.2
tennie2010two,alexandra,5,f,chimpanzee,1,baseline,0,
tennie2010two,alexandra,5,f,chimpanzee,2,full_model,1,0.47
tennie2010two,alexandra,5,f,chimpanzee,2,intention,0,
tennie2010two,alexandra,5,f,chimpanzee,2,end_state,1,-0.89
tennie2010two,alexandra,5,f,chimpanzee,2,baseline,1,
tennie2010two,annett,5,f,chimpanzee,1,full_model,,
tennie2010two,annett,5,f,chimpanzee,1,intention,,
tennie2010two,annett,5,f,chimpanzee,1,end_state,0,
tennie2010two,annett,5,f,chimpanzee,1,baseline,0,
tennie2010two,annett,5,f,chimpanzee,2,full_model,1,0.58
tennie2010two,annett,5,f,chimpanzee,2,intention,0,
tennie2010two,annett,5,f,chimpanzee,2,end_state,0,
tennie2010two,annett,5,f,chimpanzee,2,baseline,0,
tennie2010two,bebe,25,f,gorilla,1,full_model,1,0.25
tennie2010two,bebe,25,f,gorilla,1,intention,,
tennie2010two,bebe,25,f,gorilla,1,end_state,1,0.8
tennie2010two,bebe,25,f,gorilla,1,baseline,0,
tennie2010two,bebe,25,f,gorilla,2,full_model,1,-0.47
tennie2010two,bebe,25,f,gorilla,2,intention,1,-0.58
tennie2010two,bebe,25,f,gorilla,2,end_state,1,-0.11
tennie2010two,bebe,25,f,gorilla,2,baseline,1,
tennie2010two,bimbo,24,m,orangutan,1,full_model,1,-0.2
tennie2010two,bimbo,24,m,orangutan,1,intention,,
tennie2010two,bimbo,24,m,orangutan,1,end_state,1,-0.75
tennie2010two,bimbo,24,m,orangutan,1,baseline,1,
tennie2010two,bimbo,24,m,orangutan,2,full_model,1,-0.11
tennie2010two,bimbo,24,m,orangutan,2,intention,1,-0.58
tennie2010two,bimbo,24,m,orangutan,2,end_state,1,-0.47
tennie2010two,bimbo,24,m,orangutan,2,baseline,1,
tennie2010two,corry,28,f,chimpanzee,1,full_model,1,0.2
tennie2010two,corry,28,f,chimpanzee,1,intention,,
tennie2010two,corry,28,f,chimpanzee,1,end_state,0,-0.75
tennie2010two,corry,28,f,chimpanzee,1,baseline,,
tennie2010two,corry,28,f,chimpanzee,2,full_model,0,0.89
tennie2010two,corry,28,f,chimpanzee,2,intention,1,0.42
tennie2010two,corry,28,f,chimpanzee,2,end_state,0,
tennie2010two,corry,28,f,chimpanzee,2,baseline,0,
tennie2010two,dokana,15,f,orangutan,1,full_model,1,0.25
tennie2010two,dokana,15,f,orangutan,1,intention,1,-0.43
tennie2010two,dokana,15,f,orangutan,1,end_state,1,0.8
tennie2010two,dokana,15,f,orangutan,1,baseline,1,
tennie2010two,dokana,15,f,orangutan,2,full_model,1,0.53
tennie2010two,dokana,15,f,orangutan,2,intention,1,0.42
tennie2010two,dokana,15,f,orangutan,2,end_state,1,-0.11
tennie2010two,dokana,15,f,orangutan,2,baseline,1,
tennie2010two,dorien,24,f,chimpanzee,1,full_model,0,
tennie2010two,dorien,24,f,chimpanzee,1,intention,0,
tennie2010two,dorien,24,f,chimpanzee,1,end_state,0,
tennie2010two,dorien,24,f,chimpanzee,1,baseline,0,
tennie2010two,dorien,24,f,chimpanzee,2,full_model,0,
tennie2010two,dorien,24,f,chimpanzee,2,intention,0,
tennie2010two,dorien,24,f,chimpanzee,2,end_state,0,-0.89
tennie2010two,dorien,24,f,chimpanzee,2,baseline,1,
tennie2010two,dunja,31,f,orangutan,1,full_model,0,0.25
tennie2010two,dunja,31,f,orangutan,1,intention,1,0.25
tennie2010two,dunja,31,f,orangutan,1,end_state,1,0.57
tennie2010two,dunja,31,f,orangutan,1,baseline,1,
tennie2010two,dunja,31,f,orangutan,2,full_model,1,-0.58
tennie2010two,dunja,31,f,orangutan,2,intention,1,0.53
tennie2010two,dunja,31,f,orangutan,2,end_state,1,0.42
tennie2010two,dunja,31,f,orangutan,2,baseline,1,
tennie2010two,fifi,11,f,chimpanzee,1,full_model,1,0.8
tennie2010two,fifi,11,f,chimpanzee,1,intention,,
tennie2010two,fifi,11,f,chimpanzee,1,end_state,1,0.25
tennie2010two,fifi,11,f,chimpanzee,1,baseline,1,
tennie2010two,fifi,11,f,chimpanzee,2,full_model,1,0.89
tennie2010two,fifi,11,f,chimpanzee,2,intention,1,-0.58
tennie2010two,fifi,11,f,chimpanzee,2,end_state,1,-0.47
tennie2010two,fifi,11,f,chimpanzee,2,baseline,1,
tennie2010two,fraukje,28,f,chimpanzee,1,full_model,1,-0.43
tennie2010two,fraukje,28,f,chimpanzee,1,intention,0,
tennie2010two,fraukje,28,f,chimpanzee,1,end_state,1,0.25
tennie2010two,fraukje,28,f,chimpanzee,1,baseline,1,
tennie2010two,fraukje,28,f,chimpanzee,2,full_model,1,-0.58
tennie2010two,fraukje,28,f,chimpanzee,2,intention,1,-0.11
tennie2010two,fraukje,28,f,chimpanzee,2,end_state,1,-0.58
tennie2010two,fraukje,28,f,chimpanzee,2,baseline,1,
tennie2010two,frodo,11,m,chimpanzee,1,full_model,0,
tennie2010two,frodo,11,m,chimpanzee,1,intention,1,0.75
tennie2010two,frodo,11,m,chimpanzee,1,end_state,1,-0.57
tennie2010two,frodo,11,m,chimpanzee,1,baseline,0,
