study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,scratching,freq_of_quasi-aggressive_acts,climbing_up_stake,pilo_erection,listening
uher2008coherence,14,sudden_noise_test,2005,joey,22.0,m,bonobo,1.0,1.0,31.0,0.0,0.0,0.0,128.4
uher2008coherence,14,sudden_noise_test,2005,joey,22.0,m,bonobo,2.0,2.0,9.0,0.0,0.0,0.0,114.32
uher2008coherence,14,sudden_noise_test,2005,kuno,8.0,m,bonobo,1.0,1.0,0.0,0.0,1.0,0.0,320.64
uher2008coherence,14,sudden_noise_test,2005,kuno,8.0,m,bonobo,2.0,2.0,1.0,0.0,1.0,0.0,290.72
uher2008coherence,14,sudden_noise_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,0.0,0.0,1.0,1.0,273.44
uher2008coherence,14,sudden_noise_test,2005,limbuko,9.0,m,bonobo,2.0,2.0,0.0,0.0,1.0,0.0,187.44
uher2008coherence,14,sudden_noise_test,2005,yasa,7.0,f,bonobo,1.0,1.0,0.0,0.0,0.0,0.0,292.16
uher2008coherence,14,sudden_noise_test,2005,yasa,7.0,f,bonobo,2.0,2.0,0.0,0.0,0.0,0.0,87.68
uher2008coherence,14,sudden_noise_test,2005,frodo,11.0,m,chimpanzee,1.0,1.0,48.0,12.0,0.0,0.0,59.16
uher2008coherence,14,sudden_noise_test,2005,frodo,11.0,m,chimpanzee,2.0,2.0,70.0,14.0,0.0,0.0,26.72
uher2008coherence,14,sudden_noise_test,2005,fraukje,28.0,f,chimpanzee,1.0,1.0,8.0,0.0,0.0,0.0,18.64
uher2008coherence,14,sudden_noise_test,2005,fraukje,28.0,f,chimpanzee,2.0,2.0,11.0,0.0,0.0,0.0,147.52
uher2008coherence,14,sudden_noise_test,2005,robert,29.0,m,chimpanzee,1.0,1.0,,,,,
uher2008coherence,14,sudden_noise_test,2005,robert,29.0,m,chimpanzee,2.0,2.0,10.0,0.0,0.0,0.0,50.88
uher2008coherence,14,sudden_noise_test,2005,sandra,11.0,f,chimpanzee,1.0,1.0,8.0,0.0,1.0,1.0,127.28
uher2008coherence,14,sudden_noise_test,2005,sandra,11.0,f,chimpanzee,2.0,2.0,2.0,0.0,1.0,0.0,61.12
uher2008coherence,14,sudden_noise_test,2005,bebe,25.0,f,gorilla,1.0,1.0,0.0,0.0,0.0,0.0,269.76
uher2008coherence,14,sudden_noise_test,2005,bebe,25.0,f,gorilla,2.0,2.0,0.0,0.0,0.0,0.0,88.72
uher2008coherence,14,sudden_noise_test,2005,n’diki,27.0,f,gorilla,1.0,1.0,20.0,0.0,1.0,0.0,149.12
uher2008coherence,14,sudden_noise_test,2005,n’diki,27.0,f,gorilla,2.0,2.0,27.0,0.0,0.0,0.0,90.04
uher2008coherence,14,sudden_noise_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,1.0,0.0,1.0,1.0,0.0,160.32
uher2008coherence,14,sudden_noise_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,2.0,0.0,0.0,0.0,0.0,74.44
uher2008coherence,14,sudden_noise_test,2005,viringika,9.0,f,gorilla,1.0,1.0,0.0,0.0,1.0,0.0,233.32
uher2008coherence,14,sudden_noise_test,2005,viringika,9.0,f,gorilla,2.0,2.0,0.0,1.0,1.0,0.0,248.32
uher2008coherence,14,sudden_noise_test,2005,dokana,16.0,f,orangutan,1.0,1.0,0.0,0.0,0.0,0.0,87.0
uher2008coherence,14,sudden_noise_test,2005,dokana,16.0,f,orangutan,2.0,2.0,0.0,0.0,0.0,0.0,63.16
uher2008coherence,14,sudden_noise_test,2005,dunja,31.0,f,orangutan,1.0,1.0,0.0,0.0,0.0,0.0,119.0
uher2008coherence,14,sudden_noise_test,2005,dunja,31.0,f,orangutan,2.0,2.0,0.0,0.0,0.0,0.0,289.44
uher2008coherence,14,sudden_noise_test,2005,padana,7.0,f,orangutan,1.0,1.0,0.0,42.0,0.0,1.0,57.16
uher2008coherence,14,sudden_noise_test,2005,padana,7.0,f,orangutan,2.0,2.0,0.0,51.0,0.5,1.0,37.28
uher2008coherence,14,sudden_noise_test,2005,pini,16.0,f,orangutan,1.0,1.0,0.0,1.0,0.0,1.0,199.04
uher2008coherence,14,sudden_noise_test,2005,pini,16.0,f,orangutan,2.0,2.0,3.0,0.0,0.5,1.0,139.52
