column_name,description
study_id,personal study ID composed by the first authors’ first surname_year of publication_first title word 
experiment,number of experiment from publication 
experiment_name,name of data subset – sudden_noise_test
year,year the data point was obtained  
participant,name of the participant 
age_in_years,age presented in years – see metadata for source of age 
sex,sex of the participant 
species,species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan 
session,set of trials - mostly occurring on the same day - usually numerical 
period,test period containing different test sessions and which was repeated within 60 days
scratching,frequency of scratching behavior
freq_of_quasi-aggressive_acts,frequency of quasi aggressive behavior such as cage shaking and display
climbing_up_stake,frequency of climbing off the ground in response to the sound
pilo_erection,frequency of pilo erection in response to the sound
listening,time in seconds participant interrupts actions or stares into a direction or just silently looks around
