study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,duration_occupied
uher2008coherence,1,button_box_test,2005,joey,22.0,m,bonobo,1.0,1.0,80.64
uher2008coherence,1,button_box_test,2005,joey,22.0,m,bonobo,2.0,1.0,31.84
uher2008coherence,1,button_box_test,2005,joey,22.0,m,bonobo,3.0,1.0,118.4
uher2008coherence,1,button_box_test,2005,joey,22.0,m,bonobo,4.0,2.0,68.72
uher2008coherence,1,button_box_test,2005,joey,22.0,m,bonobo,5.0,2.0,44.8
uher2008coherence,1,button_box_test,2005,joey,22.0,m,bonobo,6.0,2.0,33.16
uher2008coherence,1,button_box_test,2005,kuno,8.0,m,bonobo,1.0,1.0,178.24
uher2008coherence,1,button_box_test,2005,kuno,8.0,m,bonobo,2.0,1.0,128.6
uher2008coherence,1,button_box_test,2005,kuno,8.0,m,bonobo,3.0,1.0,100.36
uher2008coherence,1,button_box_test,2005,kuno,8.0,m,bonobo,4.0,2.0,50.64
uher2008coherence,1,button_box_test,2005,kuno,8.0,m,bonobo,5.0,2.0,54.56
uher2008coherence,1,button_box_test,2005,kuno,8.0,m,bonobo,6.0,2.0,58.52
uher2008coherence,1,button_box_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,120.6
uher2008coherence,1,button_box_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,92.28
uher2008coherence,1,button_box_test,2005,limbuko,9.0,m,bonobo,3.0,1.0,84.2
uher2008coherence,1,button_box_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,102.52
uher2008coherence,1,button_box_test,2005,limbuko,9.0,m,bonobo,5.0,2.0,86.08
uher2008coherence,1,button_box_test,2005,limbuko,9.0,m,bonobo,6.0,2.0,37.52
uher2008coherence,1,button_box_test,2005,yasa,7.0,f,bonobo,1.0,1.0,126.4
uher2008coherence,1,button_box_test,2005,yasa,7.0,f,bonobo,2.0,1.0,87.92
uher2008coherence,1,button_box_test,2005,yasa,7.0,f,bonobo,3.0,1.0,101.0
uher2008coherence,1,button_box_test,2005,yasa,7.0,f,bonobo,4.0,2.0,119.4
uher2008coherence,1,button_box_test,2005,yasa,7.0,f,bonobo,5.0,2.0,41.56
uher2008coherence,1,button_box_test,2005,yasa,7.0,f,bonobo,6.0,2.0,97.28
uher2008coherence,1,button_box_test,2005,frodo,11.0,m,chimpanzee,1.0,1.0,30.6
uher2008coherence,1,button_box_test,2005,frodo,11.0,m,chimpanzee,2.0,1.0,36.04
uher2008coherence,1,button_box_test,2005,frodo,11.0,m,chimpanzee,3.0,1.0,77.84
uher2008coherence,1,button_box_test,2005,frodo,11.0,m,chimpanzee,4.0,2.0,37.12
uher2008coherence,1,button_box_test,2005,frodo,11.0,m,chimpanzee,5.0,2.0,11.36
uher2008coherence,1,button_box_test,2005,frodo,11.0,m,chimpanzee,6.0,2.0,28.96
uher2008coherence,1,button_box_test,2005,fraukje,28.0,f,chimpanzee,1.0,1.0,182.88
uher2008coherence,1,button_box_test,2005,fraukje,28.0,f,chimpanzee,2.0,1.0,177.92
uher2008coherence,1,button_box_test,2005,fraukje,28.0,f,chimpanzee,3.0,1.0,156.44
uher2008coherence,1,button_box_test,2005,fraukje,28.0,f,chimpanzee,4.0,2.0,222.76
uher2008coherence,1,button_box_test,2005,fraukje,28.0,f,chimpanzee,5.0,2.0,156.4
uher2008coherence,1,button_box_test,2005,fraukje,28.0,f,chimpanzee,6.0,2.0,117.04
uher2008coherence,1,button_box_test,2005,robert,29.0,m,chimpanzee,1.0,1.0,
uher2008coherence,1,button_box_test,2005,robert,29.0,m,chimpanzee,2.0,1.0,
uher2008coherence,1,button_box_test,2005,robert,29.0,m,chimpanzee,3.0,1.0,
uher2008coherence,1,button_box_test,2005,robert,29.0,m,chimpanzee,4.0,2.0,163.76
uher2008coherence,1,button_box_test,2005,robert,29.0,m,chimpanzee,5.0,2.0,19.28
uher2008coherence,1,button_box_test,2005,robert,29.0,m,chimpanzee,6.0,2.0,66.36
uher2008coherence,1,button_box_test,2005,sandra,11.0,f,chimpanzee,1.0,1.0,84.68
uher2008coherence,1,button_box_test,2005,sandra,11.0,f,chimpanzee,2.0,1.0,67.48
uher2008coherence,1,button_box_test,2005,sandra,11.0,f,chimpanzee,3.0,1.0,22.6
uher2008coherence,1,button_box_test,2005,sandra,11.0,f,chimpanzee,4.0,2.0,26.44
uher2008coherence,1,button_box_test,2005,sandra,11.0,f,chimpanzee,5.0,2.0,14.48
uher2008coherence,1,button_box_test,2005,sandra,11.0,f,chimpanzee,6.0,2.0,23.52
uher2008coherence,1,button_box_test,2005,bebe,25.0,f,gorilla,1.0,1.0,99.0
uher2008coherence,1,button_box_test,2005,bebe,25.0,f,gorilla,2.0,1.0,213.28
uher2008coherence,1,button_box_test,2005,bebe,25.0,f,gorilla,3.0,1.0,82.16
uher2008coherence,1,button_box_test,2005,bebe,25.0,f,gorilla,4.0,2.0,110.88
uher2008coherence,1,button_box_test,2005,bebe,25.0,f,gorilla,5.0,2.0,120.24
uher2008coherence,1,button_box_test,2005,bebe,25.0,f,gorilla,6.0,2.0,120.64
uher2008coherence,1,button_box_test,2005,n’diki,27.0,f,gorilla,1.0,1.0,74.96
uher2008coherence,1,button_box_test,2005,n’diki,27.0,f,gorilla,2.0,1.0,80.6
uher2008coherence,1,button_box_test,2005,n’diki,27.0,f,gorilla,3.0,1.0,65.32
uher2008coherence,1,button_box_test,2005,n’diki,27.0,f,gorilla,4.0,2.0,80.52
uher2008coherence,1,button_box_test,2005,n’diki,27.0,f,gorilla,5.0,2.0,83.28
uher2008coherence,1,button_box_test,2005,n’diki,27.0,f,gorilla,6.0,2.0,49.2
uher2008coherence,1,button_box_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,1.0,87.48
