study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,duration_of_proximity_to_experimenter,freq_of_quasi-aggressive_acts,food_taken
uher2008coherence,2,cage_intruder_test,2005,joey,22,m,bonobo,1,1,139.6,0.0,100
uher2008coherence,2,cage_intruder_test,2005,joey,22,m,bonobo,2,1,179.84,0.0,100
uher2008coherence,2,cage_intruder_test,2005,joey,22,m,bonobo,3,2,139.88,0.0,100
uher2008coherence,2,cage_intruder_test,2005,joey,22,m,bonobo,4,2,131.0,0.0,100
uher2008coherence,2,cage_intruder_test,2005,kuno,8,m,bonobo,1,1,159.72,0.0,100
uher2008coherence,2,cage_intruder_test,2005,kuno,8,m,bonobo,2,1,141.08,0.0,100
uher2008coherence,2,cage_intruder_test,2005,kuno,8,m,bonobo,3,2,95.76,0.0,100
uher2008coherence,2,cage_intruder_test,2005,kuno,8,m,bonobo,4,2,91.56,0.0,100
uher2008coherence,2,cage_intruder_test,2005,limbuko,9,m,bonobo,1,1,102.36,0.0,100
uher2008coherence,2,cage_intruder_test,2005,limbuko,9,m,bonobo,2,1,67.92,0.0,100
uher2008coherence,2,cage_intruder_test,2005,limbuko,9,m,bonobo,3,2,103.32,0.0,100
uher2008coherence,2,cage_intruder_test,2005,limbuko,9,m,bonobo,4,2,165.92,0.0,100
uher2008coherence,2,cage_intruder_test,2005,yasa,7,f,bonobo,1,1,95.68,0.0,100
uher2008coherence,2,cage_intruder_test,2005,yasa,7,f,bonobo,2,1,85.44,0.0,100
uher2008coherence,2,cage_intruder_test,2005,yasa,7,f,bonobo,3,2,84.52,0.0,100
uher2008coherence,2,cage_intruder_test,2005,yasa,7,f,bonobo,4,2,104.16,0.0,100
uher2008coherence,2,cage_intruder_test,2005,frodo,11,m,chimpanzee,1,1,47.52,5.0,100
uher2008coherence,2,cage_intruder_test,2005,frodo,11,m,chimpanzee,2,1,52.16,2.0,100
uher2008coherence,2,cage_intruder_test,2005,frodo,11,m,chimpanzee,3,2,73.6,2.0,100
uher2008coherence,2,cage_intruder_test,2005,frodo,11,m,chimpanzee,4,2,74.56,1.0,100
uher2008coherence,2,cage_intruder_test,2005,fraukje,28,f,chimpanzee,1,1,80.4,0.0,100
uher2008coherence,2,cage_intruder_test,2005,fraukje,28,f,chimpanzee,2,1,64.48,0.0,100
uher2008coherence,2,cage_intruder_test,2005,fraukje,28,f,chimpanzee,3,2,62.8,0.0,100
uher2008coherence,2,cage_intruder_test,2005,fraukje,28,f,chimpanzee,4,2,88.76,0.0,100
uher2008coherence,2,cage_intruder_test,2005,robert,29,m,chimpanzee,3,2,82.36,0.0,100
uher2008coherence,2,cage_intruder_test,2005,robert,29,m,chimpanzee,4,2,72.72,0.0,100
uher2008coherence,2,cage_intruder_test,2005,sandra,11,f,chimpanzee,1,1,54.2,1.0,100
uher2008coherence,2,cage_intruder_test,2005,sandra,11,f,chimpanzee,2,1,30.48,0.0,100
