study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,trial,period,touched_box,opened_box,item_eaten_or_tasted,food_rejected,latency_to_touch_box,latency_to_open_box,not_touching,not_opening
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,1.0,0.0,1.0,1.0,0.0,,,5.16,,5.16,60.0
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.32,10.8,5.32,10.8
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,1.0,2.0,1.0,1.0,1.0,1.0,0.0,4.72,7.56,4.72,7.56
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,1.0,3.0,1.0,1.0,0.0,0.0,0.0,5.16,,5.16,60.0
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,1.0,4.0,1.0,1.0,0.0,0.0,0.0,4.8,,4.8,60.0
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,1.0,5.0,1.0,1.0,1.0,1.0,0.0,4.6,6.52,4.6,6.52
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,1.0,6.0,1.0,1.0,0.0,0.0,0.0,6.84,,6.84,60.0
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,1.0,7.0,1.0,1.0,1.0,1.0,0.0,3.68,6.08,3.68,6.08
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,1.0,8.0,1.0,1.0,1.0,1.0,0.0,4.24,10.44,4.24,10.44
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,1.0,9.0,1.0,1.0,1.0,1.0,0.0,5.04,6.16,5.04,6.16
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,1.0,10.0,1.0,1.0,1.0,1.0,0.0,3.36,8.4,3.36,8.4
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,2.0,0.0,1.0,1.0,0.0,,,6.72,,6.72,60.0
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.56,6.76,2.56,6.76
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.16,4.12,2.16,4.12
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,2.0,3.0,1.0,0.0,0.0,0.0,0.0,,,60.0,60.0
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,2.0,4.0,1.0,1.0,0.0,0.0,0.0,45.64,,45.64,60.0
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.44,1.88,1.44,1.88
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,2.0,6.0,1.0,1.0,1.0,0.0,1.0,2.0,47.52,2.0,47.52
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,2.0,7.0,1.0,1.0,1.0,1.0,0.0,1.44,0.84,1.44,0.84
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,2.0,8.0,1.0,1.0,1.0,1.0,0.0,2.44,2.44,2.44,2.44
uher2008coherence,3,food_box_test,2005,joey,22.0,m,bonobo,2.0,9.0,1.0,1.0,1.0,1.0,0.0,1.56,1.56,1.56,1.56
