study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,trial,period,reaching_frequency,knocking_frequency
uher2008coherence,4,blocked_food_box_test,2005,joey,22.0,m,bonobo,1.0,1.0,1.0,33.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,joey,22.0,m,bonobo,1.0,2.0,1.0,18.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,joey,22.0,m,bonobo,2.0,1.0,1.0,35.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,joey,22.0,m,bonobo,2.0,2.0,1.0,17.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,joey,22.0,m,bonobo,3.0,1.0,2.0,14.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,joey,22.0,m,bonobo,3.0,2.0,2.0,9.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,joey,22.0,m,bonobo,4.0,1.0,2.0,13.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,joey,22.0,m,bonobo,4.0,2.0,2.0,5.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,kuno,8.0,m,bonobo,1.0,1.0,1.0,29.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,kuno,8.0,m,bonobo,1.0,2.0,1.0,20.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,kuno,8.0,m,bonobo,2.0,1.0,1.0,30.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,kuno,8.0,m,bonobo,2.0,2.0,1.0,16.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,kuno,8.0,m,bonobo,3.0,1.0,2.0,22.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,kuno,8.0,m,bonobo,3.0,2.0,2.0,13.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,kuno,8.0,m,bonobo,4.0,1.0,2.0,25.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,kuno,8.0,m,bonobo,4.0,2.0,2.0,10.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,1.0,35.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,limbuko,9.0,m,bonobo,1.0,2.0,1.0,12.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,1.0,38.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,limbuko,9.0,m,bonobo,2.0,2.0,1.0,16.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,limbuko,9.0,m,bonobo,3.0,1.0,2.0,16.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,2.0,4.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,limbuko,9.0,m,bonobo,4.0,1.0,2.0,4.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,2.0,2.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,yasa,7.0,f,bonobo,1.0,1.0,1.0,37.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,yasa,7.0,f,bonobo,1.0,2.0,1.0,16.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,yasa,7.0,f,bonobo,2.0,1.0,1.0,52.0,2.0
uher2008coherence,4,blocked_food_box_test,2005,yasa,7.0,f,bonobo,2.0,2.0,1.0,21.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,yasa,7.0,f,bonobo,3.0,1.0,2.0,10.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,yasa,7.0,f,bonobo,3.0,2.0,2.0,13.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,yasa,7.0,f,bonobo,4.0,1.0,2.0,22.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,yasa,7.0,f,bonobo,4.0,2.0,2.0,16.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,frodo,11.0,m,chimpanzee,1.0,1.0,1.0,61.0,37.0
uher2008coherence,4,blocked_food_box_test,2005,frodo,11.0,m,chimpanzee,1.0,2.0,1.0,35.0,8.0
uher2008coherence,4,blocked_food_box_test,2005,frodo,11.0,m,chimpanzee,2.0,1.0,1.0,21.0,14.0
uher2008coherence,4,blocked_food_box_test,2005,frodo,11.0,m,chimpanzee,2.0,2.0,1.0,5.0,1.0
uher2008coherence,4,blocked_food_box_test,2005,frodo,11.0,m,chimpanzee,3.0,1.0,2.0,9.0,1.0
uher2008coherence,4,blocked_food_box_test,2005,frodo,11.0,m,chimpanzee,3.0,2.0,2.0,1.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,frodo,11.0,m,chimpanzee,4.0,1.0,2.0,8.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,frodo,11.0,m,chimpanzee,4.0,2.0,2.0,2.0,1.0
uher2008coherence,4,blocked_food_box_test,2005,fraukje,28.0,f,chimpanzee,1.0,1.0,1.0,22.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,fraukje,28.0,f,chimpanzee,1.0,2.0,1.0,24.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,fraukje,28.0,f,chimpanzee,2.0,1.0,1.0,8.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,fraukje,28.0,f,chimpanzee,2.0,2.0,1.0,9.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,fraukje,28.0,f,chimpanzee,3.0,1.0,2.0,9.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,fraukje,28.0,f,chimpanzee,3.0,2.0,2.0,6.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,fraukje,28.0,f,chimpanzee,4.0,1.0,2.0,6.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,fraukje,28.0,f,chimpanzee,4.0,2.0,2.0,4.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,robert,29.0,m,chimpanzee,1.0,1.0,1.0,32.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,robert,29.0,m,chimpanzee,1.0,2.0,1.0,36.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,robert,29.0,m,chimpanzee,2.0,1.0,1.0,,
uher2008coherence,4,blocked_food_box_test,2005,robert,29.0,m,chimpanzee,2.0,2.0,1.0,,
uher2008coherence,4,blocked_food_box_test,2005,robert,29.0,m,chimpanzee,3.0,1.0,2.0,13.0,3.0
uher2008coherence,4,blocked_food_box_test,2005,robert,29.0,m,chimpanzee,3.0,2.0,2.0,5.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,robert,29.0,m,chimpanzee,4.0,1.0,2.0,2.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,robert,29.0,m,chimpanzee,4.0,2.0,2.0,9.0,8.0
uher2008coherence,4,blocked_food_box_test,2005,sandra,11.0,f,chimpanzee,1.0,1.0,1.0,52.0,2.0
uher2008coherence,4,blocked_food_box_test,2005,sandra,11.0,f,chimpanzee,1.0,2.0,1.0,16.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,sandra,11.0,f,chimpanzee,2.0,1.0,1.0,25.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,sandra,11.0,f,chimpanzee,2.0,2.0,1.0,2.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,sandra,11.0,f,chimpanzee,3.0,1.0,2.0,12.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,sandra,11.0,f,chimpanzee,3.0,2.0,2.0,3.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,sandra,11.0,f,chimpanzee,4.0,1.0,2.0,24.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,sandra,11.0,f,chimpanzee,4.0,2.0,2.0,4.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,bebe,25.0,f,gorilla,1.0,1.0,1.0,28.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,bebe,25.0,f,gorilla,1.0,2.0,1.0,10.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,bebe,25.0,f,gorilla,2.0,1.0,1.0,19.0,1.0
uher2008coherence,4,blocked_food_box_test,2005,bebe,25.0,f,gorilla,2.0,2.0,1.0,13.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,bebe,25.0,f,gorilla,3.0,1.0,2.0,11.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,bebe,25.0,f,gorilla,3.0,2.0,2.0,8.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,bebe,25.0,f,gorilla,4.0,1.0,2.0,12.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,bebe,25.0,f,gorilla,4.0,2.0,2.0,8.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,n’diki,27.0,f,gorilla,1.0,1.0,1.0,6.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,n’diki,27.0,f,gorilla,1.0,2.0,1.0,6.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,n’diki,27.0,f,gorilla,2.0,1.0,1.0,11.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,n’diki,27.0,f,gorilla,2.0,2.0,1.0,2.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,n’diki,27.0,f,gorilla,3.0,1.0,2.0,8.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,n’diki,27.0,f,gorilla,3.0,2.0,2.0,3.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,n’diki,27.0,f,gorilla,4.0,1.0,2.0,4.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,n’diki,27.0,f,gorilla,4.0,2.0,2.0,2.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,1.0,1.0,46.0,3.0
