study_id,experiment,experiment_name,year,participant,age_in_years,sex,role,participant_2,sex_2,role_2,dyad,species,session,trial,period,successful_reaching,entered_or_not,fight_with_fingers_in_box,latency_to_reach_or_touch
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,1.0,0.0,1.0,1.0,1.0,,2.64
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,1.0,1.0,1.0,1.0,1.0,0.0,1.2
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,1.0,2.0,1.0,1.0,1.0,0.0,1.68
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,1.0,3.0,1.0,1.0,1.0,0.0,1.08
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,1.0,4.0,1.0,1.0,1.0,0.0,1.24
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,1.0,5.0,1.0,1.0,1.0,0.0,1.04
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,2.0,0.0,1.0,1.0,1.0,,3.68
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,2.0,1.0,1.0,0.0,1.0,0.0,
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,2.0,2.0,1.0,0.0,1.0,0.0,0.88
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,2.0,3.0,1.0,0.0,1.0,1.0,0.72
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,2.0,4.0,1.0,0.0,1.0,0.0,0.68
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,kuno,m,opponent,joey_kuno,bonobo,2.0,5.0,1.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,1.0,0.0,1.0,1.0,1.0,0.0,1.64
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,1.0,1.0,1.0,1.0,1.0,0.0,1.08
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,1.0,2.0,1.0,1.0,1.0,0.0,0.72
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,1.0,3.0,1.0,1.0,1.0,0.0,0.84
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,1.0,4.0,1.0,1.0,1.0,0.0,1.12
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,1.0,5.0,1.0,1.0,1.0,0.0,1.08
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,2.0,0.0,1.0,1.0,1.0,,1.68
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,2.0,1.0,1.0,1.0,1.0,,0.92
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,2.0,2.0,1.0,1.0,1.0,,1.48
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,2.0,3.0,1.0,1.0,1.0,,0.96
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,2.0,4.0,1.0,1.0,1.0,,1.32
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,2.0,5.0,1.0,1.0,1.0,,1.04
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,1.0,0.0,1.0,1.0,1.0,,13.96
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,1.0,1.0,1.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,1.0,2.0,1.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,1.0,3.0,1.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,1.0,4.0,1.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,1.0,5.0,1.0,0.0,0.0,,
