study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,activity,latency_to_reach_or_touch,not_found_or_taken,percentage_items_found,food_item
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,1,1,,1.64,1.64,60.0,0.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,1,1,3.0,4.24,4.24,60.0,1.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,1,1,2.0,20.68,20.68,60.0,2.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,1,1,2.0,24.2,24.2,60.0,3.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,1,1,2.0,37.12,37.12,60.0,4.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,1,1,1.0,58.16,58.16,60.0,5.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,1,1,2.0,61.84,61.84,60.0,6.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,1,1,2.0,0.0,600.0,60.0,7.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,1,1,1.0,0.0,600.0,60.0,8.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,1,1,2.0,0.0,600.0,60.0,9.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,1,1,1.0,0.0,600.0,60.0,10.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,2,1,,1.4,1.4,40.0,0.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,2,1,3.0,25.68,25.68,40.0,1.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,2,1,2.0,69.24,69.24,40.0,2.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,2,1,3.0,167.6,167.6,40.0,3.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,2,1,2.0,512.16,512.16,40.0,4.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,2,1,1.0,0.0,600.0,40.0,5.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,2,1,1.0,0.0,600.0,40.0,6.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,2,1,1.0,0.0,600.0,40.0,7.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,2,1,2.0,0.0,600.0,40.0,8.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,2,1,2.0,0.0,600.0,40.0,9.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,2,1,1.0,0.0,600.0,40.0,10.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,3,1,,2.12,2.12,80.0,0.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,3,1,3.0,8.76,8.76,80.0,1.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,3,1,3.0,28.84,28.84,80.0,2.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,3,1,2.0,38.52,38.52,80.0,3.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,3,1,2.0,66.12,66.12,80.0,4.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,3,1,1.0,78.44,78.44,80.0,5.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,3,1,2.0,147.72,147.72,80.0,6.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,3,1,1.0,189.36,189.36,80.0,7.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,3,1,2.0,253.48,253.48,80.0,8.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,3,1,3.0,0.0,600.0,80.0,9.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,3,1,1.0,0.0,600.0,80.0,10.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,4,2,,,,90.0,0.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,4,2,3.0,28.8,28.8,90.0,1.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,4,2,2.0,41.28,41.28,90.0,2.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,4,2,3.0,41.8,41.8,90.0,3.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,4,2,1.0,57.24,57.24,90.0,4.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,4,2,1.0,319.96,319.96,90.0,5.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,4,2,3.0,328.68,328.68,90.0,6.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,4,2,2.0,353.12,353.12,90.0,7.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,4,2,1.0,354.56,354.56,90.0,8.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,4,2,2.0,395.24,395.24,90.0,9.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,4,2,1.0,0.0,600.0,90.0,10.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,5,2,,3.88,3.88,70.0,0.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,5,2,3.0,14.8,14.8,70.0,1.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,5,2,1.0,23.88,23.88,70.0,2.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,5,2,2.0,27.24,27.24,70.0,3.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,5,2,2.0,39.92,39.92,70.0,4.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,5,2,2.0,45.72,45.72,70.0,5.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,5,2,1.0,80.44,80.44,70.0,6.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,5,2,1.0,244.2,244.2,70.0,7.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,5,2,2.0,0.0,600.0,70.0,8.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,5,2,2.0,0.0,600.0,70.0,9.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,5,2,2.0,0.0,600.0,70.0,10.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,6,2,,0.84,0.84,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,6,2,3.0,9.2,9.2,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,6,2,2.0,15.16,15.16,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,6,2,2.0,23.32,23.32,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,6,2,1.0,40.28,40.28,100.0,4.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,6,2,2.0,55.48,55.48,100.0,5.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,6,2,1.0,69.96,69.96,100.0,6.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,6,2,2.0,80.76,80.76,100.0,7.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,6,2,2.0,91.8,91.8,100.0,8.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,6,2,1.0,102.52,102.52,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,joey,22,m,bonobo,6,2,1.0,153.84,153.84,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,1,1,,1.68,1.68,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,1,1,3.0,11.32,11.32,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,1,1,3.0,14.88,14.88,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,1,1,2.0,14.88,14.88,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,1,1,1.0,21.08,21.08,100.0,4.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,1,1,2.0,25.12,25.12,100.0,5.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,1,1,3.0,34.44,34.44,100.0,6.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,1,1,2.0,44.16,44.16,100.0,7.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,1,1,2.0,53.76,53.76,100.0,8.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,1,1,3.0,117.84,117.84,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,1,1,2.0,122.2,122.2,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,2,1,,1.64,1.64,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,2,1,3.0,4.04,4.04,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,2,1,2.0,15.32,15.32,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,2,1,3.0,21.76,21.76,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,2,1,2.0,27.28,27.28,100.0,4.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,2,1,3.0,40.04,40.04,100.0,5.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,2,1,1.0,46.04,46.04,100.0,6.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,2,1,1.0,74.16,74.16,100.0,7.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,2,1,2.0,204.84,204.84,100.0,8.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,2,1,1.0,206.76,206.76,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,2,1,2.0,,,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,3,1,,1.04,1.04,90.0,0.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,3,1,3.0,6.36,6.36,90.0,1.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,3,1,2.0,9.12,9.12,90.0,2.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,3,1,2.0,13.4,13.4,90.0,3.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,3,1,2.0,20.36,20.36,90.0,4.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,3,1,1.0,26.4,26.4,90.0,5.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,3,1,3.0,34.84,34.84,90.0,6.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,3,1,1.0,61.6,61.6,90.0,7.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,3,1,2.0,63.08,63.08,90.0,8.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,3,1,2.0,427.96,427.96,90.0,9.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,3,1,2.0,,,90.0,10.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,4,2,,2.12,2.12,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,4,2,3.0,7.8,7.8,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,4,2,2.0,11.0,11.0,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,4,2,2.0,26.12,26.12,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,4,2,1.0,45.8,45.8,100.0,4.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,4,2,1.0,56.6,56.6,100.0,5.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,4,2,2.0,83.2,83.2,100.0,6.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,4,2,3.0,102.0,102.0,100.0,7.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,4,2,1.0,105.52,105.52,100.0,8.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,4,2,2.0,242.24,242.24,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,4,2,2.0,484.0,484.0,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,5,2,,1.72,1.72,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,5,2,3.0,6.12,6.12,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,5,2,2.0,12.76,12.76,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,5,2,3.0,19.16,19.16,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,5,2,1.0,26.8,26.8,100.0,4.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,5,2,1.0,43.16,43.16,100.0,5.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,5,2,2.0,49.2,49.2,100.0,6.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,5,2,2.0,86.76,86.76,100.0,7.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,5,2,2.0,106.44,106.44,100.0,8.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,5,2,2.0,124.24,124.24,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,5,2,2.0,375.52,375.52,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,6,2,,1.2,1.2,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,6,2,3.0,16.68,16.68,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,6,2,3.0,23.08,23.08,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,6,2,1.0,31.96,31.96,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,6,2,3.0,38.88,38.88,100.0,4.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,6,2,2.0,47.68,47.68,100.0,5.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,6,2,2.0,53.32,53.32,100.0,6.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,6,2,1.0,62.2,62.2,100.0,7.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,6,2,2.0,66.96,66.96,100.0,8.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,6,2,1.0,101.88,101.88,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,kuno,8,m,bonobo,6,2,1.0,204.88,204.88,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,1,1,,,,80.0,0.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,1,1,3.0,26.12,26.12,80.0,1.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,1,1,1.0,28.28,28.28,80.0,2.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,1,1,1.0,37.08,37.08,80.0,3.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,1,1,2.0,39.64,39.64,80.0,4.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,1,1,2.0,49.68,49.68,80.0,5.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,1,1,2.0,71.24,71.24,80.0,6.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,1,1,1.0,72.56,72.56,80.0,7.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,1,1,1.0,152.56,152.56,80.0,8.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,1,1,1.0,0.0,600.0,80.0,9.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,1,1,1.0,0.0,600.0,80.0,10.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,2,1,,2.44,2.44,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,2,1,3.0,10.88,10.88,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,2,1,1.0,19.72,19.72,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,2,1,,33.44,33.44,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,2,1,,37.08,37.08,100.0,4.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,2,1,,38.32,38.32,100.0,5.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,2,1,,46.04,46.04,100.0,6.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,2,1,,49.36,49.36,100.0,7.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,2,1,,60.6,60.6,100.0,8.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,2,1,,63.32,63.32,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,2,1,,163.72,163.72,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,,1.72,1.72,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,3.0,4.88,4.88,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,2.0,18.44,18.44,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,3.0,25.16,25.16,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,3.0,36.76,36.76,100.0,4.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,2.0,42.36,42.36,100.0,5.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,1.0,46.16,46.16,100.0,6.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,1.0,55.2,55.2,100.0,7.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,1.0,58.2,58.2,100.0,8.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,1.0,59.08,59.08,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,1.0,,,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,,3.36,3.36,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,3.0,8.04,8.04,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,3.0,16.08,16.08,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,3.0,23.16,23.16,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,2.0,35.52,35.52,100.0,4.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,2.0,41.56,41.56,100.0,5.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,1.0,50.24,50.24,100.0,6.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,1.0,69.12,69.12,100.0,7.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,1.0,122.52,122.52,100.0,8.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,3.0,148.56,148.56,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,3.0,172.16,172.16,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,,1.76,1.76,80.0,0.0
