study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,duration
uher2008coherence,7,honey_grid_test,2005,joey,22.0,m,bonobo,1.0,1.0,288.04
uher2008coherence,7,honey_grid_test,2005,joey,22.0,m,bonobo,2.0,1.0,299.84
uher2008coherence,7,honey_grid_test,2005,joey,22.0,m,bonobo,3.0,1.0,288.04
uher2008coherence,7,honey_grid_test,2005,joey,22.0,m,bonobo,4.0,2.0,300.04
uher2008coherence,7,honey_grid_test,2005,joey,22.0,m,bonobo,5.0,2.0,299.8
uher2008coherence,7,honey_grid_test,2005,joey,22.0,m,bonobo,6.0,2.0,
uher2008coherence,7,honey_grid_test,2005,kuno,8.0,m,bonobo,1.0,1.0,298.8
uher2008coherence,7,honey_grid_test,2005,kuno,8.0,m,bonobo,2.0,1.0,299.88
uher2008coherence,7,honey_grid_test,2005,kuno,8.0,m,bonobo,3.0,1.0,299.68
uher2008coherence,7,honey_grid_test,2005,kuno,8.0,m,bonobo,4.0,2.0,299.92
uher2008coherence,7,honey_grid_test,2005,kuno,8.0,m,bonobo,5.0,2.0,300.04
uher2008coherence,7,honey_grid_test,2005,kuno,8.0,m,bonobo,6.0,2.0,300.04
uher2008coherence,7,honey_grid_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,299.28
uher2008coherence,7,honey_grid_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,299.72
uher2008coherence,7,honey_grid_test,2005,limbuko,9.0,m,bonobo,3.0,1.0,299.84
uher2008coherence,7,honey_grid_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,299.84
uher2008coherence,7,honey_grid_test,2005,limbuko,9.0,m,bonobo,5.0,2.0,299.96
uher2008coherence,7,honey_grid_test,2005,limbuko,9.0,m,bonobo,6.0,2.0,300.04
uher2008coherence,7,honey_grid_test,2005,yasa,7.0,f,bonobo,1.0,1.0,226.88
uher2008coherence,7,honey_grid_test,2005,yasa,7.0,f,bonobo,2.0,1.0,270.72
uher2008coherence,7,honey_grid_test,2005,yasa,7.0,f,bonobo,3.0,1.0,277.04
uher2008coherence,7,honey_grid_test,2005,yasa,7.0,f,bonobo,4.0,2.0,278.24
uher2008coherence,7,honey_grid_test,2005,yasa,7.0,f,bonobo,5.0,2.0,299.88
uher2008coherence,7,honey_grid_test,2005,yasa,7.0,f,bonobo,6.0,2.0,286.64
uher2008coherence,7,honey_grid_test,2005,frodo,11.0,m,chimpanzee,1.0,1.0,267.88
uher2008coherence,7,honey_grid_test,2005,frodo,11.0,m,chimpanzee,2.0,1.0,271.32
uher2008coherence,7,honey_grid_test,2005,frodo,11.0,m,chimpanzee,3.0,1.0,260.48
uher2008coherence,7,honey_grid_test,2005,frodo,11.0,m,chimpanzee,4.0,2.0,207.24
uher2008coherence,7,honey_grid_test,2005,frodo,11.0,m,chimpanzee,5.0,2.0,215.64
uher2008coherence,7,honey_grid_test,2005,frodo,11.0,m,chimpanzee,6.0,2.0,252.2
uher2008coherence,7,honey_grid_test,2005,fraukje,28.0,f,chimpanzee,1.0,1.0,269.32
uher2008coherence,7,honey_grid_test,2005,fraukje,28.0,f,chimpanzee,2.0,1.0,255.6
uher2008coherence,7,honey_grid_test,2005,fraukje,28.0,f,chimpanzee,3.0,1.0,300.0
uher2008coherence,7,honey_grid_test,2005,fraukje,28.0,f,chimpanzee,4.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,fraukje,28.0,f,chimpanzee,5.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,fraukje,28.0,f,chimpanzee,6.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,robert,29.0,m,chimpanzee,1.0,1.0,219.52
uher2008coherence,7,honey_grid_test,2005,robert,29.0,m,chimpanzee,2.0,1.0,
uher2008coherence,7,honey_grid_test,2005,robert,29.0,m,chimpanzee,3.0,1.0,
uher2008coherence,7,honey_grid_test,2005,robert,29.0,m,chimpanzee,4.0,2.0,190.12
uher2008coherence,7,honey_grid_test,2005,robert,29.0,m,chimpanzee,5.0,2.0,178.0
uher2008coherence,7,honey_grid_test,2005,robert,29.0,m,chimpanzee,6.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,sandra,11.0,f,chimpanzee,1.0,1.0,264.92
uher2008coherence,7,honey_grid_test,2005,sandra,11.0,f,chimpanzee,2.0,1.0,171.84
uher2008coherence,7,honey_grid_test,2005,sandra,11.0,f,chimpanzee,3.0,1.0,261.88
uher2008coherence,7,honey_grid_test,2005,sandra,11.0,f,chimpanzee,4.0,2.0,199.52
uher2008coherence,7,honey_grid_test,2005,sandra,11.0,f,chimpanzee,5.0,2.0,199.68
uher2008coherence,7,honey_grid_test,2005,sandra,11.0,f,chimpanzee,6.0,2.0,122.4
uher2008coherence,7,honey_grid_test,2005,bebe,25.0,f,gorilla,1.0,1.0,257.16
uher2008coherence,7,honey_grid_test,2005,bebe,25.0,f,gorilla,2.0,1.0,227.32
uher2008coherence,7,honey_grid_test,2005,bebe,25.0,f,gorilla,3.0,1.0,290.12
uher2008coherence,7,honey_grid_test,2005,bebe,25.0,f,gorilla,4.0,2.0,282.52
uher2008coherence,7,honey_grid_test,2005,bebe,25.0,f,gorilla,5.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,bebe,25.0,f,gorilla,6.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,n’diki,27.0,f,gorilla,1.0,1.0,270.28
uher2008coherence,7,honey_grid_test,2005,n’diki,27.0,f,gorilla,2.0,1.0,258.88
uher2008coherence,7,honey_grid_test,2005,n’diki,27.0,f,gorilla,3.0,1.0,291.16
uher2008coherence,7,honey_grid_test,2005,n’diki,27.0,f,gorilla,4.0,2.0,299.12
uher2008coherence,7,honey_grid_test,2005,n’diki,27.0,f,gorilla,5.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,n’diki,27.0,f,gorilla,6.0,2.0,300.0
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,1.0,249.68
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,1.0,279.96
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,3.0,1.0,287.64
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,4.0,2.0,299.72
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,5.0,2.0,289.6
uher2008coherence,7,honey_grid_test,2005,ruby_b'windi,7.0,f,gorilla,6.0,2.0,278.04
uher2008coherence,7,honey_grid_test,2005,viringika,9.0,f,gorilla,1.0,1.0,241.24
uher2008coherence,7,honey_grid_test,2005,viringika,9.0,f,gorilla,2.0,1.0,298.64
uher2008coherence,7,honey_grid_test,2005,viringika,9.0,f,gorilla,3.0,1.0,299.52
