study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,trial,period,duration_of_proximity_to_experimenter,freq_of_quasi-aggressive_acts
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,1.0,1.0,1.0,98.96,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,1.0,2.0,1.0,60.04,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,1.0,3.0,1.0,114.08,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,2.0,1.0,1.0,16.16,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,2.0,2.0,1.0,24.92,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,2.0,3.0,1.0,103.72,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,3.0,1.0,1.0,119.84,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,3.0,2.0,1.0,59.56,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,3.0,3.0,1.0,108.16,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,4.0,1.0,2.0,29.76,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,4.0,2.0,2.0,41.44,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,4.0,3.0,2.0,0.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,5.0,1.0,2.0,64.56,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,5.0,2.0,2.0,60.12,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,5.0,3.0,2.0,102.52,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,6.0,1.0,2.0,85.76,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,6.0,2.0,2.0,58.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,joey,22.0,m,bonobo,6.0,3.0,2.0,50.56,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,1.0,1.0,1.0,92.32,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,1.0,2.0,1.0,55.6,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,1.0,3.0,1.0,97.24,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,2.0,1.0,1.0,109.24,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,2.0,2.0,1.0,59.76,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,2.0,3.0,1.0,120.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,3.0,1.0,1.0,38.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,3.0,2.0,1.0,60.12,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,3.0,3.0,1.0,120.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,4.0,1.0,2.0,120.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,4.0,2.0,2.0,60.96,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,4.0,3.0,2.0,120.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,5.0,1.0,2.0,120.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,5.0,2.0,2.0,60.32,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,5.0,3.0,2.0,0.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,6.0,1.0,2.0,120.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,6.0,2.0,2.0,60.84,0.0
uher2008coherence,8,keeper_interaction_test,2005,kuno,8.0,m,bonobo,6.0,3.0,2.0,119.84,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,1.0,119.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,1.0,2.0,1.0,60.12,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,1.0,3.0,1.0,115.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,2.0,1.0,1.0,44.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,2.0,2.0,1.0,53.56,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,2.0,3.0,1.0,53.68,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,3.0,1.0,1.0,120.64,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,1.0,58.68,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,3.0,3.0,1.0,100.48,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,4.0,1.0,2.0,27.6,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,2.0,60.32,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,4.0,3.0,2.0,96.08,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,5.0,1.0,2.0,120.12,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,5.0,2.0,2.0,59.28,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,5.0,3.0,2.0,120.32,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,6.0,1.0,2.0,120.2,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,6.0,2.0,2.0,60.16,0.0
uher2008coherence,8,keeper_interaction_test,2005,limbuko,9.0,m,bonobo,6.0,3.0,2.0,120.36,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,1.0,1.0,1.0,10.44,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,1.0,2.0,1.0,59.96,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,1.0,3.0,1.0,6.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,2.0,1.0,1.0,58.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,2.0,2.0,1.0,59.96,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,2.0,3.0,1.0,58.16,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,3.0,1.0,1.0,75.96,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,3.0,2.0,1.0,60.76,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,3.0,3.0,1.0,81.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,4.0,1.0,2.0,27.24,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,4.0,2.0,2.0,59.44,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,4.0,3.0,2.0,96.96,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,5.0,1.0,2.0,65.56,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,5.0,2.0,2.0,59.76,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,5.0,3.0,2.0,72.28,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,6.0,1.0,2.0,40.16,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,6.0,2.0,2.0,43.44,0.0
uher2008coherence,8,keeper_interaction_test,2005,yasa,7.0,f,bonobo,6.0,3.0,2.0,33.76,0.0
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,1.0,1.0,1.0,22.0,3.0
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,1.0,2.0,1.0,57.64,0.0
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,1.0,3.0,1.0,75.52,2.0
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,2.0,1.0,1.0,25.28,1.0
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,2.0,2.0,1.0,57.76,0.0
