study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,duration_of_proximity_to_experimenter,freq_of_quasi-aggressive_acts,food_taken,severe_direct_attacks,climbing_up_stake,pilo_erection
uher2008coherence,9,masked_human_test,2005,joey,22.0,m,bonobo,1.0,1.0,170.4,32.0,73.28,3.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,joey,22.0,m,bonobo,2.0,2.0,184.76,36.0,53.0,1.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,kuno,8.0,m,bonobo,1.0,1.0,83.08,0.0,164.0,0.0,1.0,0.0
uher2008coherence,9,masked_human_test,2005,kuno,8.0,m,bonobo,2.0,2.0,115.76,0.0,23.0,0.0,1.0,0.0
uher2008coherence,9,masked_human_test,2005,limbuko,9.0,m,bonobo,1.0,1.0,232.0,0.0,6.68,0.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,limbuko,9.0,m,bonobo,2.0,2.0,178.64,0.0,3.12,0.0,0.0,0.0
uher2008coherence,9,masked_human_test,2005,yasa,7.0,f,bonobo,1.0,1.0,0.0,0.0,323.72,0.0,1.0,1.0
uher2008coherence,9,masked_human_test,2005,yasa,7.0,f,bonobo,2.0,2.0,0.0,1.0,260.44,0.0,1.0,1.0
uher2008coherence,9,masked_human_test,2005,frodo,11.0,m,chimpanzee,1.0,1.0,185.2,6.0,1.76,0.0,0.0,0.0
uher2008coherence,9,masked_human_test,2005,frodo,11.0,m,chimpanzee,2.0,2.0,162.08,3.0,1.56,0.0,0.0,0.0
uher2008coherence,9,masked_human_test,2005,fraukje,28.0,f,chimpanzee,1.0,1.0,185.24,0.36,0.36,0.0,0.0,0.0
uher2008coherence,9,masked_human_test,2005,fraukje,28.0,f,chimpanzee,2.0,2.0,204.56,0.0,1.0,0.0,0.0,0.0
uher2008coherence,9,masked_human_test,2005,robert,29.0,m,chimpanzee,1.0,1.0,,,,,,
uher2008coherence,9,masked_human_test,2005,robert,29.0,m,chimpanzee,2.0,2.0,80.64,1.0,111.84,2.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,sandra,11.0,f,chimpanzee,1.0,1.0,0.0,6.0,262.32,0.0,1.0,1.0
uher2008coherence,9,masked_human_test,2005,sandra,11.0,f,chimpanzee,2.0,2.0,175.24,0.0,10.28,0.0,1.0,1.0
uher2008coherence,9,masked_human_test,2005,bebe,25.0,f,gorilla,1.0,1.0,38.56,1.0,196.12,0.0,1.0,1.0
uher2008coherence,9,masked_human_test,2005,bebe,25.0,f,gorilla,2.0,2.0,161.0,1.0,2.12,0.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,n’diki,27.0,f,gorilla,1.0,1.0,39.0,1.0,99.68,0.0,0.0,0.0
uher2008coherence,9,masked_human_test,2005,n’diki,27.0,f,gorilla,2.0,2.0,107.76,0.0,85.96,0.0,1.0,0.0
uher2008coherence,9,masked_human_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,1.0,25.8,5.0,178.36,0.0,1.0,1.0
uher2008coherence,9,masked_human_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,2.0,137.44,7.0,1.64,3.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,viringika,9.0,f,gorilla,1.0,1.0,0.28,7.0,250.08,0.0,1.0,1.0
uher2008coherence,9,masked_human_test,2005,viringika,9.0,f,gorilla,2.0,2.0,0.8,20.0,251.84,1.0,1.0,1.0
uher2008coherence,9,masked_human_test,2005,dokana,16.0,f,orangutan,1.0,1.0,216.04,0.0,116.16,0.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,dokana,16.0,f,orangutan,2.0,2.0,239.8,0.0,9.0,3.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,dunja,31.0,f,orangutan,1.0,1.0,10.92,4.0,18.12,16.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,dunja,31.0,f,orangutan,2.0,2.0,104.16,4.0,15.48,21.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,padana,7.0,f,orangutan,1.0,1.0,156.44,1.0,216.92,4.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,padana,7.0,f,orangutan,2.0,2.0,187.48,0.0,11.0,0.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,pini,16.0,f,orangutan,1.0,1.0,222.68,0.0,34.96,5.0,0.0,1.0
uher2008coherence,9,masked_human_test,2005,pini,16.0,f,orangutan,2.0,2.0,179.44,10.0,8.92,8.0,0.0,0.0
