"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – masked_human_test"
"year","year the data point was obtained  "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"period","test period containing different test sessions and which was repeated within 60 days "
"duration_of_proximity_to_experimenter","duration in seconds participants spent in proximity to the experimenter "
"freq_of_quasi-aggressive_acts","frequency of quasi aggressive acts – for example spitting / shaking the cage etc.  "
"food_taken","latency in seconds from first offer to participant taking the grapes"
"severe_direct_attacks","frequency of direct attacks such as attempts to injure and biting "
"climbing_up_stake","whether the participant climbed up as a response"
"pilo_erection","whether pilo erection occurred or not"
