study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,period,observation_day,instantaneous_sampling_unit,o_proximity_to_other,o_bodily_contact_with,o_gives_grooming_to,o_receives_grooming_from,o_self_grooming,o_self_care,p_self_scratch,o_nursing,o_social_play,o_auto_play,o_object_play,o_allo_sex,o_auto_sex,o_vigilance,o_feeding,o_activity
uher2008coherence,0,bonobo_t1_afternoon_observations,2005,02,,joey,22.0,m,bonobo,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m
uher2008coherence,0,bonobo_t1_afternoon_observations,2005,02,,kuno,8.0,m,bonobo,1.0,1.0,1.0,yasa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,m
uher2008coherence,0,bonobo_t1_afternoon_observations,2005,02,,limbuko,9.0,m,bonobo,1.0,1.0,1.0,yasa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,m
uher2008coherence,0,bonobo_t1_afternoon_observations,2005,02,,ulindi,11.0,f,bonobo,1.0,1.0,1.0,luiza,luiza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,m
uher2008coherence,0,bonobo_t1_afternoon_observations,2005,02,,yasa,7.0,f,bonobo,1.0,1.0,1.0,kuno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,m
uher2008coherence,0,bonobo_t1_afternoon_observations,2005,02,,yasa,7.0,f,bonobo,1.0,1.0,1.0,limbuko,,,,,,,,,,,,,,,
uher2008coherence,0,bonobo_t1_afternoon_observations,2005,02,,joey,22.0,m,bonobo,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r
uher2008coherence,0,bonobo_t1_afternoon_observations,2005,02,,kuno,8.0,m,bonobo,1.0,1.0,2.0,limbuko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,r
uher2008coherence,0,bonobo_t1_afternoon_observations,2005,02,,limbuko,9.0,m,bonobo,1.0,1.0,2.0,kuno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r
uher2008coherence,0,bonobo_t1_afternoon_observations,2005,02,,ulindi,11.0,f,bonobo,1.0,1.0,2.0,luiza,luiza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r
