"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset –  afternoon observations"
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"period","observation period- two 14-day periods- nonoverlapping within 60 days"
"observation_day","observation day within 60 day observation period, consecutively numbered"
"instantaneous sampling unit","number of instantaneous observation point within a given observation day"
"o_proximity_to_other","whether the participant were within 2 m of proximity  to their conspecifics during observation - 0 (if not) / the name of the conspecific (if yes) "
"o_bodily_contact_with","body contact with their conspecifics for longer than 5 seconds during observation - 0 (if not) / the name of the conspecific (if yes) / b-ub (Ulindi baby Luiza)"
"o_gives_grooming_to","whether the participant gave grooming to the conspecifics"
"o_receives_grooming_from","whether the participant received grooming from the conspecifics"
"o_self-grooming","whether auto grooming occurred during observation"
"o_self_care","whether the participant showed self care such as licking or touching their own body during observation"
"o_self_scratch","whether the participant scratched their own body"
"o_nursing","whether nursing a child occurred during observation – b-ub (Ulindi baby Luiza)"
"o_social_play","whether allo play (social play with adolescent
or adult conspecifics) occurred during observation"
"o_auto_play","whether solitary play without object occurred"
"o_object_play","whether the participant played with an object during observation"
"o_allo_sex","whether allo sex occurred during observation"
"o_auto_sex","whether auto sex occurred during observation "
"o_vigilance","whether vigilance occurred during the observation or not – vigilance here refers to looking at observer "
"o_feeding","whether feeding occurred during observation"
"o_activity","whether and which of the following activities occurred - l(locate)/ m(move)/ r(rest)"
