study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,re_trial,period,rocking,scratching,grinning,vocalizing,pacing,wrist_shaking,changing_location,sexual_activity
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,limbuko,9.0,m,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,ulindi,11.0,f,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,yasa,7.0,f,bonobo,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,5.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,joey,22.0,m,bonobo,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uher2008coherence,0,bonobo_prefeeding_observations,2005,kuno,8.0,m,bonobo,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
