"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee /orangutan"
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"trial","presentation of the experiment to the participants - usually numerical"
"condition","experimental condition (clear / opaque)"
"operation_time","time to solution in seconds"
"efficiency_first_action","efficiency of first action on the apparatus (efficient: touching stick/ inefficient: trying to access the food directly)"
"calibration","finger length in cm"
"success","whether the participant extracted some of the reward "
"comments","author provided notes "
