study_id,experiment,participant,age_in_years,sex,species,species_subgroup,phase,trial,condition,operation_time,success,crank_touch,crank_move_reward,reward_visible,touch_reward,touch_crank_to_touch_reward,move_reward_to_touch_reward,reward_visible_to_touch_reward,start_to_reward_visible
volter2012problem,3,alex,10,m,chimpanzee,b,1.0,1,clear,,reward_was_not_removed,crank_touched,reward_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,alex,10,m,chimpanzee,b,1.0,2,clear,,reward_was_not_removed,crank_touched,reward_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,alex,10,m,chimpanzee,b,2.0,1,,,,,,,,,,,
volter2012problem,3,alex,10,m,chimpanzee,b,2.0,2,,,,,,,,,,,
volter2012problem,3,alexandra,11,f,chimpanzee,b,1.0,1,opaque,,reward_was_not_removed,crank_touched,reward_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,alexandra,11,f,chimpanzee,b,1.0,2,opaque,,reward_was_not_removed,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_not_touched,,,,
volter2012problem,3,alexandra,11,f,chimpanzee,b,2.0,1,crank,182.88,reward_was_not_removed,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_not_touched,,,,
volter2012problem,3,alexandra,11,f,chimpanzee,b,2.0,2,crank,,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,10.36,10.04,5.04,
volter2012problem,3,bimbo,30,m,orangutan,,1.0,1,opaque,,reward_was_not_removed,crank_touched,reward_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,bimbo,30,m,orangutan,,1.0,2,opaque,,reward_was_not_removed,crank_touched,reward_not_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,bimbo,30,m,orangutan,,2.0,1,crank,421.0,reward_was_not_removed,crank_touched,reward_not_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,bimbo,30,m,orangutan,,2.0,2,crank,,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,602.52,259.48,69.16,
volter2012problem,3,corry,34,f,chimpanzee,a,1.0,1,opaque,,reward_was_not_removed,crank_touched,reward_not_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,corry,34,f,chimpanzee,a,1.0,2,opaque,,reward_was_not_removed,crank_not_touched,reward_not_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,corry,34,f,chimpanzee,a,2.0,1,,,,,,,,,,,
volter2012problem,3,corry,34,f,chimpanzee,a,2.0,2,,,,,,,,,,,
volter2012problem,3,dokana,22,f,orangutan,,1.0,1,crank,154.96,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,142.04,130.68,44.36,110.6
volter2012problem,3,dokana,22,f,orangutan,,1.0,2,crank,54.2,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,43.56,24.16,24.0,30.2
volter2012problem,3,dokana,22,f,orangutan,,2.0,1,opaque,93.8,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,91.4,86.8,1.72,
volter2012problem,3,dokana,22,f,orangutan,,2.0,2,opaque,34.96,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,18.8,16.04,4.16,
volter2012problem,3,dokana,22,f,orangutan,,2.0,refresher,crank,83.16,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,82.36,68.04,62.6,
volter2012problem,3,fifi,18,f,chimpanzee,,1.0,1,clear,298.08,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,489.24,59.6,23.32,274.76
volter2012problem,3,fifi,18,f,chimpanzee,,1.0,2,clear,37.6,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,31.64,25.64,14.64,22.96
volter2012problem,3,fifi,18,f,chimpanzee,,2.0,1,progress,17.36,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,16.24,12.2,0.84,
volter2012problem,3,fifi,18,f,chimpanzee,,2.0,2,progress,13.72,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,12.96,9.0,1.12,
volter2012problem,3,fifi,18,f,chimpanzee,,2.0,refresher,clear,39.6,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,37.96,30.4,7.92,
volter2012problem,3,frodo,17,m,chimpanzee,a,1.0,1,progress,,reward_was_not_removed,crank_touched,reward_not_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,frodo,17,m,chimpanzee,a,1.0,2,progress,,reward_was_not_removed,crank_touched,reward_not_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,frodo,17,m,chimpanzee,a,2.0,1,,,,,,,,,,,
volter2012problem,3,frodo,17,m,chimpanzee,a,2.0,2,,,,,,,,,,,
volter2012problem,3,gertrudia,18,f,chimpanzee,b,1.0,1,progress,,reward_was_not_removed,crank_touched,reward_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,gertrudia,18,f,chimpanzee,b,1.0,2,progress,,reward_was_not_removed,crank_touched,reward_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,gertrudia,18,f,chimpanzee,b,2.0,1,,,,,,,,,,,
volter2012problem,3,gertrudia,18,f,chimpanzee,b,2.0,2,,,,,,,,,,,
volter2012problem,3,gorgo,30,m,gorilla,,1.0,1,progress,,reward_was_not_removed,crank_not_touched,reward_not_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,gorgo,30,m,gorilla,,1.0,2,progress,,reward_was_not_removed,crank_not_touched,reward_not_moved,reward_never_became_visible,reward_was_not_touched,,,,
volter2012problem,3,gorgo,30,m,gorilla,,2.0,1,,,,,,,,,,,
volter2012problem,3,gorgo,30,m,gorilla,,2.0,2,,,,,,,,,,,
volter2012problem,3,jahaga,18,f,chimpanzee,,1.0,1,crank,606.32,reward_was_not_removed,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_not_touched,,,157.86,448.46
volter2012problem,3,jahaga,18,f,chimpanzee,,1.0,2,crank,23.68,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,399.04,218.52,6.48,17.2
volter2012problem,3,jahaga,18,f,chimpanzee,,2.0,1,opaque,14.28,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,10.44,9.16,1.76,
volter2012problem,3,jahaga,18,f,chimpanzee,,2.0,2,opaque,16.32,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,10.92,10.56,1.88,
volter2012problem,3,jahaga,18,f,chimpanzee,,2.0,refresher,crank,23.68,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,12.52,12.36,6.48,
volter2012problem,3,joey,28,m,bonobo,,1.0,1,clear,,reward_was_not_removed,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_not_touched,,,,
volter2012problem,3,joey,28,m,bonobo,,1.0,2,clear,,reward_was_not_removed,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_not_touched,,,,
volter2012problem,3,joey,28,m,bonobo,,2.0,1,,,,,,,,,,,
volter2012problem,3,joey,28,m,bonobo,,2.0,2,,,,,,,,,,,
volter2012problem,3,kibara,7,f,gorilla,,1.0,1,clear,808.24,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,783.2,748.56,698.52,109.72
volter2012problem,3,kibara,7,f,gorilla,,1.0,2,clear,187.32,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,114.68,111.0,85.44,101.88
volter2012problem,3,kibara,7,f,gorilla,,2.0,1,progress,34.36,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,9.04,7.64,1.48,
volter2012problem,3,kibara,7,f,gorilla,,2.0,2,progress,32.76,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,13.32,11.32,1.52,
volter2012problem,3,kibara,7,f,gorilla,,2.0,refresher,clear,39.56,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,54.68,54.64,11.36,
volter2012problem,3,kuno,14,m,bonobo,,1.0,1,crank,141.88,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,125.04,121.16,65.96,75.92
volter2012problem,3,kuno,14,m,bonobo,,1.0,2,crank,35.24,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,30.48,27.6,22.68,12.56
volter2012problem,3,kuno,14,m,bonobo,,2.0,1,opaque,29.8,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,28.6,20.36,2.56,
volter2012problem,3,kuno,14,m,bonobo,,2.0,2,opaque,46.28,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,33.44,31.92,4.52,
volter2012problem,3,kuno,14,m,bonobo,,2.0,refresher,crank,54.8,reward_was_removed_from_apparatus,crank_touched,reward_moved,reward_became_visible_at_least_once,reward_was_touched_by_subject,52.32,48.52,46.8,
volter2012problem,3,lome,9,m,chimpanzee,a,1.0,1,opaque,,reward_was_not_removed,crank_touched,reward_moved,reward_never_became_visible,reward_was_not_touched,,,,
