study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,repetition,t1_planning,t1_success,order_condition
volter2014cognitive,2,6,kofi,6,m,chimpanzee,tool,1,1,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,22,kofi,6,m,chimpanzee,tool,2,2,2,2,0,1.0,0,0,1.0
volter2014cognitive,2,2,kofi,6,m,chimpanzee,tool,2,3,0,2,1,1.0,1,0,1.0
volter2014cognitive,2,14,kofi,6,m,chimpanzee,tool,1,4,1,2,0,1.0,1,1,1.0
volter2014cognitive,2,9,kofi,6,m,chimpanzee,tool,1,5,1,1,0,1.0,1,1,1.0
volter2014cognitive,2,7,kofi,6,m,chimpanzee,tool,1,6,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,5,kofi,6,m,chimpanzee,tool,1,7,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,17,kofi,6,m,chimpanzee,tool,1,8,2,1,0,1.0,1,1,1.0
volter2014cognitive,2,18,kofi,6,m,chimpanzee,tool,2,9,2,1,1,1.0,0,0,1.0
volter2014cognitive,2,10,kofi,6,m,chimpanzee,tool,1,10,1,1,1,1.0,1,1,1.0
volter2014cognitive,2,19,kofi,6,m,chimpanzee,tool,1,11,2,1,1,1.0,1,1,1.0
volter2014cognitive,2,16,kofi,6,m,chimpanzee,tool,1,12,1,2,1,1.0,1,1,1.0
volter2014cognitive,2,8,kofi,6,m,chimpanzee,tool,1,13,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,23,kofi,6,m,chimpanzee,tool,1,14,2,2,0,1.0,1,1,1.0
volter2014cognitive,2,3,kofi,6,m,chimpanzee,tool,1,15,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,21,kofi,6,m,chimpanzee,tool,2,16,2,2,1,1.0,0,0,1.0
volter2014cognitive,2,13,kofi,6,m,chimpanzee,tool,1,17,1,2,1,1.0,1,1,1.0
volter2014cognitive,2,20,kofi,6,m,chimpanzee,tool,1,18,2,1,0,1.0,1,1,1.0
volter2014cognitive,2,1,kofi,6,m,chimpanzee,tool,1,19,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,11,kofi,6,m,chimpanzee,tool,1,20,1,1,1,1.0,1,1,1.0
volter2014cognitive,2,15,kofi,6,m,chimpanzee,tool,1,21,1,2,0,1.0,1,1,1.0
volter2014cognitive,2,24,kofi,6,m,chimpanzee,tool,1,22,2,2,1,1.0,1,1,1.0
volter2014cognitive,2,12,kofi,6,m,chimpanzee,tool,1,23,1,1,0,1.0,1,1,1.0
volter2014cognitive,2,4,kofi,6,m,chimpanzee,tool,1,24,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,19,kofi,6,m,chimpanzee,no_tool,2,1,2,1,1,1.0,0,0,2.0
volter2014cognitive,2,20,kofi,6,m,chimpanzee,no_tool,1,2,2,1,0,1.0,1,1,2.0
volter2014cognitive,2,12,kofi,6,m,chimpanzee,no_tool,1,3,1,1,0,1.0,1,1,2.0
volter2014cognitive,2,9,kofi,6,m,chimpanzee,no_tool,1,4,1,1,0,1.0,1,1,2.0
volter2014cognitive,2,5,kofi,6,m,chimpanzee,no_tool,1,5,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,24,kofi,6,m,chimpanzee,no_tool,2,6,2,2,1,1.0,0,0,2.0
volter2014cognitive,2,1,kofi,6,m,chimpanzee,no_tool,1,7,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,4,kofi,6,m,chimpanzee,no_tool,1,8,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,21,kofi,6,m,chimpanzee,no_tool,2,9,2,2,1,1.0,0,0,2.0
volter2014cognitive,2,23,kofi,6,m,chimpanzee,no_tool,1,10,2,2,0,1.0,1,1,2.0
volter2014cognitive,2,11,kofi,6,m,chimpanzee,no_tool,1,11,1,1,1,1.0,1,1,2.0
volter2014cognitive,2,15,kofi,6,m,chimpanzee,no_tool,1,12,1,2,0,1.0,1,1,2.0
volter2014cognitive,2,3,kofi,6,m,chimpanzee,no_tool,1,13,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,8,kofi,6,m,chimpanzee,no_tool,1,14,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,13,kofi,6,m,chimpanzee,no_tool,1,15,1,2,1,1.0,1,1,2.0
volter2014cognitive,2,6,kofi,6,m,chimpanzee,no_tool,1,16,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,16,kofi,6,m,chimpanzee,no_tool,1,17,1,2,1,1.0,1,1,2.0
volter2014cognitive,2,7,kofi,6,m,chimpanzee,no_tool,1,18,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,14,kofi,6,m,chimpanzee,no_tool,1,19,1,2,0,1.0,1,1,2.0
volter2014cognitive,2,2,kofi,6,m,chimpanzee,no_tool,1,20,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,18,kofi,6,m,chimpanzee,no_tool,1,21,2,1,1,1.0,1,1,2.0
volter2014cognitive,2,22,kofi,6,m,chimpanzee,no_tool,1,22,2,2,0,1.0,1,1,2.0
volter2014cognitive,2,10,kofi,6,m,chimpanzee,no_tool,1,23,1,1,1,1.0,1,1,2.0
volter2014cognitive,2,17,kofi,6,m,chimpanzee,no_tool,2,24,2,1,0,1.0,0,0,2.0
volter2014cognitive,2,16,pia,12,f,chimpanzee,tool,1,1,1,2,1,1.0,1,1,1.0
volter2014cognitive,2,23,pia,12,f,chimpanzee,tool,1,2,2,2,0,1.0,1,1,1.0
volter2014cognitive,2,5,pia,12,f,chimpanzee,tool,1,3,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,9,pia,12,f,chimpanzee,tool,1,4,1,1,0,1.0,1,1,1.0
volter2014cognitive,2,17,pia,12,f,chimpanzee,tool,1,5,2,1,0,1.0,1,1,1.0
volter2014cognitive,2,24,pia,12,f,chimpanzee,tool,4,6,2,2,1,1.0,1,0,1.0
volter2014cognitive,2,2,pia,12,f,chimpanzee,tool,1,7,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,11,pia,12,f,chimpanzee,tool,1,8,1,1,1,1.0,1,1,1.0
volter2014cognitive,2,18,pia,12,f,chimpanzee,tool,3,9,2,1,1,1.0,0,0,1.0
volter2014cognitive,2,15,pia,12,f,chimpanzee,tool,1,10,1,2,0,1.0,1,1,1.0
volter2014cognitive,2,14,pia,12,f,chimpanzee,tool,1,11,1,2,0,1.0,1,1,1.0
volter2014cognitive,2,19,pia,12,f,chimpanzee,tool,1,12,2,1,1,1.0,1,1,1.0
volter2014cognitive,2,12,pia,12,f,chimpanzee,tool,1,13,1,1,0,1.0,1,1,1.0
volter2014cognitive,2,6,pia,12,f,chimpanzee,tool,1,14,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,7,pia,12,f,chimpanzee,tool,3,15,0,2,1,1.0,0,0,1.0
volter2014cognitive,2,10,pia,12,f,chimpanzee,tool,1,16,1,1,1,1.0,1,1,1.0
volter2014cognitive,2,20,pia,12,f,chimpanzee,tool,1,17,2,1,0,1.0,1,1,1.0
volter2014cognitive,2,21,pia,12,f,chimpanzee,tool,2,18,2,2,1,1.0,0,0,1.0
volter2014cognitive,2,22,pia,12,f,chimpanzee,tool,1,19,2,2,0,1.0,1,1,1.0
volter2014cognitive,2,1,pia,12,f,chimpanzee,tool,1,20,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,8,pia,12,f,chimpanzee,tool,1,21,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,13,pia,12,f,chimpanzee,tool,1,22,1,2,1,1.0,1,1,1.0
volter2014cognitive,2,4,pia,12,f,chimpanzee,tool,1,23,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,3,pia,12,f,chimpanzee,tool,1,24,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,2,pia,12,f,chimpanzee,no_tool,2,1,0,2,1,1.0,0,0,2.0
volter2014cognitive,2,19,pia,12,f,chimpanzee,no_tool,2,2,2,1,1,1.0,0,0,2.0
volter2014cognitive,2,15,pia,12,f,chimpanzee,no_tool,1,3,1,2,0,1.0,1,1,2.0
volter2014cognitive,2,18,pia,12,f,chimpanzee,no_tool,1,4,2,1,1,1.0,1,1,2.0
volter2014cognitive,2,22,pia,12,f,chimpanzee,no_tool,1,5,2,2,0,1.0,1,1,2.0
volter2014cognitive,2,9,pia,12,f,chimpanzee,no_tool,1,6,1,1,0,1.0,1,1,2.0
volter2014cognitive,2,5,pia,12,f,chimpanzee,no_tool,1,7,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,3,pia,12,f,chimpanzee,no_tool,1,8,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,23,pia,12,f,chimpanzee,no_tool,1,9,2,2,0,1.0,1,1,2.0
volter2014cognitive,2,1,pia,12,f,chimpanzee,no_tool,1,10,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,14,pia,12,f,chimpanzee,no_tool,1,11,1,2,0,1.0,1,1,2.0
volter2014cognitive,2,16,pia,12,f,chimpanzee,no_tool,1,12,1,2,1,1.0,1,1,2.0
volter2014cognitive,2,20,pia,12,f,chimpanzee,no_tool,1,13,2,1,0,1.0,1,1,2.0
volter2014cognitive,2,10,pia,12,f,chimpanzee,no_tool,1,14,1,1,1,1.0,1,1,2.0
volter2014cognitive,2,17,pia,12,f,chimpanzee,no_tool,1,15,2,1,0,1.0,1,1,2.0
volter2014cognitive,2,4,pia,12,f,chimpanzee,no_tool,1,16,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,12,pia,12,f,chimpanzee,no_tool,1,17,1,1,0,1.0,1,1,2.0
volter2014cognitive,2,6,pia,12,f,chimpanzee,no_tool,1,18,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,13,pia,12,f,chimpanzee,no_tool,1,19,1,2,1,1.0,1,1,2.0
volter2014cognitive,2,21,pia,12,f,chimpanzee,no_tool,2,20,2,2,1,1.0,0,0,2.0
volter2014cognitive,2,24,pia,12,f,chimpanzee,no_tool,1,21,2,2,1,1.0,1,1,2.0
volter2014cognitive,2,8,pia,12,f,chimpanzee,no_tool,1,22,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,7,pia,12,f,chimpanzee,no_tool,1,23,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,11,pia,12,f,chimpanzee,no_tool,1,24,1,1,1,1.0,1,1,2.0
volter2014cognitive,2,10,sandra,18,f,chimpanzee,no_tool,1,2,1,1,1,1.0,1,1,1.0
volter2014cognitive,2,19,sandra,18,f,chimpanzee,no_tool,1,3,2,1,1,1.0,1,1,1.0
volter2014cognitive,2,20,sandra,18,f,chimpanzee,no_tool,1,4,2,1,0,1.0,1,1,1.0
volter2014cognitive,2,23,sandra,18,f,chimpanzee,no_tool,2,5,2,2,0,1.0,0,0,1.0
volter2014cognitive,2,15,sandra,18,f,chimpanzee,no_tool,2,6,1,2,0,1.0,0,0,1.0
volter2014cognitive,2,21,sandra,18,f,chimpanzee,no_tool,2,7,2,2,1,1.0,0,0,1.0
volter2014cognitive,2,14,sandra,18,f,chimpanzee,no_tool,1,8,1,2,0,1.0,1,1,1.0
volter2014cognitive,2,5,sandra,18,f,chimpanzee,no_tool,1,9,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,4,sandra,18,f,chimpanzee,no_tool,1,10,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,18,sandra,18,f,chimpanzee,no_tool,2,11,2,1,1,1.0,0,0,1.0
volter2014cognitive,2,16,sandra,18,f,chimpanzee,no_tool,1,12,1,2,1,1.0,1,1,1.0
volter2014cognitive,2,7,sandra,18,f,chimpanzee,no_tool,2,13,0,2,1,1.0,0,0,1.0
volter2014cognitive,2,2,sandra,18,f,chimpanzee,no_tool,1,14,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,11,sandra,18,f,chimpanzee,no_tool,1,15,1,1,1,1.0,1,1,1.0
volter2014cognitive,2,8,sandra,18,f,chimpanzee,no_tool,1,16,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,22,sandra,18,f,chimpanzee,no_tool,1,17,2,2,0,1.0,1,1,1.0
volter2014cognitive,2,17,sandra,18,f,chimpanzee,no_tool,2,18,2,1,0,1.0,0,0,1.0
volter2014cognitive,2,3,sandra,18,f,chimpanzee,no_tool,2,19,0,2,1,1.0,0,0,1.0
volter2014cognitive,2,12,sandra,18,f,chimpanzee,no_tool,1,20,1,1,0,1.0,1,1,1.0
volter2014cognitive,2,13,sandra,18,f,chimpanzee,no_tool,1,21,1,2,1,1.0,1,1,1.0
volter2014cognitive,2,1,sandra,18,f,chimpanzee,no_tool,1,22,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,6,sandra,18,f,chimpanzee,no_tool,1,23,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,9,sandra,18,f,chimpanzee,no_tool,1,24,1,1,0,1.0,1,1,1.0
volter2014cognitive,2,24,sandra,18,f,chimpanzee,no_tool,2,25,2,2,1,1.0,0,0,1.0
volter2014cognitive,2,23,sandra,18,f,chimpanzee,tool,1,1,2,2,0,1.0,1,1,2.0
volter2014cognitive,2,3,sandra,18,f,chimpanzee,tool,1,3,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,8,sandra,18,f,chimpanzee,tool,2,4,0,2,0,1.0,0,0,2.0
volter2014cognitive,2,10,sandra,18,f,chimpanzee,tool,2,5,1,1,1,1.0,0,0,2.0
volter2014cognitive,2,24,sandra,18,f,chimpanzee,tool,2,6,2,2,1,1.0,1,0,2.0
volter2014cognitive,2,21,sandra,18,f,chimpanzee,tool,1,7,2,2,1,1.0,1,1,2.0
volter2014cognitive,2,2,sandra,18,f,chimpanzee,tool,1,8,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,20,sandra,18,f,chimpanzee,tool,1,9,2,1,0,1.0,1,1,2.0
volter2014cognitive,2,15,sandra,18,f,chimpanzee,tool,1,10,1,2,0,1.0,1,1,2.0
volter2014cognitive,2,13,sandra,18,f,chimpanzee,tool,1,11,1,2,1,1.0,1,1,2.0
volter2014cognitive,2,6,sandra,18,f,chimpanzee,tool,1,12,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,5,sandra,18,f,chimpanzee,tool,2,13,0,2,1,1.0,0,0,2.0
volter2014cognitive,2,12,sandra,18,f,chimpanzee,tool,2,14,1,1,0,1.0,0,0,2.0
volter2014cognitive,2,16,sandra,18,f,chimpanzee,tool,3,15,1,2,1,1.0,0,0,2.0
volter2014cognitive,2,19,sandra,18,f,chimpanzee,tool,3,16,2,1,1,1.0,0,0,2.0
volter2014cognitive,2,14,sandra,18,f,chimpanzee,tool,1,17,1,2,0,1.0,1,1,2.0
volter2014cognitive,2,4,sandra,18,f,chimpanzee,tool,1,18,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,18,sandra,18,f,chimpanzee,tool,2,19,2,1,1,1.0,0,0,2.0
volter2014cognitive,2,22,sandra,18,f,chimpanzee,tool,1,20,2,2,0,1.0,1,1,2.0
volter2014cognitive,2,1,sandra,18,f,chimpanzee,tool,1,21,0,2,0,1.0,1,1,2.0
volter2014cognitive,2,7,sandra,18,f,chimpanzee,tool,1,22,0,2,1,1.0,1,1,2.0
volter2014cognitive,2,9,sandra,18,f,chimpanzee,tool,1,23,1,1,0,1.0,1,1,2.0
volter2014cognitive,2,17,sandra,18,f,chimpanzee,tool,1,24,2,1,0,1.0,1,1,2.0
volter2014cognitive,2,11,sandra,18,f,chimpanzee,tool,1,25,1,1,1,1.0,1,1,2.0
volter2014cognitive,2,5,alex,10,m,chimpanzee,no_tool,1,1,0,2,1,1.0,1,1,1.0
volter2014cognitive,2,17,alex,10,m,chimpanzee,no_tool,2,2,2,1,0,1.0,0,0,1.0
volter2014cognitive,2,1,alex,10,m,chimpanzee,no_tool,1,3,0,2,0,1.0,1,1,1.0
volter2014cognitive,2,14,alex,10,m,chimpanzee,no_tool,1,4,1,2,0,1.0,1,1,1.0
volter2014cognitive,2,18,alex,10,m,chimpanzee,no_tool,2,5,2,1,1,1.0,0,0,1.0
