"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"id","maze configuration id (1-24)"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan"
"condition","condition presented to participants – tool/no_tool"
"number_trials","number of attempts needed to retrieve the reward"
"order","trial number within session"
"lop","level of planning required to make informed decision at the beginning of the maze (0-2)"
"num_levels","number of levels that contain a trap (1-2)"
"changes_direction","whether a change in direction is necessary for the removal of the reward or not (0= no/ 1= yes)"
"repetition","whether the same maze configuration was presented for the first or second time"
"t1_planning","whether the first decision in the first attempt was correct (0=incorrect/ 1= correct)"
"t1_success","whether the first attempt to retrieve the food was successful (0=no/ 1= yes)"
"order_condition","order of presentation of the conditions (1-2)"
