study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,repetition,t1_planning,t1_success,test_value,diff_num_trials
volter2014cognitive,3,3,alex,10,m,chimpanzee,clear,2,1,0,2,1,1.0,0,0,4.0,-2.0
volter2014cognitive,3,15,alex,10,m,chimpanzee,clear,1,2,1,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,4,alex,10,m,chimpanzee,clear,4,3,0,2,0,1.0,0,0,4.0,0.0
volter2014cognitive,3,17,alex,10,m,chimpanzee,clear,1,4,2,1,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,8,alex,10,m,chimpanzee,clear,1,5,0,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,22,alex,10,m,chimpanzee,clear,1,6,2,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,10,alex,10,m,chimpanzee,clear,1,7,1,1,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,5,alex,10,m,chimpanzee,clear,1,8,0,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,1,alex,10,m,chimpanzee,clear,1,9,0,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,16,alex,10,m,chimpanzee,clear,2,10,1,2,1,1.0,1,0,4.0,-2.0
volter2014cognitive,3,6,alex,10,m,chimpanzee,clear,1,11,0,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,20,alex,10,m,chimpanzee,clear,1,12,2,1,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,18,alex,10,m,chimpanzee,clear,1,13,2,1,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,9,alex,10,m,chimpanzee,clear,1,14,1,1,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,7,alex,10,m,chimpanzee,clear,3,15,0,2,1,1.0,0,0,4.0,-1.0
volter2014cognitive,3,23,alex,10,m,chimpanzee,clear,1,16,2,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,21,alex,10,m,chimpanzee,clear,2,17,2,2,1,1.0,0,0,4.0,-2.0
volter2014cognitive,3,13,alex,10,m,chimpanzee,clear,1,18,1,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,19,alex,10,m,chimpanzee,clear,1,19,2,1,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,11,alex,10,m,chimpanzee,clear,1,20,1,1,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,12,alex,10,m,chimpanzee,clear,1,21,1,1,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,2,alex,10,m,chimpanzee,clear,1,22,0,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,14,alex,10,m,chimpanzee,clear,1,23,1,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,24,alex,10,m,chimpanzee,clear,1,24,2,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,9,alex,10,m,chimpanzee,clear,1,1,1,1,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,5,alex,10,m,chimpanzee,clear,1,2,0,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,21,alex,10,m,chimpanzee,clear,4,3,2,2,1,2.0,0,0,4.0,0.0
volter2014cognitive,3,7,alex,10,m,chimpanzee,clear,1,4,0,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,17,alex,10,m,chimpanzee,clear,1,5,2,1,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,1,alex,10,m,chimpanzee,clear,1,6,0,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,23,alex,10,m,chimpanzee,clear,2,7,2,2,0,2.0,0,0,4.0,-2.0
volter2014cognitive,3,8,alex,10,m,chimpanzee,clear,1,8,0,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,13,alex,10,m,chimpanzee,clear,1,9,1,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,3,alex,10,m,chimpanzee,clear,1,10,0,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,16,alex,10,m,chimpanzee,clear,1,11,1,2,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,10,alex,10,m,chimpanzee,clear,3,12,1,1,1,2.0,0,0,4.0,-1.0
volter2014cognitive,3,20,alex,10,m,chimpanzee,clear,1,13,2,1,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,22,alex,10,m,chimpanzee,clear,1,14,2,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,4,alex,10,m,chimpanzee,clear,1,15,0,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,15,alex,10,m,chimpanzee,clear,1,16,1,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,2,alex,10,m,chimpanzee,clear,8,17,0,2,1,2.0,0,0,4.0,4.0
volter2014cognitive,3,6,alex,10,m,chimpanzee,clear,1,18,0,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,12,alex,10,m,chimpanzee,clear,1,19,1,1,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,18,alex,10,m,chimpanzee,clear,1,20,2,1,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,11,alex,10,m,chimpanzee,clear,13,21,1,1,1,2.0,1,0,4.0,9.0
volter2014cognitive,3,24,alex,10,m,chimpanzee,clear,5,22,2,2,1,2.0,1,0,4.0,1.0
volter2014cognitive,3,14,alex,10,m,chimpanzee,clear,1,23,1,2,0,2.0,1,1,4.0,-3.0
volter2014cognitive,3,19,alex,10,m,chimpanzee,clear,1,24,2,1,1,2.0,1,1,4.0,-3.0
volter2014cognitive,3,23,alexandra,12,f,chimpanzee,opaquecued,2,1,2,2,0,1.0,0,0,4.0,-2.0
volter2014cognitive,3,7,alexandra,12,f,chimpanzee,opaquecued,2,2,0,2,1,1.0,1,0,4.0,-2.0
volter2014cognitive,3,4,alexandra,12,f,chimpanzee,opaquecued,1,3,0,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,13,alexandra,12,f,chimpanzee,opaquecued,6,4,1,2,1,1.0,0,0,4.0,2.0
volter2014cognitive,3,22,alexandra,12,f,chimpanzee,opaquecued,2,5,2,2,0,1.0,0,0,4.0,-2.0
volter2014cognitive,3,1,alexandra,12,f,chimpanzee,opaquecued,4,6,0,2,0,1.0,0,0,4.0,0.0
volter2014cognitive,3,14,alexandra,12,f,chimpanzee,opaquecued,2,7,1,2,0,1.0,0,0,4.0,-2.0
volter2014cognitive,3,15,alexandra,12,f,chimpanzee,opaquecued,1,8,1,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,10,alexandra,12,f,chimpanzee,opaquecued,17,9,1,1,1,1.0,1,0,4.0,13.0
volter2014cognitive,3,3,alexandra,12,f,chimpanzee,opaquecued,17,10,0,2,1,1.0,0,0,4.0,13.0
volter2014cognitive,3,19,alexandra,12,f,chimpanzee,opaquecued,1,11,2,1,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,17,alexandra,12,f,chimpanzee,opaquecued,11,12,2,1,0,1.0,0,0,4.0,7.0
volter2014cognitive,3,8,alexandra,12,f,chimpanzee,opaquecued,17,13,0,2,0,1.0,0,0,4.0,13.0
volter2014cognitive,3,12,alexandra,12,f,chimpanzee,opaquecued,2,14,1,1,0,1.0,0,0,4.0,-2.0
volter2014cognitive,3,24,alexandra,12,f,chimpanzee,opaquecued,16,15,2,2,1,1.0,1,0,4.0,12.0
volter2014cognitive,3,16,alexandra,12,f,chimpanzee,opaquecued,3,16,1,2,1,1.0,1,0,4.0,-1.0
volter2014cognitive,3,11,alexandra,12,f,chimpanzee,opaquecued,17,17,1,1,1,1.0,1,0,4.0,13.0
volter2014cognitive,3,21,alexandra,12,f,chimpanzee,opaquecued,17,18,2,2,1,1.0,0,0,4.0,13.0
