study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,t1_planning,t1_success,order_condition,sum_planning_errors,sum_non_planning_errors,sum_nonplan_error_lev1,non_planning_errors_level1_t1
volter2014cognitive,4,5,alex,10,m,chimpanzee,clear,4,1,0,2,1,0,0,1.0,0.0,3.0,3.0,1.0
volter2014cognitive,4,20,alex,10,m,chimpanzee,clear,1,2,2,1,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,6,alex,10,m,chimpanzee,clear,2,3,0,2,0,0,0,1.0,0.0,1.0,1.0,1.0
volter2014cognitive,4,17,alex,10,m,chimpanzee,clear,1,4,2,1,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,14,alex,10,m,chimpanzee,clear,1,5,1,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,8,alex,10,m,chimpanzee,clear,1,6,0,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,19,alex,10,m,chimpanzee,clear,1,7,2,1,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,18,alex,10,m,chimpanzee,clear,4,8,2,1,1,1,0,1.0,3.0,0.0,0.0,0.0
volter2014cognitive,4,7,alex,10,m,chimpanzee,clear,1,9,0,2,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,15,alex,10,m,chimpanzee,clear,1,10,1,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,9,alex,10,m,chimpanzee,clear,1,11,1,1,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,4,alex,10,m,chimpanzee,clear,1,12,0,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,16,alex,10,m,chimpanzee,clear,1,13,1,2,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,3,alex,10,m,chimpanzee,clear,5,14,0,2,1,0,0,1.0,0.0,4.0,4.0,1.0
volter2014cognitive,4,12,alex,10,m,chimpanzee,clear,1,15,1,1,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,11,alex,10,m,chimpanzee,clear,1,16,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,23,alex,10,m,chimpanzee,clear,1,17,2,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,1,alex,10,m,chimpanzee,clear,1,18,0,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,24,alex,10,m,chimpanzee,clear,1,19,2,2,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,13,alex,10,m,chimpanzee,clear,1,20,1,2,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,10,alex,10,m,chimpanzee,clear,1,21,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,2,alex,10,m,chimpanzee,clear,1,22,0,2,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,22,alex,10,m,chimpanzee,clear,1,23,2,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,21,alex,10,m,chimpanzee,clear,2,24,2,2,1,0,0,1.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,12,alex,10,m,chimpanzee,opaque_cued,2,1,1,1,0,0,0,2.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,4,alex,10,m,chimpanzee,opaque_cued,2,2,0,2,0,1,0,2.0,0.0,1.0,0.0,0.0
volter2014cognitive,4,18,alex,10,m,chimpanzee,opaque_cued,1,3,2,1,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,15,alex,10,m,chimpanzee,opaque_cued,1,4,1,2,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,1,alex,10,m,chimpanzee,opaque_cued,1,5,0,2,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,24,alex,10,m,chimpanzee,opaque_cued,1,6,2,2,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,2,alex,10,m,chimpanzee,opaque_cued,5,7,0,2,1,1,0,2.0,0.0,4.0,2.0,0.0
