study_id,experiment,experiment_name,participant,sex,species,session,trial_number,trial_type,location,reward,reward_codes
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,1.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,2.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,3.0,base,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,4.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,5.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,6.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,7.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,8.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,9.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,10.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,11.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,7,12.0,base,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,1.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,2.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,3.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,4.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,5.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,6.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,7.0,exp,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,8.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,9.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,10.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,11.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,8,12.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,1.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,2.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,3.0,base,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,4.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,5.0,base,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,6.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,7.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,8.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,9.0,base,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,10.0,exp,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,11.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,9,12.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,1.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,2.0,base,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,3.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,4.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,5.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,6.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,7.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,8.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,9.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,10.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,11.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,10,12.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,1.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,2.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,3.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,4.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,5.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,6.0,exp,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,7.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,8.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,9.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,10.0,base,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,11.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,11,12.0,con,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,1.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,2.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,3.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,4.0,exp,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,5.0,con,r,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,6.0,base,l,1.0,correct
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,7.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,alexandra,f,chimpanzee,12,8.0,con,l,1.0,correct
