study_id,experiment,participant,age_in_years,sex,species,session,trial_number,trial_type,location,reward,order,selected_location,reward_codes
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,1.0,control,r,0.0,see_first,l,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,2.0,see,l,0.0,see_first,r,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,3.0,control,r,0.0,see_first,l,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,4.0,see,r,1.0,see_first,r,correct
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,5.0,see,r,0.0,see_first,l,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,6.0,see,l,0.0,see_first,r,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,7.0,control,l,1.0,see_first,l,correct
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,8.0,see,r,1.0,see_first,r,correct
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,9.0,see,l,0.0,see_first,r,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,10.0,see,r,1.0,see_first,r,correct
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,11.0,control,l,1.0,see_first,l,correct
volter2014great,1,natascha,32.0,f,chimpanzee,1.0,12.0,see,l,1.0,see_first,l,correct
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,13.0,see,r,1.0,see_first,r,correct
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,14.0,see,l,0.0,see_first,r,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,15.0,control,l,0.0,see_first,r,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,16.0,see,r,0.0,see_first,l,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,17.0,see,r,0.0,see_first,l,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,18.0,control,r,1.0,see_first,r,correct
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,19.0,control,r,1.0,see_first,r,correct
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,20.0,see,l,0.0,see_first,r,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,21.0,see,r,1.0,see_first,r,correct
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,22.0,see,l,1.0,see_first,l,correct
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,23.0,see,l,1.0,see_first,l,correct
volter2014great,1,natascha,32.0,f,chimpanzee,2.0,24.0,control,l,1.0,see_first,l,correct
volter2014great,1,natascha,32.0,f,chimpanzee,3.0,25.0,control,r,0.0,see_first,l,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,3.0,26.0,see,l,0.0,see_first,r,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,3.0,27.0,see,l,1.0,see_first,l,correct
volter2014great,1,natascha,32.0,f,chimpanzee,3.0,28.0,control,l,1.0,see_first,l,correct
volter2014great,1,natascha,32.0,f,chimpanzee,3.0,29.0,see,r,0.0,see_first,l,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,3.0,30.0,see,l,1.0,see_first,l,correct
volter2014great,1,natascha,32.0,f,chimpanzee,3.0,31.0,control,r,1.0,see_first,r,correct
volter2014great,1,natascha,32.0,f,chimpanzee,3.0,32.0,see,r,0.0,see_first,l,incorrect
volter2014great,1,natascha,32.0,f,chimpanzee,3.0,33.0,see,l,1.0,see_first,l,correct
