study_id,experiment,participant,age_in_years,sex,species,number_trials,condition,lop,num_levels,changes_direction,order,new_order,configuration_id,repetition,t1_planning,t1_success,test_value,diff_num_trials
volter2014younger,1,alex,10,m,chimpanzee,2,clear,0,2,1.0,1,1.0,3,1,0,0,4.0,-2.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,1,2,0.0,2,2.0,15,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,4,clear,0,2,0.0,3,3.0,4,1,0,0,4.0,0.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,2,1,0.0,4,4.0,17,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,0,2,0.0,5,5.0,8,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,2,2,0.0,6,6.0,22,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,1,1,1.0,8,7.0,10,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,0,2,1.0,9,8.0,5,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,0,2,0.0,10,9.0,1,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,2,clear,1,2,1.0,11,10.0,16,1,1,0,4.0,-2.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,0,2,0.0,12,11.0,6,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,2,1,0.0,14,12.0,20,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,2,1,1.0,15,13.0,18,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,1,1,0.0,16,14.0,9,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,3,clear,0,2,1.0,17,15.0,7,1,0,0,4.0,-1.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,2,2,0.0,18,16.0,23,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,2,clear,2,2,1.0,19,17.0,21,1,0,0,4.0,-2.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,1,2,1.0,20,18.0,13,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,2,1,1.0,21,19.0,19,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,1,1,1.0,22,20.0,11,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,1,1,0.0,23,21.0,12,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,0,2,1.0,24,22.0,2,1,1,1,4.0,-3.0
volter2014younger,1,alex,10,m,chimpanzee,1,clear,1,2,0.0,43,23.0,14,1,1,1,4.0,-3.0
