"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan"
"number_trials","number of repeated trials until they succeed"
"condition","condition presented to participants – clear"
"lop","level of planning required to succeed from 0 to 2 depending whether they had to consider the traps on the uppermost level only on the ahead or on second level or the third level underneath"
"num_levels","number of levels that contain a trap (1-2)"
"changes_direction","number of times the participants had to change direction during the trial to succeed(0= no/ 1= yes)"
"order","trial order with the missing spots of those trials that were not included in the final dataset"
"new_order","trial order without the missing spots of those trials that were not included in the final dataset"
"configuration_id ", identification number of the trap configuration 
"repetition","whether the same maze configuration was presented for the first or second time"
"t1_planning","whether the participants made the first movement correctly in the first trial attempt (0= incorrect/ 1= correct)"
"t1_success","whether the participants succeeded in retrieving food in the first attempt(0=no/ 1= yes)"
"test_value","number of repetitions the participants would need to succeed in a trial by chance (chance level 25%)"
"diff_num_trials","difference between number of trials and test_value. A negative score means the participants succeeded over a chance level of four attempts"
