study_id,experiment,participant,age_in_years,sex,species,number_trials,lop,num_levels,order,configuration_id,repetition,t1_planning,t1_success,change_direction,sum_nonplan_error_lev1,sum_planning_errors,sum_non_planning_errors
volter2014younger,2,alex,10,m,chimpanzee,1,0,3,1,3,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,4,1,2,2,11,1,0,0,1.0,0.0,3.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,0,3,3,4,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,1,2,4,12,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,0,3,5,2,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,2,2,2,6,19,1,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,2,2,2,7,17,1,0,0,2.0,0.0,1.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,0,3,8,8,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,2,2,9,20,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,2,2,2,10,22,1,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,1,2,11,15,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,0,3,12,1,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,2,2,2,13,23,1,1,0,2.0,0.0,0.0,1.0
volter2014younger,2,alex,10,m,chimpanzee,3,1,2,14,9,1,0,0,1.0,0.0,2.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,3,1,2,15,14,1,1,0,2.0,0.0,1.0,1.0
volter2014younger,2,alex,10,m,chimpanzee,2,0,3,16,6,1,1,0,1.0,0.0,0.0,1.0
volter2014younger,2,alex,10,m,chimpanzee,1,1,2,17,13,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,2,2,2,18,24,1,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,1,2,19,10,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,1,2,20,16,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,0,3,21,7,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,0,3,22,5,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,2,2,2,23,21,1,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,2,2,24,18,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,4,0,3,1,3,2,0,0,2.0,3.0,0.0,3.0
volter2014younger,2,alex,10,m,chimpanzee,1,0,3,2,1,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,2,2,3,19,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,1,2,4,10,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,0,3,5,4,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,1,2,6,12,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,2,2,7,22,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,2,2,2,8,21,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,1,2,9,16,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,3,0,3,10,8,2,0,0,1.0,2.0,0.0,2.0
volter2014younger,2,alex,10,m,chimpanzee,5,1,2,11,14,2,0,0,2.0,0.0,4.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,0,3,12,5,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,2,1,2,13,9,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,3,0,3,14,7,2,0,0,2.0,2.0,0.0,2.0
volter2014younger,2,alex,10,m,chimpanzee,3,1,2,15,13,2,1,0,1.0,0.0,1.0,1.0
volter2014younger,2,alex,10,m,chimpanzee,1,2,2,16,17,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,3,0,3,17,2,2,0,0,1.0,2.0,0.0,2.0
volter2014younger,2,alex,10,m,chimpanzee,1,2,2,18,18,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,3,1,2,19,15,2,1,0,1.0,0.0,1.0,1.0
volter2014younger,2,alex,10,m,chimpanzee,3,2,2,20,20,2,0,0,1.0,0.0,2.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,1,2,21,11,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,1,0,3,22,6,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,2,2,2,23,24,2,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,alex,10,m,chimpanzee,6,2,2,24,23,2,0,0,2.0,0.0,4.0,1.0
volter2014younger,2,fifi,18,f,chimpanzee,6,1,2,1,9,1,1,0,1.0,0.0,3.0,2.0
volter2014younger,2,fifi,18,f,chimpanzee,2,1,2,2,16,1,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,17,2,2,3,20,1,0,0,1.0,0.0,11.0,5.0
volter2014younger,2,fifi,18,f,chimpanzee,9,2,2,4,23,1,0,0,2.0,0.0,6.0,2.0
volter2014younger,2,fifi,18,f,chimpanzee,1,0,3,5,6,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,4,1,2,6,13,1,0,0,1.0,0.0,3.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,3,0,3,7,4,1,0,0,1.0,2.0,0.0,2.0
volter2014younger,2,fifi,18,f,chimpanzee,1,2,2,8,24,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,fifi,18,f,chimpanzee,1,1,2,9,11,1,1,1,1.0,0.0,0.0,0.0
