study_id,experiment,participant,age_in_years,sex,species,phase,trial,condition,order_condition,instruction,blicket,blicket_side,first_response,first_response_side
volter2016great,1,alex,12.0,m,chimpanzee,test,6,two_cause,1,demo_alone,10,left,1,left
volter2016great,1,alex,12.0,m,chimpanzee,test,7,baseline,1,demo_alone,13,left,1,left
volter2016great,1,alex,12.0,m,chimpanzee,test,8,one_cause,1,demo_alone,14,right,0,left
volter2016great,1,alex,12.0,m,chimpanzee,test,9,two_cause,2,demo_alone,16,right,0,left
volter2016great,1,alex,12.0,m,chimpanzee,test,10,one_cause,2,demo_alone,18,left,1,left
volter2016great,1,alex,12.0,m,chimpanzee,test,11,baseline,2,demo_alone,21,right,0,left
volter2016great,1,alexandra,13.0,f,chimpanzee,test,6,one_cause,1,demo_alone,11,left,1,left
volter2016great,1,alexandra,13.0,f,chimpanzee,test,7,baseline,1,demo_alone,12,left,0,right
volter2016great,1,alexandra,13.0,f,chimpanzee,test,8,two_cause,1,demo_alone,15,right,0,left
volter2016great,1,alexandra,13.0,f,chimpanzee,test,9,two_cause,2,demo_alone,17,left,0,right
volter2016great,1,alexandra,13.0,f,chimpanzee,test,10,one_cause,2,demo_alone,18,right,1,right
volter2016great,1,alexandra,13.0,f,chimpanzee,test,11,baseline,2,demo_alone,20,right,1,right
volter2016great,1,annett,13.0,f,chimpanzee,test,6,one_cause,1,demo_alone,10,right,1,right
volter2016great,1,annett,13.0,f,chimpanzee,test,7,two_cause,1,demo_alone,12,left,0,right
volter2016great,1,annett,13.0,f,chimpanzee,test,8,baseline,1,demo_alone,15,left,1,left
volter2016great,1,annett,13.0,f,chimpanzee,test,9,one_cause,2,demo_alone,16,left,0,right
volter2016great,1,annett,13.0,f,chimpanzee,test,10,baseline,2,demo_alone,18,right,0,left
volter2016great,1,annett,13.0,f,chimpanzee,test,11,two_cause,2,demo_alone,21,right,0,left
volter2016great,1,bimbo,32.0,m,orangutan,test,6,one_cause,1,demo_alone,10,left,1,left
volter2016great,1,bimbo,32.0,m,orangutan,test,7,baseline,1,demo_alone,12,right,0,left
volter2016great,1,bimbo,32.0,m,orangutan,test,8,two_cause,1,demo_alone,14,right,0,left
volter2016great,1,bimbo,32.0,m,orangutan,test,9,one_cause,2,demo_alone,17,right,1,right
volter2016great,1,bimbo,32.0,m,orangutan,test,10,baseline,2,demo_alone,18,left,1,left
volter2016great,1,bimbo,32.0,m,orangutan,test,11,two_cause,2,demo_alone,21,left,0,right
volter2016great,1,dokana,24.0,f,orangutan,test,6,two_cause,1,demo_alone,11,left,1,left
