study_id,experiment,participant,age_in_years,sex,species,phase,trial,condition,instruction,blicket,blicket_side,first_response_side,first_response_a_or_b,100percent_object_chosen
volter2016great,2,alex,12.0,m,chimpanzee,test,1,retrospective_discounting,demo_alone,23,right,left,b,1.0
volter2016great,2,alex,12.0,m,chimpanzee,test,2,backward_blocking,demo_alone,24,left,right,b,0.0
volter2016great,2,alex,12.0,m,chimpanzee,test,3,baseline,demo_alone,27,left,left,a,1.0
volter2016great,2,alex,12.0,m,chimpanzee,test,4,retrospective_discounting,demo_alone,28,left,right,b,1.0
volter2016great,2,alex,12.0,m,chimpanzee,test,5,baseline,demo_alone,31,right,right,a,1.0
volter2016great,2,alex,12.0,m,chimpanzee,test,6,backward_blocking,demo_alone,32,right,left,b,0.0
volter2016great,2,alexandra,13.0,f,chimpanzee,test,1,backward_blocking,demo_alone,22,left,left,a,1.0
volter2016great,2,alexandra,13.0,f,chimpanzee,test,2,baseline,demo_alone,25,left,left,a,1.0
volter2016great,2,alexandra,13.0,f,chimpanzee,test,3,retrospective_discounting,demo_alone,27,right,left,b,1.0
volter2016great,2,alexandra,13.0,f,chimpanzee,test,4,backward_blocking,demo_alone,29,right,right,a,1.0
volter2016great,2,alexandra,13.0,f,chimpanzee,test,5,retrospective_discounting,demo_alone,30,left,right,b,1.0
volter2016great,2,alexandra,13.0,f,chimpanzee,test,6,baseline,demo_alone,32,right,left,b,0.0
volter2016great,2,annett,13.0,f,chimpanzee,test,1,retrospective_discounting,demo_alone,22,right,left,b,1.0
volter2016great,2,annett,13.0,f,chimpanzee,test,2,baseline,demo_alone,24,left,right,b,0.0
volter2016great,2,annett,13.0,f,chimpanzee,test,3,backward_blocking,demo_alone,26,left,right,b,0.0
volter2016great,2,annett,13.0,f,chimpanzee,test,4,retrospective_discounting,demo_alone,29,left,left,a,0.0
volter2016great,2,annett,13.0,f,chimpanzee,test,5,baseline,demo_alone,31,right,right,a,1.0
volter2016great,2,annett,13.0,f,chimpanzee,test,6,backward_blocking,demo_alone,33,right,left,b,0.0
volter2016great,2,bimbo,32.0,m,orangutan,test,1,retrospective_discounting,demo_alone,23,left,left,a,0.0
volter2016great,2,bimbo,32.0,m,orangutan,test,2,baseline,demo_alone,25,right,right,a,1.0
volter2016great,2,bimbo,32.0,m,orangutan,test,3,backward_blocking,demo_alone,27,right,left,b,0.0
volter2016great,2,bimbo,32.0,m,orangutan,test,4,retrospective_discounting,demo_alone,29,right,right,a,0.0
volter2016great,2,bimbo,32.0,m,orangutan,test,5,backward_blocking,demo_alone,31,left,right,b,0.0
volter2016great,2,bimbo,32.0,m,orangutan,test,6,baseline,demo_alone,32,left,right,b,0.0
volter2016great,2,dokana,24.0,f,orangutan,test,1,backward_blocking,demo_alone,23,left,left,a,1.0
volter2016great,2,dokana,24.0,f,orangutan,test,2,baseline,demo_alone,24,right,right,a,1.0
volter2016great,2,dokana,24.0,f,orangutan,test,3,retrospective_discounting,demo_alone,26,right,right,a,0.0
volter2016great,2,dokana,24.0,f,orangutan,test,4,backward_blocking,demo_alone,28,right,left,b,0.0
volter2016great,2,dokana,24.0,f,orangutan,test,5,retrospective_discounting,demo_alone,30,left,left,a,0.0
volter2016great,2,dokana,24.0,f,orangutan,test,6,baseline,demo_alone,33,left,right,b,0.0
volter2016great,2,dorien,32.0,f,chimpanzee,test,1,retrospective_discounting,demo_alone,23,left,right,b,1.0
volter2016great,2,dorien,32.0,f,chimpanzee,test,2,baseline,demo_alone,24,right,right,a,1.0
volter2016great,2,dorien,32.0,f,chimpanzee,test,3,backward_blocking,demo_alone,26,right,right,a,1.0
volter2016great,2,dorien,32.0,f,chimpanzee,test,4,backward_blocking,demo_alone,29,left,left,a,1.0
volter2016great,2,dorien,32.0,f,chimpanzee,test,5,retrospective_discounting,demo_alone,31,right,right,a,0.0
volter2016great,2,dorien,32.0,f,chimpanzee,test,6,baseline,demo_alone,33,left,left,a,1.0
volter2016great,2,fifi,20.0,f,chimpanzee,test,1,backward_blocking,demo_alone,23,left,left,a,1.0
volter2016great,2,fifi,20.0,f,chimpanzee,test,2,retrospective_discounting,demo_alone,25,right,right,a,0.0
volter2016great,2,fifi,20.0,f,chimpanzee,test,3,baseline,demo_alone,26,right,left,b,0.0
volter2016great,2,fifi,20.0,f,chimpanzee,test,4,retrospective_discounting,demo_alone,28,left,right,b,1.0
volter2016great,2,fifi,20.0,f,chimpanzee,test,5,baseline,demo_alone,31,left,right,b,0.0
volter2016great,2,fifi,20.0,f,chimpanzee,test,6,backward_blocking,demo_alone,33,right,right,a,1.0
volter2016great,2,fimi,5.0,f,bonobo,test,1,backward_blocking,demo_alone,29,right,right,a,1.0
volter2016great,2,fimi,5.0,f,bonobo,test,2,retrospective_discounting,demo_alone,31,right,left,b,1.0
volter2016great,2,fimi,5.0,f,bonobo,test,3,baseline,demo_alone,32,left,left,a,1.0
volter2016great,2,fimi,5.0,f,bonobo,test,4,backward_blocking,demo_alone,e2,left,right,b,0.0
volter2016great,2,fimi,5.0,f,bonobo,test,5,retrospective_discounting,demo_alone,25,left,left,a,0.0
volter2016great,2,fimi,5.0,f,bonobo,test,6,baseline,demo_alone,27,right,right,a,1.0
volter2016great,2,fraukje,37.0,f,chimpanzee,test,1,backward_blocking,demo_alone,22,right,left,b,0.0
volter2016great,2,fraukje,37.0,f,chimpanzee,test,2,baseline,demo_alone,24,left,right,b,0.0
volter2016great,2,fraukje,37.0,f,chimpanzee,test,3,retrospective_discounting,demo_alone,27,left,right,b,1.0
volter2016great,2,fraukje,37.0,f,chimpanzee,test,4,backward_blocking,demo_alone,28,left,left,a,1.0
volter2016great,2,fraukje,37.0,f,chimpanzee,test,5,baseline,demo_alone,30,right,right,a,1.0
volter2016great,2,fraukje,37.0,f,chimpanzee,test,6,retrospective_discounting,demo_alone,33,right,right,a,0.0
volter2016great,2,frodo,19.0,m,chimpanzee,test,1,retrospective_discounting,demo_alone,23,left,right,b,1.0
volter2016great,2,frodo,19.0,m,chimpanzee,test,2,backward_blocking,demo_alone,24,right,left,b,0.0
volter2016great,2,frodo,19.0,m,chimpanzee,test,3,baseline,demo_alone,26,left,right,b,0.0
volter2016great,2,frodo,19.0,m,chimpanzee,test,4,retrospective_discounting,demo_alone,29,right,right,a,0.0
volter2016great,2,frodo,19.0,m,chimpanzee,test,5,backward_blocking,demo_alone,30,left,left,a,1.0
volter2016great,2,frodo,19.0,m,chimpanzee,test,6,baseline,demo_alone,32,right,left,b,0.0
volter2016great,2,jahaga,20.0,f,chimpanzee,test,1,backward_blocking,demo_alone,23,right,left,b,0.0
volter2016great,2,jahaga,20.0,f,chimpanzee,test,2,retrospective_discounting,demo_alone,25,left,left,a,0.0
volter2016great,2,jahaga,20.0,f,chimpanzee,test,3,baseline,demo_alone,26,right,right,a,1.0
volter2016great,2,jahaga,20.0,f,chimpanzee,test,4,backward_blocking,demo_alone,28,left,left,a,1.0
volter2016great,2,jahaga,20.0,f,chimpanzee,test,5,baseline,demo_alone,30,left,left,a,1.0
volter2016great,2,jahaga,20.0,f,chimpanzee,test,6,retrospective_discounting,demo_alone,32,right,left,b,1.0
volter2016great,2,jasongo,22.0,m,bonobo,test,1,retrospective_discounting,demo_alone,28,left,right,b,1.0
volter2016great,2,jasongo,22.0,m,bonobo,test,2,backward_blocking,demo_alone,31,right,right,a,1.0
volter2016great,2,jasongo,22.0,m,bonobo,test,3,baseline,demo_alone,32,left,right,b,0.0
volter2016great,2,jasongo,22.0,m,bonobo,test,4,backward_blocking,demo_alone,22,left,right,b,0.0
volter2016great,2,jasongo,22.0,m,bonobo,test,5,baseline,demo_alone,24,right,left,b,0.0
volter2016great,2,jasongo,22.0,m,bonobo,test,6,retrospective_discounting,demo_alone,26,right,left,b,1.0
volter2016great,2,joey,30.0,m,bonobo,test,1,retrospective_discounting,demo_alone,29,right,right,a,0.0
volter2016great,2,joey,30.0,m,bonobo,test,2,baseline,demo_alone,30,right,left,b,0.0
volter2016great,2,joey,30.0,m,bonobo,test,3,backward_blocking,demo_alone,33,left,left,a,1.0
