column_name,description
study_id,personal study ID composed by the first authors’ first surname_year of publication_first title word 
experiment,number of experiment from publication 
participant,name of the participant 
age_in_years,age presented in years – see metadata for source of age
sex,sex of the participant 
species,species of individuals participating in the study -bonobo/chimpanzee/orangutan 
phase,test phase = participants were presented three conditions of two trials each
trial,presentation of the experiment to the participants - usually numerical 
condition,within-participant experimental manipulation - baseline/  backward blocking / retrospective discounting
instruction,type of instruction presented to the participant - demo_alone
blicket,ID number of the functional object
blicket_side,side on which the functional object was presented - left / right 
first_response_side,refers to first choice of the participant - left / right 
first_response_a_or_b,whether the participant chose object a or b (a refers the object that was placed on the detector by itself in the retrospective discounting and backward blocking conditions)
100percent_object_chosen,whether participant chose the object that was associated with the effect every time it was placed on top of the detector - yes (1) /  no (0)
