study_id,experiment,participant,age_in_years,sex,species,phase,session,trial,condition,order_condition,demonstration,blicket_side,first_response_side,blicket_object,first_response_correct,second_response,second_response_side
volter2016great,4,fimi,6,f,bonobo,test ,1.0,1,causal,causal_first,observation,right,left,1,0.0,1.0,right
volter2016great,4,fimi,6,f,bonobo,test,1.0,2,causal,causal_first,observation,left,left,3,1.0,,
volter2016great,4,fimi,6,f,bonobo,test,2.0,3,causal,causal_first,observation,left,right,5,0.0,0.0,right
volter2016great,4,fimi,6,f,bonobo,test,2.0,4,causal,causal_first,observation,right,right,8,1.0,,
volter2016great,4,fimi,6,f,bonobo,test ,3.0,5,association,causal_first,observation,right,right,9,1.0,,
volter2016great,4,fimi,6,f,bonobo,test,3.0,6,association,causal_first,observation,left,right,11,0.0,0.0,right
volter2016great,4,fimi,6,f,bonobo,test,4.0,7,association,causal_first,observation,left,right,14,0.0,1.0,left
volter2016great,4,fimi,6,f,bonobo,test,4.0,8,association,causal_first,observation,right,right,16,1.0,,
volter2016great,4,gemena,9,f,bonobo,test ,1.0,1,association,association_first,observation,right,right,1,1.0,,
volter2016great,4,gemena,9,f,bonobo,test,1.0,2,association,association_first,observation,left,right,4,0.0,0.0,right
volter2016great,4,gemena,9,f,bonobo,test,2.0,3,association,association_first,observation,right,right,5,1.0,,
volter2016great,4,gemena,9,f,bonobo,test,2.0,4,association,association_first,observation,left,right,8,0.0,0.0,right
volter2016great,4,gemena,9,f,bonobo,test ,3.0,5,causal,association_first,observation,left,left,10,1.0,,
volter2016great,4,gemena,9,f,bonobo,test,3.0,6,causal,association_first,observation,right,right,12,1.0,,
volter2016great,4,gemena,9,f,bonobo,test,4.0,7,causal,association_first,observation,left,right,13,0.0,1.0,left
volter2016great,4,gemena,9,f,bonobo,test,4.0,8,causal,association_first,observation,right,right,16,1.0,,
volter2016great,4,jasongo,24,m,bonobo,test ,1.0,1,association,association_first,observation,right,left,1,0.0,1.0,right
volter2016great,4,jasongo,24,m,bonobo,test,1.0,2,association,association_first,observation,left,left,3,1.0,,
volter2016great,4,jasongo,24,m,bonobo,test,2.0,3,association,association_first,observation,right,right,6,1.0,,
volter2016great,4,jasongo,24,m,bonobo,test,2.0,4,association,association_first,observation,left,left,8,1.0,,
volter2016great,4,jasongo,24,m,bonobo,test ,3.0,5,causal,association_first,observation,right,right,9,1.0,,
volter2016great,4,jasongo,24,m,bonobo,test,3.0,6,causal,association_first,observation,left,right,11,0.0,1.0,left
volter2016great,4,jasongo,24,m,bonobo,test,4.0,7,causal,association_first,observation,left,right,13,0.0,0.0,right
volter2016great,4,jasongo,24,m,bonobo,test,4.0,8,causal,association_first,observation,right,right,15,1.0,,
volter2016great,4,joey,32,m,bonobo,test ,1.0,1,causal,causal_first,observation,right,left,1,0.0,0.0,left
volter2016great,4,joey,32,m,bonobo,test,1.0,2,causal,causal_first,observation,left,left,4,1.0,,
volter2016great,4,joey,32,m,bonobo,test,2.0,3,causal,causal_first,observation,left,right,6,0.0,0.0,right
volter2016great,4,joey,32,m,bonobo,test,2.0,4,causal,causal_first,observation,right,right,7,1.0,,
volter2016great,4,joey,32,m,bonobo,test ,3.0,5,association,causal_first,observation,left,right,9,0.0,0.0,right
volter2016great,4,joey,32,m,bonobo,test,3.0,6,association,causal_first,observation,right,right,12,1.0,,
volter2016great,4,joey,32,m,bonobo,test,4.0,7,association,causal_first,observation,right,right,14,1.0,,
volter2016great,4,joey,32,m,bonobo,test,4.0,8,association,causal_first,observation,left,right,15,0.0,1.0,left
volter2016great,4,kuno,18,m,bonobo,test ,1.0,1,association,association_first,observation,left,right,2,0.0,1.0,left
volter2016great,4,kuno,18,m,bonobo,test,1.0,2,association,association_first,observation,right,right,4,1.0,,
volter2016great,4,kuno,18,m,bonobo,test,2.0,3,association,association_first,observation,left,left,5,1.0,,
volter2016great,4,kuno,18,m,bonobo,test,2.0,4,association,association_first,observation,right,right,7,1.0,,
volter2016great,4,kuno,18,m,bonobo,test ,3.0,5,causal,association_first,observation,right,right,10,1.0,,
volter2016great,4,kuno,18,m,bonobo,test,3.0,6,causal,association_first,observation,left,left,11,1.0,,
volter2016great,4,kuno,18,m,bonobo,test,4.0,7,causal,association_first,observation,right,right,14,1.0,,
volter2016great,4,kuno,18,m,bonobo,test,4.0,8,causal,association_first,observation,left,left,16,1.0,,
volter2016great,4,lexi,15,f,bonobo,test ,1.0,1,causal,causal_first,observation,right,left,2,0.0,1.0,right
