"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"phase","test phase = participants were presented two conditions "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","within-participant experimental manipulation - causal / association"
"order_condition","whether the causal or association condition was presented first"
"demonstration","type of demonstration presented to the participant - observation"
"blicket_side","side on which the functional object was presented - left / right "
"blicket_object","ID number of the functional object"
"first_response_side","refers to first choice of the participant - left / right "
"first_response_correct","whether the first choice of the participant was correct - yes (1) / no (0)"
"second_response",
"second_response_side","refers to the second choice of the participant - left / right "
