study_id,experiment,participant,age_in_years,sex,species,phase,session,trial,condition,order,order2,correct_side,first_response,chosen_side
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,1,shadow,shadow_first,1.0,r,0.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,2,shadow,shadow_first,1.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,3,shadow,shadow_first,1.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,4,shadow,shadow_first,1.0,r,0.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,5,base,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,6,base,shadow_first,1.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,7,control,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,8,shadow,shadow_first,1.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,9,control,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,10,control,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,11,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,1,12,base,shadow_first,1.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,13,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,14,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,15,control,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,16,control,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,17,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,18,base,shadow_first,1.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,19,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,20,base,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,21,control,shadow_first,1.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,22,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,23,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,2,24,base,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,25,control,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,26,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,27,base,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,28,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,29,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,30,base,shadow_first,1.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,31,control,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,32,control,shadow_first,1.0,r,0.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,33,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,34,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,35,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,3,36,base,shadow_first,1.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,37,control,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,38,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,39,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,40,control,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,41,base,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,42,base,shadow_first,1.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,43,shadow,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,44,control,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,45,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,46,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,47,base,shadow_first,1.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,shadow,4,48,shadow,shadow_first,1.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,arbitrary,5,49,arbitrary,shadow_first,2.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,arbitrary,5,50,base,shadow_first,2.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,arbitrary,5,51,control,shadow_first,2.0,r,0.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,arbitrary,5,52,arbitrary,shadow_first,2.0,l,0.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,arbitrary,5,53,arbitrary,shadow_first,2.0,r,0.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,arbitrary,5,54,control,shadow_first,2.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,arbitrary,5,55,base,shadow_first,2.0,r,1.0,r
volter2018intuitive,2,kara,9,f,chimpanzee,arbitrary,5,56,base,shadow_first,2.0,l,1.0,l
volter2018intuitive,2,kara,9,f,chimpanzee,arbitrary,5,57,arbitrary,shadow_first,2.0,r,1.0,r
