"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"phase", condition in which participants were paired - mirror
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","within-participant manipulation (levels- close_clear/ close_opaque/ dis_clear/ dis_op)- close = proximal/ dis = distal"
"correct_side","whether the chosen side was correct (1= yes/ 0= no)"
"first_response","whether the first choice was correct (directed to the location of the reward( 1= yes/ 0= no)"
"chosen_side","side of the first choice (l= left/ r= right)"
"distance","distance manipulation (close = proximal/ dis = distal)"
"visibility","visibility manipulation (clear / opaque )"
"baited_side","location of the reward (l= left/ r= right)"
"touch_occluder_at_correct_side","whether they touched proximal occluder at correct side (1= yes/0= no)"
