study_id,experiment,participant,age_in_years,sex,species,session,trial,condition,correct_side,correct_side_1,chosen_side,order_block,order_block2,session_within_block,block,side_with_food_image
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,1,incongruent,r,0.0,l,mirror_first,1.0,1.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,2,incongruent,l,0.0,r,mirror_first,1.0,1.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,3,congruent,l,1.0,l,mirror_first,1.0,1.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,4,congruent,r,1.0,r,mirror_first,1.0,1.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,5,incongruent,l,0.0,r,mirror_first,1.0,1.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,6,congruent,r,0.0,l,mirror_first,1.0,1.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,7,congruent,l,0.0,r,mirror_first,1.0,1.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,8,incongruent,r,0.0,l,mirror_first,1.0,1.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,9,incongruent,r,0.0,l,mirror_first,1.0,1.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,10,congruent,r,1.0,r,mirror_first,1.0,1.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,11,congruent,l,1.0,l,mirror_first,1.0,1.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,1,12,incongruent,l,0.0,r,mirror_first,1.0,1.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,13,congruent,l,1.0,l,mirror_first,1.0,2.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,14,incongruent,r,1.0,r,mirror_first,1.0,2.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,15,congruent,r,0.0,l,mirror_first,1.0,2.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,16,incongruent,l,1.0,l,mirror_first,1.0,2.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,17,incongruent,r,1.0,r,mirror_first,1.0,2.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,18,congruent,r,0.0,l,mirror_first,1.0,2.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,19,incongruent,l,1.0,l,mirror_first,1.0,2.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,20,congruent,l,0.0,r,mirror_first,1.0,2.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,21,incongruent,l,1.0,l,mirror_first,1.0,2.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,22,congruent,r,1.0,r,mirror_first,1.0,2.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,23,congruent,l,1.0,l,mirror_first,1.0,2.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,2,24,incongruent,r,1.0,r,mirror_first,1.0,2.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,25,congruent,l,1.0,l,mirror_first,1.0,3.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,26,congruent,r,1.0,r,mirror_first,1.0,3.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,27,incongruent,r,0.0,l,mirror_first,1.0,3.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,28,incongruent,l,0.0,r,mirror_first,1.0,3.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,29,congruent,l,1.0,l,mirror_first,1.0,3.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,30,incongruent,l,1.0,l,mirror_first,1.0,3.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,31,incongruent,r,1.0,r,mirror_first,1.0,3.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,32,congruent,r,1.0,r,mirror_first,1.0,3.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,33,congruent,l,1.0,l,mirror_first,1.0,3.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,34,incongruent,r,1.0,r,mirror_first,1.0,3.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,35,incongruent,l,1.0,l,mirror_first,1.0,3.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,3,36,congruent,r,0.0,l,mirror_first,1.0,3.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,4,37,incongruent,l,1.0,l,mirror_first,1.0,4.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,4,38,congruent,l,0.0,r,mirror_first,1.0,4.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,4,39,incongruent,r,1.0,r,mirror_first,1.0,4.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,4,40,congruent,r,0.0,l,mirror_first,1.0,4.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,4,41,incongruent,l,1.0,l,mirror_first,1.0,4.0,mirror,0.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,4,42,incongruent,r,0.0,l,mirror_first,1.0,4.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,4,43,congruent,l,1.0,l,mirror_first,1.0,4.0,mirror,1.0
volter2018intuitive,4,alexandra,15,f,chimpanzee,4,44,congruent,r,1.0,r,mirror_first,1.0,4.0,mirror,1.0
