study_id,experiment,participant,age_in_years,sex,species,session,trial,condition,order,order2,correct_side,first_response,chosen_side,experience_with_mirror,pre_experience
volter2018intuitive,5,dorien,34,f,chimpanzee,1,1,picture,mirror_first,1.0,r,1.0,r,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,1,2,picture,mirror_first,1.0,l,0.0,r,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,1,3,mirror,mirror_first,1.0,l,1.0,l,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,1,4,mirror,mirror_first,1.0,r,1.0,r,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,1,5,picture,mirror_first,1.0,r,1.0,r,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,1,6,mirror,mirror_first,1.0,r,1.0,r,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,1,7,picture,mirror_first,1.0,l,0.0,r,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,1,8,mirror,mirror_first,1.0,l,0.0,r,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,1,9,mirror,mirror_first,1.0,l,1.0,l,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,1,10,picture,mirror_first,1.0,r,0.0,l,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,1,11,mirror,mirror_first,1.0,r,0.0,l,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,1,12,picture,mirror_first,1.0,l,1.0,l,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,2,13,picture,mirror_first,1.0,l,1.0,l,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,2,14,mirror,mirror_first,1.0,l,0.0,r,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,2,15,mirror,mirror_first,1.0,r,1.0,r,naive,mirror
volter2018intuitive,5,dorien,34,f,chimpanzee,2,16,picture,mirror_first,1.0,r,0.0,l,naive,mirror
