study_id,experiment,model_name,participant,age_in_years,z_age,sex,species,species_subgroup,phase,phase_temp,session_within_number_of_boxes,session_within_phase,session_overall,trial_number,z_trial_number,trial_id,choice_nr_within_trial,order,number_boxes,choice_where,choice_correct,last_choice,any_error_earlier,cup_id,choice_id,error_ny,number_cups,cup_is_edge,cup_is_edge_code,z_lag_from_last_choice,any_code,z_number_boxes,lag_from_last_choice,trial_correct,number_redundant_searched,first_choice_feature,first_choice,second_choice_feature,second_choice,second_choice_correct,third_choice_feature,third_choice,third_choice_correct,fourth_choice_feature,fourth_choice,fourth_choice_correct,fifth_choice_feature,fifth_choice,fifth_choice_correct,sixth_choice_feature,sixth_choice,sixth_choice_correct,choice_latency,absence_latency
volter2019chimpanzees,1,retest_error_data_glmm_s01,dorien,35,0.955058230930242,f,chimpanzee,a,feature_space,feature_space,1.0,,1,1,-1.27610943298531,1.0,2.0,1,4,6.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,no,-0.38655886811521,-0.951123656181078,-0.0732693279434058,-1.33095961298376,1.0,,,,,,,,,,,,,,,,,,,,,
volter2019chimpanzees,1,retest_error_data_glmm_s01,dorien,35,0.955058230930242,f,chimpanzee,a,feature_space,feature_space,1.0,,1,1,-1.27610943298531,1.0,3.0,1,4,3.0,1.0,1.0,0.0,4.0,2.0,0.0,2.0,no,-0.38655886811521,-0.17139137963495,-0.0732693279434058,-1.33095961298376,2.0,,,,,,,,,,,,,,,,,,,,,
volter2019chimpanzees,1,retest_error_data_glmm_s01,dorien,35,0.955058230930242,f,chimpanzee,a,feature_space,feature_space,1.0,,1,1,-1.27610943298531,1.0,3.0,1,4,3.0,1.0,2.0,0.0,6.0,2.0,0.0,2.0,yes,0.61344113188479,-0.951123656181078,-0.0732693279434058,-1.33095961298376,1.0,,,,,,,,,,,,,,,,,,,,,
volter2019chimpanzees,1,retest_error_data_glmm_s01,dorien,35,0.955058230930242,f,chimpanzee,a,feature_space,feature_space,1.0,,1,1,-1.27610943298531,1.0,4.0,1,4,4.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,yes,0.61344113188479,-0.951123656181078,-0.0732693279434058,-1.33095961298376,1.0,,,,,,,,,,,,,,,,,,,,,
volter2019chimpanzees,1,retest_error_data_glmm_s01,dorien,35,0.955058230930242,f,chimpanzee,a,feature_space,feature_space,1.0,,1,1,-1.27610943298531,1.0,4.0,1,4,4.0,0.0,1.0,0.0,4.0,3.0,1.0,3.0,no,-0.38655886811521,0.608340896911178,-0.0732693279434058,-1.33095961298376,3.0,,,,,,,,,,,,,,,,,,,,,
volter2019chimpanzees,1,retest_error_data_glmm_s01,dorien,35,0.955058230930242,f,chimpanzee,a,feature_space,feature_space,1.0,,1,1,-1.27610943298531,1.0,4.0,1,4,4.0,0.0,2.0,0.0,6.0,3.0,0.0,3.0,yes,0.61344113188479,-0.17139137963495,-0.0732693279434058,-1.33095961298376,2.0,,,,,,,,,,,,,,,,,,,,,
volter2019chimpanzees,1,retest_error_data_glmm_s01,dorien,35,0.955058230930242,f,chimpanzee,a,feature_space,feature_space,1.0,,1,2,-0.902637003544621,2.0,2.0,1,4,3.0,1.0,1.0,0.0,5.0,4.0,0.0,1.0,no,-0.38655886811521,-0.951123656181078,-0.0732693279434058,-1.33095961298376,1.0,,,,,,,,,,,,,,,,,,,,,
volter2019chimpanzees,1,retest_error_data_glmm_s01,dorien,35,0.955058230930242,f,chimpanzee,a,feature_space,feature_space,1.0,,1,2,-0.902637003544621,2.0,3.0,1,4,4.0,1.0,2.0,0.0,3.0,5.0,0.0,2.0,yes,0.61344113188479,-0.951123656181078,-0.0732693279434058,-1.33095961298376,1.0,,,,,,,,,,,,,,,,,,,,,
volter2019chimpanzees,1,retest_error_data_glmm_s01,dorien,35,0.955058230930242,f,chimpanzee,a,feature_space,feature_space,1.0,,1,2,-0.902637003544621,2.0,3.0,1,4,4.0,1.0,1.0,0.0,5.0,5.0,0.0,2.0,no,-0.38655886811521,-0.17139137963495,-0.0732693279434058,-1.33095961298376,2.0,,,,,,,,,,,,,,,,,,,,,
volter2019chimpanzees,1,retest_error_data_glmm_s01,dorien,35,0.955058230930242,f,chimpanzee,a,feature_space,feature_space,1.0,,1,2,-0.902637003544621,2.0,4.0,1,4,6.0,1.0,2.0,0.0,3.0,6.0,0.0,3.0,yes,0.61344113188479,-0.17139137963495,-0.0732693279434058,-1.33095961298376,2.0,,,,,,,,,,,,,,,,,,,,,
