"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"model_name","name of data subset - retest_error_data_glmm_s01: the retest-data 9 months after the initial data period is analyzed The error data represent a scoring of the apes' choices (there were multiple choices per trial) and allow for analyzing factors that influenced their likelihoods to make mistakes. Trial_data_glmm02: the initial data period is analyzed The trial data allow for comparing the apes' performance to Monte-Carlo simulations. And the trial data are also sufficient for analyzing differences between conditions. error_data_glmm01: the initial data period is analyzed The error data represent a scoring of the apes' choices and allow for analyzing factors that influenced their likelihoods to make mistakes."
"participant","name of the participant"
"age_in_years","age presented in years - see metadata for source of age"
"z_age","z-transformed age variable to a mean of 0 and a standard deviation of 1."
"sex","sex of the participant "
"species","species of individuals participating in the study -chimpanzee "
"species_subgroup","species subgroup at time of data collection - WKPRC chimpanzee group a or b/ etc"
"phase","stimuli used -feature/space or feature and space (feature_space)"
"phase_temp","stimuli used -feature/space or feature and space (feature_space)"
"session_within_number_of_boxes","number session within a given phase and number of boxes on the platform"
"session_within_phase","number session within the same phase (condition) presented"
"session_overall","number session over all phases and regardless of the number of boxes"
"trial_number","trial number within sessions containing the same number of boxes"
"z_trial_number","z.transformed trial number value"
"trial_id","trial number across sessions within the participant, phase and number of boxes"
"choice_nr_within_trial","choice number within the search sequence within a trial"
"order","order of phases in exp1"
"number_boxes","number of boxes on the platform "
"choice_where","which box on the platform was chosen"
"choice_correct","was the current choice correct (1 = yes 0 = no)"
"last_choice","when this box was chosen last (within the same trial)"
"any_error_earlier","any error within the same trial before the current choice"
"cup_id","box ID of the chosen box"
"choice_id","running number for all choices"
"error_ny","was this empty box chosen (0 = no / 1 = yes)"
"number_cups","number of empty (previously visited) boxes on the platform"
"cup_is_edge","is this box located at the edge of the search array (yes / no)"
"cup_is_edge_code","centered cup_is_edge variable"
"z_lag_from_last_choice","z.transformed last choice "
"any_code","centered any_error_earlier variable"
"z_number_boxes","z.transformed number boxes "
"lag_from_last_choice","lag from the last choice of this box within the same trial"
"trial_correct","whether apes emptied all boxes in a trial without any redundant search or not"
"number_redundant_searched","number of repeated choices within the same trial"
"first_choice_feature","feature of the box that was chosen first (only in feature-only condition)"
"first_choice","spatial location of first chosen box"
"second_choice_feature","feature of the box that was chosen second (only in feature-only condition)"
"second_choice","spatial location of second chosen box"
"second_choice_correct","whether the second box was a redundant choice or not (0 / 1)"
"third_choice_feature","feature of the box that was chosen third (only in feature-only condition)"
"third_choice","spatial location of third chosen box"
"third_choice_correct","whether the third box was a redundant choice or not (0 / 1)"
"fourth_choice_feature","feature of the box that was chosen fourth (only in feature-only condition)"
"fourth_choice","spatial location of fourth chosen box"
"fourth_choice_correct","whether the fourth box was a redundant choice or not (0 / 1)"
"fifth_choice_feature","feature of the box that was chosen fifth (only in feature-only condition)"
"fifth_choice","spatial location of fifth chosen box"
"fifth_choice_correct","whether the fifth box was a redundant choice or not (0 / 1)"
"sixth_choice_feature","feature of the box that was chosen sixth (only in feature-only condition)"
"sixth_choice","spatial location of sixth chosen box"
"sixth_choice_correct","whether the sixth box was a redundant choice or not (0 / 1)"
"choice_latency","the response latency (in seconds) to make a choice (starting when the platform was pushed forward)"
"absence_latency","the time interval (in seconds) participants were absent from the platform during the retention interval before each choice"
