study_id,participant,age_in_years,sex,species,species_subgroup,session,condition,order,approach_latency,time_spent_looking_at_screen,time_spent_looking_at_experimenter,excluded
wolf2019visually,alex,18.0,m,chimpanzee,b,1,joint_attention,ja_first,2.4,27233.33,83.33,no
wolf2019visually,alex,18.0,m,chimpanzee,b,2,disjoint_attention,ja_first,5.2,48683.31,1216.66,no
wolf2019visually,bangolo,9.0,m,chimpanzee,a,1,joint_attention,ja_first,21.0,44033.15,166.66,no
wolf2019visually,bangolo,9.0,m,chimpanzee,a,2,disjoint_attention,ja_first,26.4,36666.52,899.99,no
wolf2019visually,corry,42.0,f,chimpanzee,a,1,disjoint_attention,da_first,14.2,15333.27,2999.99,no
wolf2019visually,corry,42.0,f,chimpanzee,a,2,joint_attention,da_first,39.4,25366.56,1249.99,no
wolf2019visually,daza,33.0,f,chimpanzee,b,1,joint_attention,ja_first,22.2,24683.32,27283.22,no
wolf2019visually,daza,33.0,f,chimpanzee,b,2,disjoint_attention,ja_first,13.8,44983.32,8816.61,no
wolf2019visually,dorien,38.0,f,chimpanzee,a,1,joint_attention,ja_first,1.0,11266.62,849.99,no
wolf2019visually,dorien,38.0,f,chimpanzee,a,2,disjoint_attention,ja_first,10.2,22099.91,99.99,no
wolf2019visually,fimi,10.0,f,bonobo,,1,joint_attention,ja_first,5.0,,,no
wolf2019visually,fimi,10.0,f,bonobo,,2,disjoint_attention,ja_first,3.0,,,no
wolf2019visually,fraukje,,f,chimpanzee,a,1,joint_attention,ja_first,,,,yes
wolf2019visually,fraukje,,f,chimpanzee,a,2,disjoint_attention,ja_first,,,,yes
wolf2019visually,frederike,45.0,f,chimpanzee,b,1,disjoint_attention,da_first,8.6,17783.33,7699.969,no
wolf2019visually,frederike,45.0,f,chimpanzee,b,2,joint_attention,da_first,6.4,6766.66,799.99,no
wolf2019visually,frodo,25.0,m,chimpanzee,a,1,disjoint_attention,da_first,4.2,16549.93,14133.33,no
wolf2019visually,frodo,25.0,m,chimpanzee,a,2,joint_attention,da_first,14.4,21366.58,9349.99,no
wolf2019visually,gemena,13.0,f,bonobo,,1,disjoint_attention,da_first,5.4,,,no
wolf2019visually,gemena,13.0,f,bonobo,,2,joint_attention,da_first,7.8,,,no
wolf2019visually,hope,28.0,f,chimpanzee,b,1,disjoint_attention,da_first,80.0,9699.99,21433.25,no
wolf2019visually,hope,28.0,f,chimpanzee,b,2,joint_attention,da_first,46.4,21083.32,16799.93,no
wolf2019visually,jasongo,28.0,m,bonobo,,1,joint_attention,ja_first,20.8,,,no
wolf2019visually,jasongo,28.0,m,bonobo,,2,disjoint_attention,ja_first,34.8,,,no
wolf2019visually,jeudi,53.0,f,chimpanzee,b,1,disjoint_attention,da_first,47.0,,,no
wolf2019visually,jeudi,53.0,f,chimpanzee,b,2,joint_attention,da_first,47.2,,,no
wolf2019visually,joey,36.0,m,bonobo,,1,disjoint_attention,da_first,34.0,,,no
wolf2019visually,joey,36.0,m,bonobo,,2,joint_attention,da_first,2.2,,,no
wolf2019visually,kofi,13.0,m,chimpanzee,a,1,joint_attention,ja_first,8.8,24133.24,2399.99,no
wolf2019visually,kofi,13.0,m,chimpanzee,a,2,disjoint_attention,ja_first,71.2,16349.93,2333.33,no
wolf2019visually,kuno,22.0,m,bonobo,,1,disjoint_attention,da_first,9.4,,,no
wolf2019visually,kuno,22.0,m,bonobo,,2,joint_attention,da_first,4.2,,,no
wolf2019visually,lobo,14.0,m,chimpanzee,a,1,disjoint_attention,da_first,45.4,25133.23,949.99,no
wolf2019visually,lobo,14.0,m,chimpanzee,a,2,joint_attention,da_first,16.0,11099.96,5149.99,no
wolf2019visually,lome,17.0,m,chimpanzee,a,1,joint_attention,ja_first,21.6,30399.88,14133.33,no
wolf2019visually,lome,17.0,m,chimpanzee,a,2,disjoint_attention,ja_first,69.8,45833.15,7149.99,no
wolf2019visually,luiza,14.0,f,bonobo,,1,disjoint_attention,da_first,25.0,,,no
wolf2019visually,luiza,14.0,f,bonobo,,2,joint_attention,da_first,14.0,,,no
wolf2019visually,natascha,,f,chimpanzee,a,1,disjoint_attention,da_first,,,,yes
wolf2019visually,natascha,,f,chimpanzee,a,2,joint_attention,da_first,,,,yes
wolf2019visually,riet,41.0,f,chimpanzee,a,1,disjoint_attention,da_first,44.6,,,no
wolf2019visually,riet,41.0,f,chimpanzee,a,2,joint_attention,da_first,5.4,,,no
wolf2019visually,robert,43.0,m,chimpanzee,a,1,joint_attention,ja_first,14.0,17549.93,2249.99,no
wolf2019visually,robert,43.0,m,chimpanzee,a,2,disjoint_attention,ja_first,12.2,37633.18,1266.66,no
wolf2019visually,sandra,25.0,f,chimpanzee,a,1,joint_attention,ja_first,7.2,33333.2,199.99,no
wolf2019visually,sandra,25.0,f,chimpanzee,a,2,disjoint_attention,ja_first,20.2,30583.21,616.66,no
wolf2019visually,tai,16.0,f,chimpanzee,a,1,disjoint_attention,da_first,36.2,27916.56,3399.99,no
wolf2019visually,tai,16.0,f,chimpanzee,a,2,joint_attention,da_first,13.0,36999.85,1799.99,no
wolf2019visually,yasa,21.0,f,bonobo,,1,joint_attention,ja_first,2.8,,,no
wolf2019visually,yasa,21.0,f,bonobo,,2,disjoint_attention,ja_first,2.0,,,no
wolf2019visually,zira,21.0,f,chimpanzee,b,1,joint_attention,ja_first,13.4,12500.0,6766.64,no
wolf2019visually,zira,21.0,f,chimpanzee,b,2,disjoint_attention,ja_first,19.8,8799.99,1583.33,no
